rank	node	rank_score
1	1147	138.49349999999998
2	3310	133.49949999999998
3	3313	131.58350000000002
4	84617	129.9
5	4215	128.2965
6	4628	125.2915
7	4214	124.89099999999999
8	8517	124.69000000000001
9	5970	124.18400000000001
10	113457	124.085
11	7278	121.482
12	4791	120.987
13	3320	119.9115
14	3551	119.7895
15	2885	118.699
16	3305	118.18800000000002
17	29110	118.074
18	9641	117.3975
19	3780	116.19850000000001
20	10627	115.998
21	10382	115.07950000000001
22	5971	114.276
23	11035	113.894
24	9020	113.38
25	4792	112.583
26	4794	112.5815
27	3312	112.12100000000001
28	1326	111.878
29	4793	111.3845
30	92609	110.98600000000002
31	71	109.19099999999999
32	5966	109.17849999999999
33	3326	108.8875
34	808	107.07649999999998
35	790	107.07350000000001
36	203068	106.09200000000001
37	805	104.6745
38	9532	103.3685
39	8737	103.0855
40	10010	101.772
41	6885	101.47749999999999
42	7186	101.07300000000001
43	3303	100.58099999999999
44	4637	100.39500000000001
45	1213	100.17699999999999
46	10454	99.56700000000001
47	708	99.0625
48	4841	98.295
49	2734	98.1755
50	8767	96.8665
51	4627	95.69550000000001
52	801	95.57000000000001
53	3309	92.97049999999999
54	23118	92.771
55	7133	92.269
56	220717	91.2635
57	9919	90.7865
58	8717	90.4825
59	7189	89.86749999999999
60	8607	88.0605
61	347733	86.966
62	3301	86.56800000000001
63	6232	86.553
64	23291	86.279
65	6500	85.8585
66	409	85.265
67	26133	84.2885
68	7185	84.163
69	7314	84.0655
70	6688	79.699
71	293	77.88050000000001
72	22885	77.79400000000001
73	6207	77.261
74	408	75.9875
75	6188	75.9395
76	292	75.851
77	1917	75.064
78	9349	74.01050000000001
79	10856	72.94500000000001
80	7311	72.76
81	10788	72.55699999999999
82	51082	72.06949999999999
83	11140	71.7615
84	6233	71.459
85	6128	71.1495
86	1654	70.85
87	5134	69.25800000000001
88	8454	68.4565
89	6202	67.9425
90	10128	67.8595
91	6156	67.26050000000001
92	4528	66.654
93	6191	66.238
94	6205	64.7465
95	6222	64.5335
96	84172	62.556
97	64425	62.55499999999999
98	150684	62.048500000000004
99	6129	61.045
100	9462	60.8575
101	3660	58.5985
102	5437	58.45550000000001
103	11333	58.0505
104	417	58.0
105	25885	56.5535
106	10849	56.0545
107	6203	55.3445
108	5441	55.052
109	3838	54.652499999999996
110	6189	53.935
111	4691	53.0385
112	6135	53.037
113	5204	52.495000000000005
114	6204	52.14200000000001
115	6141	50.6475
116	4869	50.643
117	4646	50.354
118	2091	49.6365
119	4904	49.541
120	6224	49.302499999999995
121	6223	49.1345
122	6146	45.7355
123	6206	45.536
124	3839	45.385000000000005
125	6130	45.2375
126	6229	45.134
127	6217	43.7455
128	6169	43.4055
129	498	41.544
130	6175	41.428999999999995
131	6124	41.3125
132	3921	41.14149999999999
133	6181	41.013
134	5537	40.371500000000005
135	3329	39.821
136	10758	39.673
137	6193	38.837
138	7846	38.832
139	6132	38.712
140	359948	38.295
141	170622	38.047000000000004
142	57007	37.251
143	6176	36.5325
144	23603	36.096000000000004
145	2969	34.745999999999995
146	4163	34.6515
147	6208	34.433
148	51397	33.488
149	57506	32.480000000000004
150	79155	32.1745
151	25873	31.809500000000003
152	51122	30.890499999999996
153	2058	30.85
154	64343	30.758
155	7316	30.5505
156	6218	29.4135
