rank	node	rank_score
1	9517	179.5
2	56478	179.0985
3	10558	178.59949999999998
4	55304	177.699
5	55922	175.89749999999998
6	4841	175.698
7	5970	113.4185
8	943	97.197
9	5595	96.59700000000001
10	10844	96.3965
11	84196	95.795
12	3320	88.2115
13	7155	76.79650000000001
14	142	75.595
15	3326	75.3625
16	4790	73.39349999999999
17	3309	70.5215
18	3312	69.8655
19	4628	69.851
20	5971	69.297
21	10111	67.976
22	2969	66.78999999999999
23	7314	62.638999999999996
24	7316	58.44
25	10128	57.7715
26	9020	57.383
27	203068	56.065999999999995
28	51122	55.19449999999999
29	51397	55.095000000000006
30	150684	54.59400000000001
31	92609	54.189499999999995
32	54939	53.99300000000001
33	4794	53.3885
34	4793	53.291
35	3839	52.888
36	2734	52.0905
37	7278	52.084500000000006
38	4792	51.989
39	4691	51.838
40	5966	50.8865
41	8517	50.5875
42	113457	50.487
43	9043	50.484
44	1326	50.186
45	1147	50.185
46	3305	49.685500000000005
47	4214	49.14
48	7132	48.927499999999995
49	3313	48.6835
50	3551	48.3825
51	1654	47.847
52	1213	47.7805
53	6207	47.1475
54	672	46.8765
55	6156	46.3485
56	6421	46.2965
57	3303	46.263999999999996
58	891	46.1845
59	10382	46.082
60	29110	46.0815
61	808	42.28
62	7150	41.9875
63	4528	41.878
64	9462	41.777499999999996
65	10788	41.677
66	10010	41.579499999999996
67	23291	41.4785
68	5134	41.3755
69	408	41.1355
70	805	40.879
71	51082	40.8765
72	10849	40.876
73	4215	40.76649999999999
74	64425	40.6745
75	801	40.3675
76	84172	40.175
77	6885	40.165
78	5437	40.0735
79	3065	39.8425
80	8454	39.772000000000006
81	9641	39.57
82	6500	39.474000000000004
83	23118	39.363
84	7157	39.269
85	6128	39.1465
86	3838	38.973
87	8737	38.962
88	5441	38.8725
89	7186	38.3605
90	25885	38.271
91	11035	38.2615
92	7153	38.196000000000005
93	7520	37.895500000000006
94	71	37.861000000000004
95	4163	37.7705
96	220717	37.681
97	5426	37.5945
98	5424	37.394
99	6204	37.334500000000006
100	5422	37.193
101	790	37.0595
102	6202	36.9425
103	5557	36.8935
104	5981	36.89
105	6205	36.8435
106	10714	36.5925
107	8717	36.5585
108	5558	36.391999999999996
109	1017	36.283
110	6135	36.241
111	57804	36.1915
112	6191	36.04
113	56655	35.991
114	9532	35.957499999999996
115	28991	35.792500000000004
116	54107	35.790499999999994
117	7185	35.757
118	5425	35.5895
119	54951	35.492
120	3301	35.456
121	5427	35.388999999999996
122	7133	35.2565
123	23649	35.188
124	6141	35.037
125	3978	34.9885
126	6223	34.9305
127	7311	34.854499999999994
128	6117	34.787
129	6229	34.5325
130	6233	34.452
131	6217	34.4385
132	5111	34.3865
133	2091	34.339
134	7158	34.2625
135	6146	34.2315
136	5982	34.186
137	10454	34.153999999999996
138	3310	34.0535
139	890	33.9855
140	6189	33.8395
141	6130	33.836
142	6119	33.785000000000004
143	8767	33.755
144	7189	33.6555
145	6129	33.4365
146	6118	33.383500000000005
147	8243	33.2575
148	409	33.2525
149	983	33.184000000000005
150	6206	32.929500000000004
151	347733	32.852999999999994
152	5884	32.7825
153	6222	32.734
154	6208	32.6375
155	5983	32.582
156	5985	32.3815
157	5984	32.181
158	5883	31.8805
159	3364	31.880000000000003
160	6203	31.835500000000003
161	3921	31.826999999999998
162	11140	31.748
163	5810	31.579499999999996
164	708	31.55
165	63922	31.378999999999998
166	2237	31.177
167	54921	30.978499999999997
168	79075	30.778
169	5429	30.577499999999997
170	8607	30.3495
171	9349	30.344
172	292	30.145
173	641	30.075499999999998
174	6181	30.031
175	1917	29.845999999999997
176	11073	29.575
177	4361	29.5745
178	4292	29.574
179	2956	29.1735
180	4646	29.149
181	4683	28.973000000000003
182	472	28.7725
183	4436	28.572000000000003
184	6613	28.351
185	55655	28.271500000000003
186	545	28.271000000000004
187	7486	27.970500000000005
188	6232	27.944499999999998
189	5901	27.804499999999997
190	5591	27.77
191	5537	27.6695
192	6218	27.629
193	1111	27.569499999999998
194	23243	27.469
195	7014	27.366999999999997
196	6188	27.143
197	4904	27.133500000000005
198	9656	27.0685
199	6176	27.025
200	54882	26.9685
201	10856	26.9455
202	2177	26.768
203	580	26.767500000000002
204	6175	26.3145
205	3014	26.165999999999997
206	25873	26.028499999999998
207	2547	25.966500000000003
208	5932	25.9635
209	571	25.764
210	5888	25.665499999999998
211	6161	25.625999999999998
212	64421	25.463
213	54386	25.165
214	10985	25.042
215	9557	24.961000000000002
216	5925	24.641
217	7515	24.4615
218	3981	24.2605
219	7013	24.164499999999997
220	6597	24.1265
221	200558	24.06
222	6667	23.932499999999997
223	11200	23.862000000000002
224	6124	23.732
225	1869	23.544999999999998
226	6170	23.5215
227	7518	23.3595
228	3066	23.317500000000003
229	6132	23.232999999999997
230	79840	23.159
231	5594	23.116
232	7846	23.101499999999998
233	2178	22.8585
234	497661	22.8205
235	2176	22.657
236	2175	22.3545
237	7156	22.256
238	26277	22.1565
239	2189	22.1555
240	6209	22.119999999999997
241	1051	22.1145
242	6155	21.9235
243	55120	21.755000000000003
244	80010	21.754
245	6173	21.519
246	2188	21.4535
247	57697	21.153
248	2187	21.1525
249	6224	21.035
250	6125	20.916
251	675	20.857999999999997
252	6201	20.607499999999998
253	378708	20.351999999999997
254	51720	20.2515
255	6122	20.2275
256	6235	20.2175
257	3980	20.15
258	2099	20.119999999999997
259	55775	19.9495
260	2033	19.838
261	6193	19.73
262	5965	19.649
263	4999	19.450499999999998
264	4736	19.316499999999998
265	6599	19.305500000000002
266	5309	18.996000000000002
267	65057	18.948500000000003
268	6598	18.904500000000002
269	25913	18.748
270	6601	18.703
271	6169	18.628
272	6595	18.604
273	3308	18.5945
274	84142	18.545499999999997
275	7088	18.494
276	2197	18.426499999999997
277	60	18.3935
278	80233	18.2445
