rank	node	rank_score
1	2588	179.8
2	3938	179.0985
3	8972	177.2995
4	2595	176.498
5	3425	175.999
6	64772	174.894
7	4123	174.5975
8	4759	174.096
9	129807	172.495
10	55907	171.393
11	4125	170.797
12	9620	170.589
13	5260	167.7945
14	5973	165.3915
15	5834	164.99349999999998
16	2632	162.6925
17	54682	161.49099999999999
18	6476	161.3965
19	55577	160.3895
20	4093	160.084
21	5837	158.7865
22	1118	158.18800000000002
23	178	157.8885
24	27159	157.6875
25	8908	139.49200000000002
26	2992	138.3905
27	5565	135.38600000000002
28	5563	134.0845
29	9514	124.785
30	83744	119.4835
31	2998	106.59200000000001
32	5562	94.282
33	6448	94.194
34	10218	86.6765
35	5564	84.38300000000001
36	5566	83.8955
37	51422	82.579
38	5571	81.7805
39	96459	81.381
40	53632	81.2825
41	151242	79.89
42	8408	79.08
43	23355	70.1645
44	79230	66.6815
45	55971	64.4705
46	386682	63.7745
47	83899	62.3725
48	388677	61.9855
49	9891	60.875
50	201163	60.572500000000005
51	353145	60.269000000000005
52	3846	60.170500000000004
53	85291	59.972
54	5894	59.766999999999996
55	347240	58.966499999999996
56	386681	57.965999999999994
57	386680	57.768499999999996
58	353132	57.76800000000001
59	85280	57.663
60	83755	57.271
61	386676	56.6625
62	386675	56.2605
63	54507	56.0665
64	10253	55.5655
65	440023	55.4645
66	3198	55.0635
67	199834	54.661500000000004
68	143684	54.455999999999996
69	5013	54.364
70	910	53.8925
71	353139	53.452999999999996
72	4184	52.970000000000006
73	386677	52.4585
74	9586	52.16700000000001
75	10252	51.962
76	119587	51.390499999999996
77	56998	50.587
78	80270	50.448
79	55337	50.2675
80	353144	49.961
81	8646	49.96
82	653240	49.565
83	6714	49.548500000000004
84	9189	49.2755
85	6691	49.0375
86	55222	48.975
87	85287	48.8555
88	26511	48.7595
89	54716	48.742000000000004
90	386678	48.5565
91	4223	48.254000000000005
92	23005	48.157
93	83897	47.9535
94	117144	47.659000000000006
95	57532	47.6575
96	10539	46.458
97	2673	45.9775
98	3241	45.846500000000006
99	11140	45.572
100	4137	44.685500000000005
101	353141	44.6505
102	29797	44.641
103	5359	44.451499999999996
104	6794	44.373000000000005
105	1468	43.8695
106	388818	43.4545
107	130560	43.4495
108	8601	42.451
109	353332	41.9525
110	25844	41.9225
111	5125	41.6455
112	673	40.2575
113	84914	40.25
114	5208	39.778499999999994
115	147687	39.751999999999995
116	4846	39.167500000000004
117	90594	38.847500000000004
118	5209	38.6795
119	7711	38.3435
120	3889	38.312
121	287015	38.038
122	4188	37.955
123	8576	37.6425
124	339366	37.4735
125	1794	37.149
126	145946	36.745
127	56654	36.647000000000006
128	207	36.46
129	10000	36.45399999999999
130	115817	36.048500000000004
131	7534	35.5595
132	4336	35.531
133	208	35.457
134	7678	35.344
135	58191	34.540499999999994
136	125115	34.5385
137	200261	34.336
138	353323	34.3315
139	9929	34.3095
140	81567	33.739999999999995
141	163059	33.146
142	7142	33.1415
143	125058	33.0355
144	572	32.858
145	25973	32.577999999999996
146	1295	32.143
147	5733	32.039
148	11202	31.774
149	3667	31.740499999999997
150	137196	31.034000000000002
151	57620	30.9775
152	10903	30.6815
153	60370	30.226999999999997
154	414157	30.037
155	10645	29.8755
156	25796	29.339499999999997
157	9963	29.2445
158	30008	29.130000000000003
159	81788	29.071500000000004
160	401508	28.629
161	9024	28.5745
162	26575	28.435000000000002
163	146664	28.332
164	84527	28.233500000000003
165	84446	27.97
166	340359	27.7365
167	84254	27.565499999999997
168	3320	27.469
169	58524	27.327999999999996
170	5568	27.266
171	64093	27.216999999999995
172	3991	27.076999999999998
173	358	26.9295
174	401288	26.818
175	55664	25.863999999999997
176	54866	25.859
177	5567	25.660500000000003
178	646480	25.268
179	154	25.055500000000002
180	114971	25.032999999999998
