rank	node	rank_score
1	389834	179.9
2	6094	178.398
3	1258	177.8995
4	7423	176.199
5	8829	174.0985
6	2321	171.897
7	5228	171.496
8	6405	169.5935
9	8828	168.69549999999998
10	3791	168.59650000000002
11	55238	157.0975
12	100293534	154.495
13	2885	153.3735
14	5781	153.268
15	6714	151.281
16	10512	148.9945
17	6464	148.4635
18	867	147.46599999999998
19	1398	146.754
20	2534	144.7925
21	5335	143.36700000000002
22	5295	143.16199999999998
23	25	140.89000000000001
24	2889	136.749
25	6654	136.67000000000002
26	4690	134.459
27	1399	133.151
28	1956	132.082
29	6461	131.9255
30	5921	131.7555
31	9846	130.7645
32	11184	130.2545
33	2185	128.553
34	5777	125.372
35	56955	124.86399999999999
36	6850	124.6525
37	6655	122.94949999999999
38	7535	122.5675
39	9564	121.545
40	5159	121.4665
41	3937	120.952
42	10818	120.94149999999999
43	2065	120.15599999999999
44	4914	119.44099999999999
45	2064	118.6685
46	4067	118.3575
47	5156	118.3305
48	55824	118.26100000000001
49	5747	117.95349999999999
50	613	116.4565
51	128853	115.4425
52	7409	114.9615
53	27321	114.194
54	5829	114.15
55	2549	114.1455
56	9743	113.0595
57	29760	111.8395
58	27040	110.6585
59	5336	110.146
60	10278	109.444
61	80831	108.9325
62	3780	107.2725
63	3717	106.96300000000001
64	868	105.6445
65	3932	105.05699999999999
66	27	104.9605
67	1796	103.648
68	83747	102.5375
69	3815	102.2515
70	6452	100.647
71	2057	100.2505
72	57190	100.07950000000001
73	1445	99.1625
74	10006	98.86
75	26020	98.09700000000001
76	445815	97.78450000000001
77	3055	97.7465
78	1439	94.832
79	4582	93.875
80	58512	90.5435
81	3643	90.542
82	10451	90.43350000000001
83	10603	90.34049999999999
84	7462	89.638
85	1499	88.393
86	2213	88.14349999999999
87	9749	88.083
88	5788	87.5485
89	7525	86.98299999999999
90	6776	86.33500000000001
91	1436	86.32300000000001
92	57007	85.78099999999999
93	6777	84.3355
94	2066	83.7345
95	50807	83.5175
96	5782	82.64
97	23230	80.955
98	5795	78.6655
99	10750	78.3475
100	6774	77.543
101	4233	76.758
102	7410	76.739
103	3716	75.23400000000001
104	10657	74.237
105	6853	73.894
106	25759	73.3905
107	3480	71.231
108	1003	70.676
109	5770	69.0365
110	5175	68.78150000000001
111	3635	67.2295
112	2690	66.73150000000001
113	3702	66.2285
114	2887	65.571
115	9402	65.2115
116	10019	65.11
117	2260	65.0095
118	7006	64.725
119	8651	64.63
120	5979	64.30799999999999
121	3560	64.214
122	5800	64.027
123	27240	63.512
124	5296	62.4145
125	558	61.412
126	695	60.927499999999995
127	4053	60.690999999999995
128	3718	59.818000000000005
129	6772	59.001
130	3667	58.33299999999999
131	9021	58.319
132	139716	58.23
133	29998	57.78150000000001
134	727	57.697500000000005
135	23607	57.269000000000005
136	7869	55.091499999999996
137	55715	55.01700000000001
138	10371	53.891
139	81494	53.4855
140	26191	53.424
141	7454	53.3245
142	2209	53.1235
143	56995	52.58050000000001
144	30011	52.50699999999999
145	1500	52.0875
146	2324	51.8895
147	930	50.5125
148	5793	49.629
149	8660	49.614999999999995
150	2334	49.088499999999996
151	857	48.622
152	57292	48.217
153	2137	48.07
154	660	47.721500000000006
155	5787	46.42
156	4739	46.3075
157	919	45.0105
158	100124696	43.315999999999995
159	4058	43.285000000000004
160	5595	43.102
161	25970	43.0265
162	29886	42.4205
163	7297	42.128
164	1441	40.515499999999996
165	114784	39.704499999999996
166	92591	37.879
167	5594	37.7005
168	5580	37.5025
169	10878	37.495
170	50507	36.9975
171	7010	36.92100000000001
172	933	36.4185
173	53358	36.4105
174	3572	36.3195
175	1795	35.906
176	3728	35.185
177	27071	35.025999999999996
178	2319	34.791999999999994
179	2241	33.6845
180	3575	33.1165
181	5796	32.4225
182	375033	31.587
183	8529	30.3705
184	64714	29.707
185	85358	29.604499999999994
186	7287	29.3545
187	5287	28.653499999999998
188	8440	27.601499999999998
189	1969	26.0015
190	7275	25.413
191	9103	24.054000000000002
192	81875	23.044
193	8853	23.0135
194	5771	21.726499999999998
195	7837	21.186500000000002
196	11250	20.5055
197	2268	20.409
198	1000	20.080000000000002
199	238	19.905
200	54923	19.736
201	2242	18.6035
202	1369	18.596
203	5578	18.1385
204	999	17.788
205	640	17.743000000000002
206	5310	17.4895
207	831	16.976
208	81491	16.9745
209	610	16.265
210	1495	16.1785
211	126669	15.788499999999999
212	50852	15.603
213	974	15.214499999999997
214	10399	15.008500000000002
215	9793	14.559999999999999
216	9784	14.357499999999998
217	9229	13.359
218	6503	13.2225
219	7852	12.8175
220	4486	10.206
221	6792	9.269499999999999
222	5170	8.715
223	356	8.1105
224	4915	7.8069999999999995
225	58480	7.108500000000001
226	146722	7.01
227	7316	6.62
228	2099	5.718500000000001
229	5894	5.511
230	8503	5.3025
231	2886	5.1045
232	3636	4.907
233	6667	3.8049999999999997
234	3566	3.401
235	5338	3.3049999999999997
236	54900	3.3019999999999996
237	5587	3.2064999999999997
238	23624	2.7035
239	2322	2.416
240	3454	2.311
241	2533	2.1060000000000003
242	916	1.704
243	3561	1.503
244	3690	1.409
245	7534	1.4055
246	115352	0.8045
247	5581	0.702
248	6004	0.1095
249	213	0.094
250	57165	0.0935
251	52	0.0915
252	124599	0.0905
253	2550	0.0905
254	1501	0.089
255	4969	0.089
256	79585	0.089
257	629	0.089
258	945	0.088
259	7424	0.0875
260	50937	0.087
261	1775	0.0865
262	64403	0.0865
263	55914	0.086
264	7798	0.08549999999999999
265	55966	0.08399999999999999
266	56141	0.08399999999999999
267	114132	0.08399999999999999
268	11326	0.08399999999999999
269	26052	0.08349999999999999
270	4916	0.08349999999999999
271	5909	0.08299999999999999
272	64321	0.08299999999999999
273	7177	0.08299999999999999
274	4868	0.08249999999999999
275	23211	0.0805
276	64111	0.0795
277	64499	0.0795
278	10021	0.079
279	91653	0.078
280	1013	0.0775
281	3903	0.0775
282	768	0.077
283	55591	0.0765
284	3965	0.0755
285	8502	0.074
286	421	0.073
287	5784	0.0715
288	23483	0.0675
289	9228	0.0655
290	22941	0.0645
291	9472	0.054000000000000006
292	4007	0.041499999999999995
293	4145	0.033
294	57127	0.031
295	6098	0.027000000000000003
296	5879	0.01
297	79930	0.008
298	5590	0.008
299	6504	0.006500000000000001
300	5792	0.004
301	7094	0.0035000000000000005
302	5618	0.003
303	940	0.0025
304	5058	0.0025
305	1601	0.001
306	2017	0.0005
