rank	node	rank_score
1	5408	179.2
2	8513	177.99949999999998
3	5407	176.698
4	1208	175.799
5	9388	175.29749999999999
6	5406	175.0985
7	11343	174.497
8	2713	173.2965
9	2712	171.296
10	2710	170.2945
11	57678	167.294
12	821	159.0585
13	965	157.4955
14	4035	152.59300000000002
15	338	151.99099999999999
16	2157	146.7455
17	811	144.459
18	2158	136.4445
19	9567	129.4925
20	3359	123.29249999999999
21	3309	120.99000000000001
22	7450	120.4875
23	11093	120.38250000000001
24	4543	119.6905
25	9601	116.78699999999999
26	7184	114.78600000000002
27	7038	112.9865
28	4547	112.88499999999999
29	3949	111.78099999999999
30	10525	110.6855
31	3134	98.479
32	2923	97.7805
33	912	96.5765
34	567	96.2715
35	3133	95.776
36	6892	95.275
37	6890	94.872
38	3135	94.6735
39	3105	93.87100000000001
40	6891	93.7755
41	10859	93.37
42	3107	90.6695
43	3106	89.9725
44	10288	89.7655
45	925	88.76599999999999
46	6532	88.688
47	3824	87.8595
48	22820	85.161
49	1315	84.65799999999999
50	6955	83.768
51	6513	78.07849999999999
52	344	75.09349999999999
53	4325	74.79249999999999
54	3822	74.6575
55	4324	72.342
56	28912	71.8915
57	3172	71.092
58	799	67.89
59	89782	64.7915
60	801	63.977
61	6667	63.188
62	11198	62.27049999999999
63	51386	60.96849999999999
64	6741	60.874
65	128312	60.867000000000004
66	1593	60.0875
67	26986	59.3775
68	57519	58.795
69	5034	57.5745
70	121504	57.263999999999996
71	3014	57.163
72	22818	56.751999999999995
73	4869	56.6675
74	8531	56.665
75	10236	56.6625
76	3077	55.963499999999996
77	3018	55.3645
78	55037	53.35850000000001
79	5354	53.088499999999996
80	915	52.7495
81	6749	51.963499999999996
82	8342	51.160000000000004
83	7253	49.7845
84	255738	46.479
85	2885	45.355000000000004
86	3812	44.5655
87	28638	43.665
88	6670	43.386
89	6574	42.484
90	1660	42.415
91	26958	41.2755
92	1580	41.1825
93	51226	41.074
94	7189	40.68300000000001
95	372	40.3735
96	51272	39.873000000000005
97	9276	39.8725
98	11316	39.270500000000006
99	926	39.156
100	7047	38.871
101	1314	38.669
102	22908	38.366
103	7080	38.048
104	140890	37.349000000000004
105	6152	36.503
106	1576	35.7835
107	1582	35.5905
108	401152	34.157
109	6714	34.048500000000004
110	9020	33.814
111	1565	32.689499999999995
112	6203	32.417500000000004
113	7025	31.689
114	22907	31.148500000000002
115	8578	30.9805
116	6147	29.709500000000002
117	30001	28.973000000000003
118	335	28.4865
119	6122	28.2035
120	345	28.188499999999998
121	7018	28.179499999999997
122	55379	27.9235
123	432	27.782
124	6189	26.717000000000002
125	728937	26.143
126	2335	25.7765
127	7941	25.575
128	5999	25.4555
129	4036	25.0665
130	6129	24.7245
131	2091	23.7155
132	3674	23.6465
133	3809	23.5685
134	9784	23.5535
135	6222	23.528
136	3284	23.168
137	64714	22.8475
138	4018	22.7495
139	10642	22.7335
140	6194	22.6065
141	873	22.269
142	6210	22.038
143	409	21.6145
144	57007	21.549
145	6128	21.5095
146	4904	21.3405
147	4691	21.256
148	6927	21.246000000000002
149	170506	21.2455
150	9045	21.0005
151	2058	20.7395
152	7837	20.541500000000003
153	23521	19.932
154	6202	19.2295
155	26354	19.035500000000003
156	3312	18.7665
157	6157	18.7475
158	284695	18.225
159	6142	18.130000000000003
160	6154	18.1255
161	5624	17.945
162	8664	17.842000000000002
163	120329	17.783
164	11331	17.7435
165	2677	17.639
166	3608	17.3285
167	6191	17.323
168	3320	17.1555
169	6228	17.101499999999998
170	2147	17.0625
171	5245	16.919999999999998
172	6143	16.818
173	5603	16.78
174	6135	16.718
175	11224	16.6325
176	6139	16.549
177	3192	16.5305
178	5627	16.343
179	9451	16.178
180	2153	16.035
181	6158	16.0165
182	2159	15.639500000000002
183	7026	15.487
184	5269	15.347
185	213	15.283000000000001
186	284996	15.251499999999998
187	337	15.181000000000001
188	6124	15.142500000000002
189	10130	15.0795
190	2149	15.0335
191	128876	14.985
192	2155	14.931999999999999
193	28916	14.879
194	6193	14.836500000000001
195	5444	14.778
196	5104	14.76
197	6159	14.738499999999998
198	23064	14.6785
199	3821	14.677000000000001
200	7056	14.658000000000001
201	3514	14.5755
202	5376	14.468
203	5327	14.4635
204	57165	14.382
205	5054	14.366
206	1514	14.2815
207	91807	14.1745
208	2099	14.1525
209	3493	14.072999999999999
210	5328	14.062999999999999
211	79925	13.968
212	6597	13.907499999999999
213	3500	13.872
214	6188	13.838999999999999
215	3538	13.769499999999999
216	6328	13.756
217	7276	13.669999999999998
218	5340	13.6595
219	3065	13.604
220	2160	13.540000000000001
221	5274	13.450999999999999
222	341	13.370500000000002
223	57835	13.350999999999999
224	50628	13.3245
225	1991	13.243500000000001
226	283160	13.169
227	79691	13.0675
228	3868	12.985499999999998
229	710	12.8565
230	3188	12.814499999999999
231	7057	12.762
232	28442	12.6685
233	3857	12.5725
234	7436	12.561
235	1191	12.467
236	3507	12.375
237	5950	12.257
238	23345	12.246500000000001
239	3066	12.128499999999999
240	5250	12.126000000000001
241	959	12.0735
242	6160	12.044
243	259	11.9545
244	3827	11.9405
245	6156	11.9125
246	1511	11.834
247	6134	11.8185
248	3250	11.774
249	23450	11.709999999999999
250	8542	11.564499999999999
251	10772	11.52
252	6165	11.511
253	354	11.3575
254	5094	11.3005
255	3848	11.2715
256	1326	11.248000000000001
257	6187	11.2205
258	5093	11.153
259	3780	11.05
260	2243	10.964
261	338412	10.8515
262	509	10.8375
263	8029	10.7775
264	7356	10.665000000000001
265	408	10.6615
266	7037	10.564499999999999
267	142	10.511
268	6256	10.353
269	1650	10.35
270	388697	10.245000000000001
271	5901	10.2325
272	3486	10.1555
273	3609	9.9025
274	7534	9.862
275	9971	9.8275
276	9641	9.751000000000001
277	4637	9.637
278	9612	9.622
279	196	9.4315
280	6902	9.3615
281	302	9.338
282	6144	9.3115
283	2244	9.251999999999999
284	84319	9.244499999999999
285	5451	9.2425
286	1655	9.2205
287	6175	9.124
288	309	9.0355
289	27335	8.9485
290	10202	8.8465
291	1717	8.84
292	2033	8.8385
293	6168	8.8015
294	3183	8.719
295	6599	8.704
296	8668	8.6605
297	6132	8.641499999999999
298	6792	8.637
299	5042	8.626000000000001
300	25	8.5375
301	30968	8.532
302	26156	8.504999999999999
303	10969	8.502500000000001
304	5465	8.500499999999999
305	2023	8.442499999999999
306	10480	8.3475
307	1050	8.336
308	9733	8.3225
309	25885	8.309999999999999
310	9188	8.249500000000001
311	7417	8.2385
312	405	8.230500000000001
313	1974	8.155
314	222235	8.120999999999999
315	60	8.116499999999998
316	10499	8.033
317	10056	7.9430000000000005
318	2151	7.9254999999999995
319	6155	7.906499999999999
320	3488	7.8605
321	498	7.840000000000001
322	11218	7.8340000000000005
323	8648	7.8285
324	7419	7.7375
325	8202	7.7355
326	3326	7.715999999999999
327	6181	7.712999999999999
328	1938	7.708
329	920	7.632
330	5915	7.608
331	10399	7.531499999999999
332	6201	7.527500000000001
333	1499	7.5235
334	203068	7.4365
335	3842	7.3340000000000005
336	7068	7.3065
337	2597	7.2545
338	5914	7.222499999999999
339	8662	7.1435
340	7421	7.122999999999999
341	7284	7.1135
342	3184	7.047
343	6184	6.947
344	3646	6.9415000000000004
345	9325	6.920999999999999
346	3181	6.830500000000001
347	23054	6.8215
348	6727	6.805
349	7416	6.739
350	10463	6.631
351	1933	6.545999999999999
352	5468	6.518000000000001
353	1654	6.422499999999999
354	6137	6.412000000000001
355	6258	6.4094999999999995
356	6908	6.3355
357	301	6.3335
358	10128	6.236
359	72	6.203
360	3187	6.141
361	8431	6.1185
362	8663	6.045
363	5916	6.014
364	2771	5.9350000000000005
365	9611	5.9145
366	8971	5.909000000000001
367	8344	5.8345
368	3921	5.731
369	6206	5.6285
370	6223	5.529
371	7067	5.515
372	6218	5.5120000000000005
373	6146	5.4265
374	7376	5.4135
375	25873	5.407
376	3725	5.3365
377	11103	5.313000000000001
378	3837	5.227
379	1387	5.1240000000000006
380	6176	5.1215
381	6141	5.019
382	6204	4.933
383	367	4.929
384	4311	4.826
385	8805	4.82
386	6996	4.7195
387	27043	4.702
388	602	4.619
389	9349	4.615
390	6229	4.525
391	5371	4.5115
392	84844	4.5095
393	2908	4.4165
394	388698	4.336
395	3329	4.322
396	10062	4.2090000000000005
397	3178	4.13
398	9221	4.106
399	8841	4.1015
400	3932	4.0255
401	55646	4.016
402	7846	3.9210000000000003
403	8204	3.91
404	10989	3.8085
405	6257	3.7060000000000004
406	10514	3.7030000000000003
407	10492	3.6079999999999997
408	2100	3.603
409	55131	3.5055
410	55681	3.5055
411	10419	3.4314999999999998
412	5925	3.405
413	4673	3.405
414	6130	3.3235
415	292	3.3155
416	5594	3.313
417	6208	3.243
418	6207	3.2195
419	2959	3.101
420	8661	3.051
421	7431	3.0185
422	2353	2.916
423	3007	2.9015
424	1457	2.8085
425	6170	2.8075
426	6136	2.8075
427	6205	2.709
428	56945	2.633
429	5467	2.6055
430	11137	2.601
431	573	2.4045
432	23107	2.3295000000000003
433	6235	2.3105
434	7157	2.3045
435	151568	2.217
436	672	2.2075
437	23451	2.131
438	23405	1.9175
439	51021	1.904
440	6161	1.811
441	1915	1.8024999999999998
