rank	node	rank_score
1	5335	179.399
2	9846	177.397
3	6464	176.796
4	1399	176.698
5	5295	174.395
6	3815	173.49949999999998
7	2057	172.99650000000003
8	4067	172.0975
9	5777	170.7955
10	5781	170.494
11	6654	169.09300000000002
12	867	168.3935
13	1796	166.8985
14	2885	164.0925
15	6714	161.592
16	2065	159.185
17	6850	158.68400000000003
18	7409	157.9855
19	5336	157.17950000000002
20	2889	157.0865
21	1956	156.3885
22	3635	155.6945
23	5921	155.1845
24	2534	154.982
25	2064	154.483
26	2185	153.4835
27	7535	152.881
28	1398	152.78699999999998
29	3937	151.175
30	55824	150.1745
31	11184	149.87550000000002
32	2549	148.6915
33	5159	148.49099999999999
34	3055	148.379
35	9564	147.47750000000002
36	27040	147.4735
37	3932	146.174
38	868	145.5785
39	6655	144.98
40	29760	144.376
41	3643	143.3905
42	6452	142.6715
43	27	142.4815
44	10006	141.8805
45	4914	141.7695
46	10603	138.365
47	4690	137.4765
48	5747	137.377
49	6777	135.69
50	5829	135.373
51	5788	134.872
52	10451	133.4705
53	6776	132.689
54	10278	132.166
55	1445	131.8725
56	4233	129.888
57	3716	129.5675
58	5795	128.77100000000002
59	10818	127.88600000000001
60	5782	127.268
61	2887	126.8
62	5156	126.1875
63	50807	125.5595
64	7006	123.5655
65	5296	123.178
66	2690	123.0685
67	100124696	122.35799999999999
68	3480	122.17
69	3702	121.86399999999999
70	8651	120.56649999999999
71	5770	117.96900000000001
72	2066	117.88250000000001
73	10657	117.5635
74	7454	117.05850000000001
75	3667	116.06700000000001
76	5800	114.8575
77	1436	114.76050000000001
78	695	114.25900000000001
79	6774	113.1645
80	6461	112.5615
81	8660	110.4625
82	3718	110.263
83	3560	109.56199999999998
84	1439	109.05550000000001
85	9021	107.26100000000001
86	5793	105.453
87	7525	102.66
88	3791	102.056
89	7297	101.957
90	7275	101.426
91	2321	100.15650000000001
92	6772	98.755
93	5787	97.9525
94	3572	97.75399999999999
95	660	97.5545
96	5979	97.5515
97	9402	94.7485
98	7010	92.551
99	857	91.8495
100	2242	91.252
101	5595	91.25
102	2268	90.3475
103	7462	89.0415
104	55715	88.2505
105	2213	86.748
106	5175	86.449
107	7410	86.147
108	30011	84.4405
109	26191	84.1535
110	5594	84.046
111	25970	82.74549999999999
112	930	81.245
113	1441	80.4465
114	5580	80.1445
115	4582	78.744
116	5796	76.64349999999999
117	4739	75.84200000000001
118	933	74.1425
119	5771	72.643
120	919	72.3375
121	1499	71.538
122	9743	71.1385
123	4486	70.5895
124	558	70.24
125	10750	69.73949999999999
126	1000	69.737
127	8440	69.539
128	238	67.7365
129	7852	67.53450000000001
130	10019	65.33500000000001
131	2886	64.9355
132	23607	62.8335
133	356	62.436
134	58512	61.934000000000005
135	56955	60.041
136	3636	59.8325
137	3575	57.230999999999995
138	128853	56.83299999999999
139	83747	55.029999999999994
140	53358	54.831999999999994
141	8503	53.730500000000006
142	4915	53.1315
143	3561	52.428999999999995
144	3566	51.027499999999996
145	6503	51.0265
146	2209	50.2175
147	27071	49.327
148	8853	48.025
149	2533	47.7295
150	974	46.92100000000001
151	640	45.62
152	9103	44.6195
153	3454	44.524
154	5170	41.827999999999996
155	916	41.721500000000006
156	5338	41.028499999999994
157	50852	40.822
158	80831	40.6255
159	23624	40.423
160	6004	40.219
161	1969	36.7205
162	1795	36.5235
163	3690	35.0225
164	10399	34.516
165	25759	33.018
166	27240	32.9245
167	9046	32.51649999999999
168	8751	29.2185
169	973	28.915
170	64714	25.813
171	921	24.612000000000002
172	2048	24.517000000000003
173	2904	22.714499999999997
174	85358	19.509999999999998
175	5578	19.2115
176	58480	18.814
177	5287	17.811
178	5792	17.806
179	9229	17.4095
180	10044	17.1155
181	5587	17.109
182	1154	16.910500000000003
183	3563	15.307999999999998
184	4058	13.805000000000001
185	445815	12.2135
186	940	11.2035
187	1601	10.806999999999999
188	8471	10.7015
189	5581	9.6065
190	139716	8.8125
191	5894	8.4045
192	5590	7.902500000000001
193	6237	6.803
194	5290	6.21
195	2934	5.1095
196	2322	4.308
197	5579	4.3055
198	6504	4.212999999999999
199	5588	3.7004999999999995
200	4068	3.2125
201	30837	3.2105000000000006
202	1500	3.1085000000000003
203	960	3.101
204	2241	2.7075
205	6199	2.502
206	493	2.1075
207	5618	1.7009999999999998
208	8835	1.5005
209	3559	1.306
210	3728	1.204
211	3265	0.101
212	9749	0.008
213	1493	0.005
214	2212	0.004
215	1003	0.004
216	79930	0.0035000000000000005
217	3689	0.003
218	1234	0.002
219	5584	0.0015
220	2902	0.0005
