rank	node	rank_score
1	7275	176.69850000000002
2	5335	176.099
3	5295	174.3995
4	9846	174.298
5	6464	171.2
6	2885	167.2955
7	6714	167.1895
8	3815	166.0935
9	1399	165.094
10	2534	163.387
11	6654	159.1915
12	867	159.0925
13	2065	158.796
14	4067	156.3875
15	11184	156.28
16	2889	154.974
17	5781	154.59
18	1398	153.7775
19	56955	153.2695
20	1796	151.778
21	2057	151.397
22	5777	150.189
23	128853	148.5505
24	9564	147.28199999999998
25	6655	147.17249999999999
26	5921	147.0805
27	4690	146.9755
28	6850	146.58800000000002
29	7409	143.392
30	1956	142.881
31	27	142.071
32	7535	140.8855
33	10006	140.268
34	2185	139.9835
35	80831	139.049
36	5336	138.685
37	5159	136.67849999999999
38	3937	136.18400000000003
39	55824	136.183
40	29760	135.17649999999998
41	2549	133.9735
42	2064	132.6885
43	3932	132.3845
44	27040	131.4905
45	868	131.075
46	7462	130.88600000000002
47	5747	130.879
48	3055	130.6705
49	10603	129.893
50	83747	129.635
51	10278	127.87150000000001
52	58512	126.372
53	1436	125.8625
54	6452	125.5865
55	4914	125.35900000000001
56	5829	122.577
57	3643	121.4665
58	3635	118.167
59	10750	116.99650000000001
60	6776	115.45750000000001
61	5788	115.37
62	10657	114.86599999999999
63	1445	114.564
64	2887	112.856
65	3702	112.7645
66	6777	112.35999999999999
67	10818	111.8605
68	5296	111.46549999999999
69	10451	110.973
70	3716	108.06300000000002
71	56995	107.4155
72	445815	107.22550000000001
73	8651	106.7635
74	7006	106.26199999999999
75	3667	106.0545
76	2690	105.9565
77	5795	105.66100000000002
78	50807	104.86749999999999
79	3480	104.5615
80	6461	104.48150000000001
81	5782	102.748
82	695	102.0485
83	2213	101.0415
84	2242	99.9465
85	5156	99.55699999999999
86	7410	99.43050000000001
87	2066	98.55550000000001
88	5770	98.3515
89	4233	97.55199999999999
90	27240	95.834
91	6774	95.753
92	558	94.791
93	1439	94.66900000000001
94	930	94.437
95	8660	94.151
96	7454	93.74600000000001
97	3560	93.05850000000001
98	100124696	93.04549999999999
99	3718	92.35249999999999
100	2321	91.76849999999999
101	5800	88.838
102	9021	88.75399999999999
103	25970	88.542
104	26191	86.343
105	57190	86.2335
