rank	node	rank_score
1	5476	180.1
2	3938	179.1995
3	8972	178.0985
4	2595	177.398
5	55655	175.799
6	545	173.79749999999999
7	27034	173.2955
8	1508	171.195
9	2877	167.5925
10	84129	167.293
11	83548	166.797
12	257202	166.68699999999998
13	80724	166.4915
14	57511	165.7965
15	22796	164.89600000000002
16	35	164.59099999999998
17	2879	163.892
18	30	163.79000000000002
19	9656	163.77849999999998
20	2878	161.9905
21	3295	161.089
22	8309	160.3895
23	1962	159.6885
24	2876	159.388
25	6649	158.0875
26	4123	157.6945
27	10935	156.8865
28	7001	155.686
29	6648	154.48499999999999
30	549	154.3845
31	5052	152.7855
32	55268	152.2835
33	1891	151.88400000000001
34	3032	150.48250000000002
35	1892	149.783
36	4361	148.8935
37	3030	148.78199999999998
38	2936	147.481
39	116285	147.0815
40	84264	145.9805
41	3029	144.68
42	3028	144.17950000000002
43	587	139.994
44	1537	138.572
45	27089	135.4675
46	170712	131.371
47	2181	131.279
48	1350	129.2705
49	7388	127.86500000000001
50	1347	127.6695
51	3033	126.877
52	1346	125.96849999999999
53	7385	125.86449999999999
54	38	125.4775
55	3158	125.17649999999999
56	29796	125.17249999999999
57	5019	124.47550000000001
58	1339	124.36800000000001
59	7384	124.16300000000001
60	3157	123.076
61	125965	122.96700000000001
62	39	122.775
63	124637	122.2665
64	64064	121.47449999999999
65	84701	121.16599999999998
66	65985	119.97350000000002
67	1351	119.7655
68	10975	119.07000000000001
69	54511	118.674
70	1349	118.564
71	1337	117.1635
72	7386	115.869
73	9167	115.6625
74	4514	113.96199999999999
75	7381	113.76100000000001
76	1345	111.9615
77	1327	111.8605
78	11073	111.378
79	4718	111.25699999999999
80	4512	110.65950000000001
81	4759	110.4365
82	9377	110.35999999999999
83	4513	109.05900000000001
84	341947	108.05850000000001
85	1329	107.15799999999999
86	4713	104.65650000000001
87	4711	103.756
88	4708	102.75550000000001
89	4706	101.755
90	4710	100.8545
91	4709	99.854
92	4724	99.85249999999999
93	4707	98.8535
94	4728	97.453
95	4717	96.352
96	4714	96.0515
97	4712	94.951
98	4696	94.5505
99	126328	93.1495
100	4716	92.65
101	7991	91.5575
102	55967	91.44800000000001
103	4700	90.549
104	4731	90.3475
105	4702	89.047
106	4695	87.8465
107	4719	87.6485
108	4705	86.54549999999999
109	4694	84.946
110	4729	84.545
111	4701	83.0445
112	586	82.636
113	4726	81.944
114	4725	80.84349999999999
115	4535	80.2405
116	4704	79.843
117	4698	78.9425
118	51079	78.042
119	4722	77.0415
120	4715	77.03999999999999
121	4697	77.039
122	4720	76.041
123	54539	74.3395
124	51103	72.2385
125	571	65.0375
126	7156	56.13099999999999
127	672	54.234
128	5981	53.638
129	3981	53.621
130	80010	52.529500000000006
131	83990	52.431999999999995
132	2188	51.528499999999994
133	5984	51.135000000000005
134	6117	51.126999999999995
135	5888	50.9245
136	5982	50.734500000000004
137	6118	50.629
138	2176	50.128
139	57697	50.1275
140	2189	49.4265
141	5932	49.219
142	5830	48.673
143	7014	48.533500000000004
144	6119	48.226
145	51295	47.237
146	3712	47.0355
147	378708	45.3255
148	5591	44.62
149	675	44.524
150	2	41.8335
151	80233	41.825
152	580	41.623000000000005
153	29935	40.5235
154	6476	39.731
155	54386	39.6325
156	7520	38.820499999999996
157	26277	38.6315
158	11277	38.4185
159	64772	38.2365
160	129807	36.636
161	7013	36.233
162	5893	35.222500000000004
163	4437	35.122
164	25913	34.9305
165	65057	33.730000000000004
166	7518	33.6195
167	2547	31.321500000000004
168	22909	29.6175
169	1111	29.218
170	55907	28.434000000000005
171	201254	26.920499999999997
172	5378	24.813499999999998
173	5111	24.413999999999998
174	142	23.8155
175	3014	23.801
176	5422	22.515
177	3155	21.535500000000003
178	622	21.435
179	5426	21.316499999999998
180	9557	20.117
181	200558	19.816
182	5424	18.5125
183	3978	17.311500000000002
184	7155	17.213
185	1638	15.7715
186	1476	15.635
187	7515	15.2015
188	5557	14.912
189	983	14.814499999999999
190	10714	14.111
191	7915	13.737
192	9156	13.102500000000001
193	1616	13.0345
194	57804	12.809999999999999
195	5558	11.9095
196	5425	11.4085
197	56655	10.909
198	890	10.810500000000001
199	54107	9.508
200	5427	8.4075
201	23649	7.906999999999999
202	5260	6.635
203	7153	6.6065
204	5884	6.006
205	116028	3.821
206	7150	3.7049999999999996
207	5883	3.2055
208	84142	2.711
209	5983	2.7045000000000003
210	3364	2.104
211	5810	1.6035
212	891	1.504
213	5985	1.1030000000000002
214	63967	1.1005
215	2237	0.602
216	374650	0.0245
217	7158	0.013500000000000002
218	55775	0.0015
219	328	0.001
220	1017	0.0005
221	4609	0.0005
