rank	node	rank_score
1	8678	179.6
2	9711	178.59949999999998
3	7405	177.699
4	30849	176.79850000000002
5	22863	175.898
6	29982	174.9975
7	57120	174.697
8	9311	173.096
9	9399	172.0955
10	41	170.995
11	2040	170.09449999999998
12	5568	166.28699999999998
13	5566	164.686
14	5567	164.4865
15	84254	163.2845
16	54866	162.1835
17	2898	161.59300000000002
18	153	160.6855
19	2890	160.4925
20	3017	159.8825
21	9495	158.98499999999999
22	9463	158.894
23	359	158.28199999999998
24	2893	157.69
25	2560	157.28400000000002
26	2891	156.6935
27	23426	154.692
28	10369	153.6895
29	2119	152.169
30	1742	146.38899999999998
31	2901	145.9915
32	2892	144.3905
33	2899	144.19099999999997
34	783	139.5865
35	8736	138.3825
36	3269	127.074
37	5578	125.87449999999998
38	5506	116.98150000000001
39	5350	116.18050000000001
40	2897	114.2885
41	5348	111.77649999999998
42	5734	111.268
43	4842	110.35499999999999
44	490	106.17150000000001
45	5582	104.1665
46	2673	103.96
47	5243	103.16599999999998
48	5579	102.163
49	119	101.065
50	5581	100.864
51	2705	100.0625
52	118	97.5645
53	3150	97.4615
54	5580	96.262
55	5583	95.6605
56	9421	95.161
57	51148	94.8965
58	5590	92.9595
59	5588	92.9585
60	150	92.6655
61	7137	91.85900000000001
62	815	89.732
63	156	89.172
64	4900	89.1575
65	5584	88.857
66	2904	88.74
67	2243	87.458
68	120	87.2565
69	2902	87.24300000000001
70	2931	85.5635
71	154	84.8725
72	65108	84.8555
73	624	83.3545
74	433	82.954
75	6514	82.878
76	9590	82.376
77	8348	82.2775
78	94274	81.8315
79	7504	80.5525
80	1068	80.477
81	1267	79.252
82	392862	78.7
83	5341	78.0515
84	4082	78.0495
85	7448	77.9695
86	2566	77.647
87	846	77.4505
88	917	77.051
89	5576	76.48150000000001
90	6876	74.55
91	1080	73.5705
92	4225	73.349
93	2561	72.6465
94	26353	72.44800000000001
95	5066	72.2485
96	2911	71.65599999999999
97	4985	71.6535
98	2769	70.553
99	2152	69.94500000000001
100	3315	69.2475
101	9267	67.3445
102	3105	66.34549999999999
103	3706	65.737
104	6386	65.388
105	9338	65.14349999999999
106	1103	64.03299999999999
107	8671	63.2765
108	2781	62.946000000000005
109	5577	62.583000000000006
110	5782	62.140499999999996
111	4689	61.641
112	8682	61.532500000000006
113	3784	61.28099999999999
114	6383	61.241499999999995
115	5500	60.68050000000001
116	6262	60.2795
117	10142	60.17999999999999
118	5501	59.979
119	9266	59.74249999999999
120	5499	59.278499999999994
121	10287	59.144000000000005
122	11215	58.878
123	5511	58.4775
124	3554	58.439499999999995
125	84687	57.977
126	153743	56.8755
127	55869	56.175
128	158798	55.8735
129	3559	55.638999999999996
130	5504	54.567499999999995
131	55607	54.166999999999994
132	1948	53.7875
133	6011	52.864
134	4160	52.463499999999996
135	6624	52.1365
136	688	52.038
137	821	51.742000000000004
138	6199	50.836
139	60312	50.634
140	1739	50.2795
141	5587	50.2385
142	6944	49.2275
143	3759	47.57899999999999
144	1741	47.1785
145	6714	46.631
146	2670	46.428
147	1601	46.135000000000005
148	7037	46.1335
149	334	46.0345
150	1740	45.777
151	7074	45.730000000000004
152	3875	45.629
153	2915	45.3375
154	3768	45.177499999999995
155	818	44.626999999999995
156	3739	44.576499999999996
157	8573	44.575
158	3761	44.3745
159	960	44.2305
160	8825	44.1755
161	64130	43.774
162	491	43.772000000000006
163	27165	43.673500000000004
164	9419	43.373000000000005
165	493	43.2725
166	4627	42.814
167	816	42.5175
168	2903	42.469
169	10207	41.8685
170	596	40.873000000000005
171	9229	40.67
172	85461	40.6695
173	824	40.371
174	81566	39.97
175	5894	39.3295
176	2764	38.303
177	1386	38.2355
178	79647	38.1935
179	8831	38.062
180	22839	37.5615
181	2906	36.761
182	3280	36.625
183	817	36.1185
184	1385	34.9685
185	3643	32.6265
186	9615	31.8555
187	4233	31.128499999999995
188	15	30.46
189	5788	30.1255
190	19	29.871500000000005
191	55327	29.671000000000003
192	320	29.470500000000005
193	5770	29.026
194	6331	28.3675
195	2247	27.561500000000002
196	301	27.1195
197	22866	26.965999999999998
198	6640	26.765499999999996
199	57555	26.7575
200	6329	26.5645
201	2905	26.366999999999997
202	4638	26.2075
203	23095	26.064
204	1956	26.024
205	116443	25.1595
206	2316	24.8145
207	6915	24.7605
208	10672	24.5595
209	9228	24.459
210	3667	24.323500000000003
211	116444	23.758
212	60412	23.658499999999997
213	7430	23.622
214	4780	22.1205
215	4001	20.9155
216	5170	20.322499999999998
217	488	20.017000000000003
218	4000	19.215
219	801	19.012
220	2932	18.2245
221	7431	16.718
222	58	16.1165
223	2913	15.786000000000001
224	3751	15.414499999999999
225	10000	15.3215
226	7534	15.016
227	207	14.623000000000001
228	3689	14.502500000000001
229	572	14.021
230	6236	12.9115
231	6641	12.461
232	6300	11.8595
233	6197	11.8035
234	5998	11.76
235	3603	11.6605
236	3766	11.559999999999999
237	1457	10.7125
238	1947	10.104000000000001
239	208	8.82
240	673	8.818999999999999
241	7054	8.607
242	857	7.909000000000001
243	1459	6.411
244	4137	6.3055
245	7153	4.913
246	1499	4.6135
247	8826	4.41
