rank	node	rank_score
1	9943	179.8
2	27347	178.399
3	6339	178.2995
4	9990	177.8985
5	6559	176.798
6	6558	175.79749999999999
7	762	174.797
8	6508	173.5925
9	23327	172.7965
10	6337	171.89600000000002
11	11060	170.8955
12	6804	168.8935
13	6446	167.693
14	4734	167.4915
15	54602	166.99099999999999
16	10067	165.6905
17	7316	137.59
18	83737	137.0895
19	26994	136.689
20	4891	127.8895
21	80762	127.189
22	23559	124.888
23	11059	122.3885
24	23558	122.1875
25	9351	120.28600000000002
26	94015	116.47999999999999
27	10060	112.19200000000001
28	6233	98.18199999999999
29	165918	95.78099999999999
30	7314	95.7785
31	27342	94.97999999999999
32	7311	94.679
33	7805	94.18050000000001
34	9802	93.976
35	10254	93.7745
36	25946	93.67699999999999
37	11201	93.3765
38	26088	91.7795
39	9146	90.473
40	23163	89.372
41	5429	88.77000000000001
42	245711	88.7695
43	7251	88.2715
44	10617	87.674
45	8887	87.4705
46	10413	87.2865
47	57154	87.0815
48	56957	86.878
49	53347	86.869
50	152137	86.5775
51	8027	86.3725
52	84959	85.36800000000001
53	2060	84.87100000000001
54	64750	83.3755
55	8878	83.075
56	51024	82.8665
57	54708	82.066
58	4778	81.982
59	1840	81.463
60	8562	81.1655
61	8916	79.6615
62	10892	79.16499999999999
63	7763	78.0635
64	4077	77.1605
65	8737	76.364
66	23586	76.361
67	7128	74.5625
68	841	72.162
69	9368	70.995
70	8517	70.959
71	10928	70.8515
72	4646	70.7585
73	9962	70.19449999999999
74	1811	69.5855
75	114571	68.6825
76	6885	65.95750000000001
77	23118	65.0565
78	3654	63.75699999999999
79	7189	62.755500000000005
80	7186	62.35
81	1080	62.187
82	1213	61.5395
83	10454	60.654500000000006
84	9413	60.260000000000005
85	7132	59.54600000000001
86	257397	58.855
87	8915	58.8495
88	113457	58.04449999999999
89	8717	57.545
90	8767	57.346500000000006
91	331	55.75599999999999
92	10382	55.442499999999995
93	1540	55.3505
94	11035	55.140499999999996
95	7278	54.7435
96	3551	54.74300000000001
97	3767	54.589999999999996
98	3305	53.940999999999995
99	3764	53.7895
100	29110	53.342000000000006
101	4215	52.64
102	3313	51.737
103	9498	50.294
104	387	49.955
105	5174	49.885000000000005
106	5566	49.878499999999995
107	6584	49.584500000000006
108	6583	49.284000000000006
109	7133	49.1385
110	3312	48.931
111	6579	48.883500000000005
112	79849	48.783
113	7185	48.7415
114	1244	48.3815
115	808	48.333
116	3301	48.138
117	7347	48.0595
118	6550	47.8805
119	4792	47.6355
120	1182	47.481
121	330	46.948
122	9020	46.9375
123	1147	46.536500000000004
124	805	46.0345
125	10010	45.6265
126	790	44.739
127	71	44.735
128	1326	44.0325
129	5971	43.634
130	7430	43.564499999999995
131	4793	43.432
132	4791	43.2335
133	156	41.871500000000005
134	203068	41.836
135	3303	41.028499999999994
136	4794	40.8315
137	347733	40.8255
138	92609	40.2305
139	3320	39.429
140	4790	38.7295
141	5970	38.230000000000004
142	25898	38.059000000000005
143	9532	37.128
144	3309	36.927
145	801	36.6275
146	79834	36.29600000000001
147	4214	35.626
148	4627	35.604
149	6833	35.489
150	4074	35.2615
151	3326	35.125
152	80727	34.979499999999994
153	11140	34.822500000000005
154	29924	34.660000000000004
155	3310	33.8245
156	5966	33.424
157	5568	32.977999999999994
158	5567	31.976999999999997
159	6476	31.777499999999996
160	9641	31.523500000000002
161	7064	31.276
162	3936	30.975
163	3017	30.6735
164	220717	30.622000000000003
165	1956	30.514
166	408	30.4195
167	708	29.9215
168	2734	29.823
169	6262	29.573
170	150684	29.3205
171	409	29.119999999999997
172	54866	28.7605
173	8772	28.7485
174	154	28.378999999999998
175	359	28.3765
176	9590	28.2755
177	5577	28.170500000000004
178	5576	28.0725
179	3784	27.669999999999998
180	5500	27.6695
181	5499	27.668
182	3269	27.464999999999996
183	9495	27.372000000000003
184	5501	27.269
185	2289	27.220999999999997
186	4628	27.219
187	5348	27.1635
188	10142	27.0685
189	11215	26.767500000000002
190	8607	26.618000000000002
191	5511	26.567
192	84687	26.365999999999996
193	5134	26.3185
194	153743	25.9655
195	5578	25.161
196	8239	24.8165
197	2560	24.559
198	9919	24.216
199	3383	23.875999999999998
200	3315	22.4565
201	55611	22.366999999999997
202	55869	22.262999999999998
203	84433	21.947499999999998
204	5734	21.6495
205	5581	21.5505
206	5588	21.349
207	10788	21.311500000000002
208	9462	21.211000000000002
209	7334	21.149
210	5243	21.047
211	624	20.948500000000003
212	5580	20.848000000000003
213	119	20.546
214	23291	20.512
215	3150	20.451
216	5590	20.447499999999998
217	4528	20.309
218	118	20.1455
219	10849	19.91
220	2705	19.8445
221	329	19.744
222	150	19.5465
223	960	19.416999999999998
224	51082	19.308500000000002
225	2893	19.244
226	1917	19.015
227	5582	18.9435
228	5584	18.744999999999997
229	5579	18.741500000000002
230	84172	18.7095
231	7534	18.653
232	9421	18.543
233	2890	18.542
234	64425	18.4105
235	5583	18.3405
236	4842	18.3365
237	6156	18.317
238	673	18.2595
239	2673	18.2425
240	7137	18.04
241	7415	17.902
242	85406	17.695500000000003
243	5437	17.607999999999997
244	4900	17.541
245	5894	17.4575
246	85362	17.3835
247	572	17.357999999999997
248	120	17.339499999999997
249	84254	17.2745
250	2931	17.25
251	5028	16.987000000000002
252	6500	16.907
253	2038	16.871000000000002
254	2243	16.837
255	55040	16.7875
256	83874	16.781
257	2039	16.7685
258	26353	16.738
259	10128	16.706
260	4985	16.335
261	8454	16.307499999999997
262	65108	16.238999999999997
263	2769	16.1345
264	4082	16.133
265	55867	15.9815
266	3838	15.8065
267	433	15.738499999999998
268	207	15.562000000000001
269	23035	15.479499999999998
270	7504	15.436000000000002
271	5441	15.4055
272	5962	15.38
273	827	15.279
274	1267	15.033499999999998
275	5341	14.834
276	25885	14.705000000000002
