rank	node	rank_score
1	1871	179.8
2	6688	177.4985
3	3206	175.5975
4	1387	174.796
5	6689	174.19549999999998
6	2353	172.299
7	1051	171.8935
8	2033	170.094
9	1050	168.1895
10	1052	167.293
11	367	167.2905
12	3725	166.1945
13	4088	165.98899999999998
14	4089	164.7885
15	5594	164.5875
16	1386	164.18800000000002
17	23054	162.49
18	2099	162.3915
19	5599	160.6855
20	2114	159.395
21	5595	158.58499999999998
22	6195	157.5815
23	8202	156.587
24	2908	156.48600000000002
25	1432	155.583
26	2113	155.4845
27	9252	153.082
28	5601	152.2835
29	3727	150.88400000000001
30	3172	150.679
31	2002	150.48250000000002
32	5468	149.8795
33	5600	148.981
34	10499	148.28
35	6256	144.5805
36	5465	143.17849999999999
37	51438	139.59949999999998
38	6597	138.6865
39	602	135.39249999999998
40	6908	135.092
41	5371	133.876
42	861	131.974
43	6667	131.17649999999998
44	7157	128.5725
45	7421	127.3735
46	9611	127.275
47	4087	126.57449999999999
48	9612	126.27550000000001
49	672	125.373
50	5970	123.67699999999999
51	2623	122.4645
52	6599	119.071
53	1053	118.78400000000002
54	3065	117.56700000000001
55	4286	117.498
56	8841	117.468
57	6598	117.07000000000001
58	6601	116.5685
59	6595	113.7655
60	2959	111.85999999999999
61	6602	111.0635
62	3066	110.36399999999999
63	6605	109.165
64	10891	108.4775
65	57492	108.3615
66	25942	107.9625
67	8289	106.56199999999998
68	6603	105.36100000000002
69	6604	104.26050000000001
70	3297	104.2375
71	54760	99.6585
72	86	98.75450000000001
73	1024	98.3595
74	2962	97.858
75	9412	96.759
76	5928	95.5505
77	2965	95.4565
78	8850	95.0575
79	10589	94.65599999999999
80	10498	93.563
81	892	93.357
82	2960	92.55499999999999
83	5430	92.05550000000001
84	1457	90.9365
85	6872	89.748
86	2967	88.95349999999999
87	2071	88.953
88	8819	87.65
89	5931	85.5495
90	9219	84.151
91	51742	84.149
92	4602	83.235
93	3621	83.0485
94	6880	82.647
95	5469	81.4715
96	53615	81.3465
97	10284	80.64750000000001
98	6878	80.046
99	6722	79.575
