rank	node	rank_score
1	7186	177.1995
2	7187	170.995
3	7188	170.898
4	958	170.0935
5	7185	164.69099999999997
6	51567	163.3915
7	329	159.7835
8	55504	159.69400000000002
9	330	158.98600000000002
10	8737	155.8845
11	7133	155.27249999999998
12	8740	154.984
13	8717	154.38
14	10913	154.0905
15	7189	153.99200000000002
16	8767	151.7815
17	7132	151.482
18	9020	151.087
19	5955	148.67950000000002
20	8784	148.5925
21	7316	144.2775
22	8915	143.4805
23	113457	141.572
24	389114	141.1895
25	943	140.49
26	51561	139.099
27	3594	137.79850000000002
28	3305	136.47150000000002
29	51330	134.993
30	149465	134.1975
31	6885	133.1745
32	9532	132.873
33	8517	132.267
34	3312	132.17350000000002
35	790	131.8615
36	7278	131.674
37	3301	130.9755
38	23118	130.07049999999998
39	249	128.875
40	10382	128.8695
41	939	128.1945
42	3551	126.57000000000001
43	10010	123.356
44	56616	123.28299999999999
45	203068	123.17699999999999
46	29110	120.3555
47	71	120.26849999999999
48	11035	120.171
49	805	119.9675
50	1326	119.5605
51	3313	119.2655
52	841	116.87849999999999
53	1147	116.55850000000001
54	3303	116.25999999999999
55	4791	114.86500000000001
56	26133	114.578
57	5971	112.46100000000001
58	92609	111.8625
59	4793	111.25900000000001
60	4790	110.95450000000001
61	4794	110.7595
62	4792	108.96199999999999
63	10454	108.56300000000002
64	808	108.55799999999999
65	1213	108.453
66	3809	108.396
67	347733	107.65349999999998
68	4214	107.268
69	8837	105.95250000000001
70	5970	105.854
71	4215	105.66399999999999
72	3309	105.4565
73	3310	104.2665
74	7314	103.6645
75	27018	103.5855
76	3320	102.45149999999998
77	801	101.457
78	8792	98.088
79	5966	97.95750000000001
80	3326	97.551
81	3595	97.497
82	3592	95.2955
83	220717	94.0505
84	4591	92.789
85	6233	92.048
86	409	91.5485
87	9641	90.949
88	708	90.7465
89	4804	89.6885
90	7311	89.152
91	608	88.592
92	1654	88.4375
93	8607	88.139
94	2734	87.45
95	3806	85.0765
96	4646	84.84700000000001
97	3604	84.58500000000001
98	6156	83.34549999999999
99	1917	83.1415
100	7293	82.8865
101	11140	82.655
102	4050	80.96900000000001
103	115653	79.8
104	408	78.6495
105	7292	78.37899999999999
106	6207	77.94300000000001
107	9919	77.5445
108	10892	76.3425
109	91893	75.6965
110	10128	73.03999999999999
111	6128	72.737
112	8744	68.7825
113	84617	65.738
114	4637	64.936
115	85366	63.866
116	5134	62.1355
117	4869	60.622
118	4628	60.418000000000006
119	150684	60.0475
120	3804	58.197500000000005
121	6232	57.321000000000005
122	498	57.132999999999996
123	257397	55.2385
124	6204	53.624
125	3802	51.275999999999996
126	128178	48.681
127	3654	48.545
128	2081	48.046
129	6202	47.815999999999995
130	2289	46.6395
131	7846	46.6145
132	23291	45.9285
133	4049	44.093
134	6223	43.9135
135	7534	43.7435
136	8454	43.435
137	6421	43.153
138	7763	42.815
139	10788	42.33
140	6146	40.714
141	6206	39.7025
142	6222	39.617000000000004
143	302	39.60850000000001
144	1933	39.208
145	6141	39.1115
146	7416	38.4045
147	8302	38.395500000000006
148	9349	37.533500000000004
149	6229	36.819
150	2597	36.322500000000005
151	7431	36.307
152	6191	35.7125
153	6500	34.927
154	64343	34.744
155	4528	34.634
156	8772	34.5295
157	10856	34.4315
158	2969	34.137
159	3839	33.4345
160	10771	33.1875
161	9462	33.1365
162	10906	32.992
163	64425	32.629
164	331	32.541
165	5437	32.525999999999996
166	10056	31.813
167	10202	31.710500000000003
168	10849	31.6305
169	51082	31.532
170	2023	31.303999999999995
171	10480	30.612000000000002
172	84172	30.527499999999996
173	7415	30.336000000000002
174	25885	30.123
175	8664	30.107499999999998
176	7417	28.801
177	3921	28.403
178	3838	28.323500000000003
179	5441	28.125
180	4691	27.615
181	3187	27.311
182	6130	26.810000000000002
183	6189	26.805500000000002
184	246330	26.574
185	7128	26.5705
186	6203	26.1245
187	5591	25.8435
188	4904	25.709500000000002
189	309	25.705000000000002
190	292	25.435
191	6176	25.409
192	7419	24.3005
193	3329	23.423
194	51397	22.819499999999998
195	6129	22.428
196	57506	21.5345
197	8344	21.406
198	3184	20.802
199	27335	20.5005
200	6749	20.4155
201	8662	19.5035
202	8668	19.3035
203	2091	18.9255
204	6175	18.407999999999998
205	83445	18.2895
206	6201	17.7065
207	9618	17.4835
208	79642	17.2825
209	6135	17.113999999999997
210	843	17.084
211	60401	16.7785
212	293	16.7285
213	4627	16.128
214	60	16.0055
215	2619	15.988499999999998
216	3842	15.513499999999999
217	4163	15.3215
218	920	15.301499999999999
219	4311	15.209
220	5521	15.123500000000002
221	6181	15.018
222	388407	14.778
223	8663	14.412
224	301	14.2015
225	5537	14.0245
226	8239	13.7405
227	6205	13.632499999999999
228	10399	13.107
229	3646	12.1095
230	6217	11.618
231	6224	11.5175
232	1974	11.309000000000001
233	83481	10.3635
234	6188	9.925999999999998
235	2771	9.508
236	3308	9.4405
237	5709	9.3315
238	8241	8.7255
239	1655	8.600999999999999
240	10526	8.53
241	5901	8.203999999999999
242	3178	8.0095
243	3932	7.5015
244	79155	7.2505
245	5245	7.2125
246	3181	7.202500000000001
247	6208	6.1155
248	6124	5.8265
249	140032	5.705
250	1540	5.2325
251	2058	4.9270000000000005
252	285855	4.4425
253	25873	4.414499999999999
254	6235	3.9125
255	2197	3.906
256	6122	3.8085
257	6169	3.221
258	6170	3.104
259	6160	2.9114999999999998
260	6193	2.815
261	6218	2.4074999999999998
262	6134	2.307
263	6125	2.3065
264	6228	1.704
265	6210	1.7009999999999998
266	6161	1.511
267	6132	1.424
268	6192	1.4035
269	6165	1.3005
270	6194	1.108
271	497661	0.9025000000000001
272	6167	0.9019999999999999
273	6171	0.8029999999999999
274	3192	0.7095
275	4736	0.7055
276	6209	0.6014999999999999
277	9045	0.40449999999999997
278	6147	0.40149999999999997
279	11224	0.21349999999999997
280	6155	0.1105
281	57714	0.096
282	10870	0.094
283	22914	0.0935
284	79465	0.093
285	80329	0.092
286	80328	0.0905
287	1418	0.0885
288	64943	0.088
289	353091	0.088
290	8795	0.0875
291	8996	0.087
292	8718	0.0865
293	27429	0.08549999999999999
294	355	0.08499999999999999
295	835	0.08349999999999999
296	8797	0.08249999999999999
297	8743	0.08199999999999999
298	4277	0.08149999999999999
299	8764	0.078
300	23041	0.077
301	59269	0.076
302	113802	0.0755
303	57154	0.075
304	148022	0.0735
305	4478	0.0715
306	488	0.0715
307	6900	0.06949999999999999
308	55210	0.0685
309	55346	0.0685
310	23229	0.068
311	54739	0.066
312	94015	0.064
313	54769	0.061
314	9131	0.052500000000000005
315	2885	0.0465
316	64332	0.0455
317	9093	0.041999999999999996
318	4642	0.04
319	170622	0.032
320	10627	0.031
321	401152	0.031
322	10985	0.028999999999999998
323	55294	0.026500000000000003
324	3014	0.024
325	55336	0.024
326	23243	0.020499999999999997
327	54939	0.02
328	9043	0.0185
329	120329	0.017499999999999998
330	4641	0.0165
331	9188	0.006
332	8971	0.005
333	26156	0.0045
334	6157	0.0025
335	6227	0.0015
336	6152	0.0005
337	6173	0.0005
