rank	node	rank_score
1	841	180.1
2	839	179.1995
3	836	177.999
4	834	177.69850000000002
5	837	176.498
6	843	175.5975
7	23581	174.697
8	840	173.49650000000003
9	8837	171.9955
10	835	171.095
11	4925	170.39600000000002
12	10392	170.1945
13	331	169.294
14	842	168.3935
15	598	166.692
16	1832	166.193
17	22861	165.7925
18	317	164.8915
19	64127	163.891
20	637	162.7905
21	10134	162.09
22	596	159.9895
23	58484	159.988
24	10017	158.98899999999998
25	29108	158.2875
26	8767	157.3885
27	6722	157.18699999999998
28	330	156.3865
29	329	148.2835
30	7132	146.38
31	8795	145.8795
32	8772	145.379
33	355	144.27849999999998
34	8737	141.778
35	8915	141.1805
36	4478	141.076
37	396	139.9755
38	7430	139.275
39	8717	139.077
40	8996	139.07649999999998
41	8797	138.8775
42	356	138.0745
43	5599	137.574
44	57099	136.98600000000002
45	838	136.4855
46	387	136.4735
47	7316	132.873
48	8743	132.8695
49	332	132.7815
50	7186	131.3725
51	7185	130.772
52	7314	127.46900000000001
53	6622	126.5685
54	581	126.268
55	2081	125.36749999999999
56	578	124.46700000000001
57	4170	123.56649999999999
58	3303	122.46599999999998
59	3320	121.2655
60	3002	119.68499999999999
61	10277	118.9845
62	3312	118.96399999999998
63	9020	118.76500000000001
64	6885	118.4625
65	23118	118.16199999999999
66	3301	116.56300000000002
67	113457	115.6615
68	10454	113.6605
69	11035	112.8635
70	10382	112.66
71	7278	111.0595
72	3551	110.457
73	3305	109.4585
74	203068	108.5575
75	1326	108.15799999999999
76	8517	106.15650000000001
77	7189	105.85900000000001
78	790	105.36100000000002
79	3309	105.256
80	29110	104.55550000000001
81	4791	102.25450000000001
82	805	101.454
83	10010	100.55499999999999
84	79444	100.483
85	1147	100.1535
86	27429	99.88250000000001
87	4793	99.85249999999999
88	56616	99.282
89	57448	98.08099999999999
90	5971	97.8515
91	3313	97.55199999999999
92	4790	97.15299999999999
93	4794	96.651
94	4792	96.5505
95	808	94.15
96	71	93.049
97	801	92.8495
98	5970	91.5485
99	92609	90.548
100	5966	90.0475
101	1213	88.7465
102	4215	87.447
103	7133	86.846
104	7187	86.4715
105	9532	85.84549999999999
106	11140	85.84200000000001
107	4055	85.571
108	8740	85.3705
109	4214	85.045
110	3310	83.5445
111	347733	83.444
112	9641	82.0435
113	6233	80.343
114	3326	79.9425
115	7311	78.6415
116	4646	77.341
117	220717	76.84049999999999
118	5134	75.23949999999999
119	150684	75.239
120	5591	74.14
121	3654	72.9385
122	3606	72.48400000000001
123	708	72.238
124	8239	71.7375
125	6714	71.329
126	409	69.435
127	2734	69.1365
128	4628	68.8355
129	9919	68.237
130	408	67.53450000000001
131	8607	65.436
132	10892	64.8335
133	7415	63.33299999999999
134	4627	63.032
135	7534	60.830999999999996
136	2316	59.33
137	3308	55.831500000000005
138	9131	55.634
139	10273	51.8645
140	7431	48.825
141	2597	47.7245
142	60	46.723
143	1654	44.92
144	7416	44.42100000000001
145	10128	44.1205
146	4637	43.0195
147	60401	42.47
148	6207	41.9185
149	498	41.619
150	6421	40.93
151	10758	40.5325
152	3329	40.218
153	302	38.417
154	207	36.9305
155	2023	36.716499999999996
156	208	36.0295
157	7417	35.814499999999995
158	4217	35.628
159	7529	34.6275
160	5894	34.528499999999994
161	7419	34.314
162	5590	34.126999999999995
163	3184	34.116
164	5604	33.0265
165	673	32.426
166	8664	32.413
167	4869	32.0175
168	10202	32.0135
169	7531	31.5255
170	10480	31.3125
171	301	31.115
172	6416	30.724
173	6204	30.4115
174	1933	29.112000000000002
175	7846	29.015499999999996
176	10056	28.211000000000002
177	27335	27.8105
178	8344	26.4095
179	3842	25.31
180	9043	24.323500000000003
181	8668	24.1085
182	309	23.709
183	3187	23.406
184	8662	22.107999999999997
185	3837	20.9065
186	920	20.807499999999997
187	8663	20.107
188	572	18.9225
189	10000	18.922
190	6223	18.4055
191	9891	18.3215
192	10399	16.605
193	3646	16.404500000000002
194	1974	14.504
195	2771	13.9035
196	4311	13.001999999999999
197	6146	12.5015
198	8792	12.4655
199	3921	11.602500000000001
200	6229	11.403
201	4691	9.6005
202	6206	9.100999999999999
203	3932	7.3035
204	6222	6.4030000000000005
205	5901	6.2025
206	6176	5.7015
207	6749	5.400499999999999
208	3181	5.0009999999999994
209	6202	3.31
210	1655	3.3019999999999996
211	6203	3.207
212	6189	2.9055
213	4904	2.6045000000000003
214	6175	2.6035
215	6141	2.2064999999999997
216	6191	2.1075
217	3178	1.8039999999999998
218	6130	1.605
219	6129	1.403
220	5245	1.201
221	6135	1.002
222	6201	0.8015000000000001
223	6156	0.637
224	6128	0.40049999999999997
225	162989	0.08299999999999999
226	9191	0.08249999999999999
227	4671	0.081
228	1917	0.0375
229	2969	0.0335
230	2289	0.0305
231	257397	0.03
232	6232	0.0015
233	6205	0.001
234	9349	0.0005
