rank	node	rank_score
1	10859	177.79500000000002
2	3594	176.9
3	567	174.6945
4	10288	174.6935
5	6892	172.89249999999998
6	3105	172.594
7	3134	172.09300000000002
8	3593	170.7995
9	6890	169.9895
10	3133	169.79149999999998
11	6891	169.292
12	811	168.19099999999997
13	3824	168.0985
14	2923	167.689
15	51561	167.397
16	925	165.09
17	3592	164.9955
18	821	163.3885
19	3809	163.198
20	912	162.3875
21	1315	160.3865
22	3822	159.7905
23	3806	159.09650000000002
24	22820	157.6845
25	3812	155.788
26	6513	155.086
27	26958	153.4835
28	22818	152.9815
29	10148	151.28699999999998
30	51226	149.8795
31	372	147.279
32	51272	147.17849999999999
33	9276	144.377
34	11316	143.2765
35	22908	141.175
36	1314	140.576
37	5581	136.774
38	4048	135.89749999999998
39	6955	134.58499999999998
40	5354	133.2855
41	338917	132.399
42	915	132.38400000000001
43	926	129.5825
44	28638	129.38299999999998
45	917	127.97350000000002
46	6964	115.673
47	6532	113.78099999999999
48	3802	112.782
49	7037	110.958
50	10134	109.97449999999999
51	3821	109.58
52	5578	106.76399999999998
53	54681	99.18050000000001
54	56886	93.8755
55	5376	92.078
56	3688	88.9725
57	5582	87.56
58	5583	86.75699999999999
59	5788	85.638
60	5580	84.755
61	285761	78.7505
62	30062	78.185
63	5579	76.853
64	3811	74.1585
65	4869	72.54400000000001
66	4070	70.1625
67	3667	69.73400000000001
68	5590	69.447
69	1080	68.4615
70	5588	66.65
71	6714	66.4145
72	4233	65.2095
73	4985	63.3575
74	60312	62.45550000000001
75	2625	62.177499999999995
76	4900	60.751
77	3643	60.714999999999996
78	2781	59.951499999999996
79	10728	59.773
80	2769	59.4495
81	1103	59.25450000000001
82	3675	58.972
83	5782	58.92100000000001
84	54577	58.668499999999995
85	120	58.649
86	25780	57.7155
87	10287	57.345000000000006
88	5584	56.9465
89	2915	56.751999999999995
90	65108	56.548
91	2673	55.7485
92	5734	54.54600000000001
93	5770	53.60850000000001
94	6902	51.79600000000001
95	3655	51.67
96	433	51.3445
97	3749	51.259
98	1267	51.140499999999996
99	302	50.3365
100	7504	50.2425
101	1293	48.560500000000005
102	960	47.940999999999995
103	5341	47.7375
104	1956	47.2045
105	4000	46.9345
106	5034	46.773
107	3315	46.7395
108	1301	46.182
109	6199	45.8455
110	5037	45.836
111	30001	45.766999999999996
112	4001	45.732
113	22927	45.443
114	6876	43.8355
115	846	43.637
116	3732	42.471500000000006
117	928	41.968
118	2890	41.839999999999996
119	26353	41.729
120	7106	41.669
121	3077	41.272000000000006
122	977	40.971
123	2893	40.7295
124	5738	40.5675
125	975	40.4695
126	967	40.467
127	963	40.170500000000004
128	5587	39.614
129	6624	39.553
130	4179	39.4685
131	5066	39.235
132	3679	39.1665
133	1601	38.9135
134	931	38.165499999999994
135	2515	38.1645
136	2705	38.123000000000005
137	2904	38.118
138	3673	38.062
139	3676	37.464999999999996
140	7074	37.2475
141	3112	36.963
