rank	node	rank_score
1	841	178.69850000000002
2	4137	177.19400000000002
3	839	175.893
4	339175	174.79749999999999
5	836	174.6905
6	834	172.789
7	55798	169.497
8	837	168.08800000000002
9	840	167.38600000000002
10	843	166.7875
11	23581	162.087
12	4925	148.7885
13	8837	147.683
14	835	143.1805
15	10392	142.382
16	10134	141.47150000000002
17	331	140.781
18	598	139.7795
19	842	138.98
20	22861	135.478
21	83941	133.69650000000001
22	3606	122.48499999999999
23	1832	121.17049999999999
24	6714	117.90050000000001
25	317	115.27649999999998
26	23385	114.59949999999999
27	7316	109.3635
28	5590	107.852
29	6622	106.745
30	25	102.46849999999999
31	64127	101.374
32	637	99.777
33	320	99.4
34	83464	96.69800000000001
35	596	96.4695
36	65267	95.48150000000001
37	8767	95.269
38	58484	94.6775
39	10017	94.36699999999999
40	84898	93.799
41	330	92.668
42	7132	89.666
43	7314	89.431
44	8772	88.564
45	5925	87.0875
46	1956	86.534
47	8795	86.173
48	8996	86.1585
49	355	85.761
50	356	83.954
51	329	83.86449999999999
52	8737	83.862
53	8717	83.85900000000001
54	5599	82.5525
55	8797	80.7625
56	6667	80.7505
57	9191	80.572
58	4478	80.56
59	396	79.657
60	7185	78.263
61	387	77.9515
62	8915	77.765
63	57099	76.66749999999999
64	3002	76.279
65	7430	76.256
66	9546	74.9935
67	51107	73.796
68	55851	72.79249999999999
69	3320	72.253
70	322	71.19
71	581	69.749
72	207	69.628
73	7186	68.4565
74	3303	68.146
75	3312	67.13550000000001
76	5894	66.005
77	2081	61.947500000000005
78	29108	60.775
79	1313	60.7615
80	3875	59.209
81	2534	57.797000000000004
82	7534	56.12950000000001
83	3551	55.94449999999999
84	2885	55.653999999999996
85	9020	54.9495
86	3309	54.94
87	11035	54.726
88	23118	54.637
89	7087	53.791999999999994
90	6885	53.735
91	3654	53.63199999999999
92	203068	53.355
93	55957	52.894499999999994
94	8517	52.230500000000006
95	6233	51.724000000000004
96	8743	51.658
97	4170	51.473
98	831	51.352
99	7529	51.3215
100	1326	51.248000000000005
101	23429	51.143
102	113457	50.742000000000004
103	7157	50.2435
104	27429	49.844
105	7189	49.7415
106	10277	49.684000000000005
107	11140	48.7125
108	27113	48.3725
109	578	47.8735
110	3305	47.3405
111	1147	47.233
112	414899	46.965999999999994
113	790	46.629000000000005
114	5594	46.1515
115	7311	45.915499999999994
116	162989	45.8825
117	572	45.011
118	7278	44.6365
119	208	44.6225
120	3301	44.5345
121	1020	44.159000000000006
122	838	44.0655
123	3326	43.321
124	4214	43.123000000000005
125	10454	42.736000000000004
126	29110	42.5265
127	3313	42.1315
128	10382	41.1325
129	92609	40.7145
130	5591	40.614999999999995
131	5970	40.417500000000004
132	613	40.0535
133	10018	39.702
134	10273	39.6225
135	7431	39.6115
136	10010	38.6395
137	4791	38.622
138	4792	38.32
139	71	37.626999999999995
140	367	37.219
141	79444	37.1605
142	805	36.519
143	4067	35.5755
144	4790	35.518
145	4794	35.2235
146	1795	35.0925
147	10194	34.689499999999995
148	5971	34.6195
149	11184	34.386
150	60401	34.2545
151	4793	34.2255
152	6850	33.9765
153	4215	33.83
154	10000	33.309000000000005
155	22839	33.1425
156	7133	32.6135
157	5295	32.5875
158	51237	32.1785
159	808	31.9185
160	673	31.825
161	1213	31.220499999999998
162	2185	31.171000000000003
163	5335	31.076999999999998
164	57190	30.869999999999997
165	9564	30.683500000000002
166	6655	30.584000000000003
167	1398	30.384500000000003
168	801	30.3375
169	3308	30.316499999999998
170	4217	30.2065
171	10278	29.875
172	56955	29.8735
173	6464	29.776
174	4690	29.483000000000004
175	5829	29.482499999999998
176	1399	29.377499999999998
177	867	29.278999999999996
178	7187	29.253499999999995
179	58512	28.977999999999998
180	50807	28.555500000000002
181	2889	28.085500000000003
182	128853	27.9685
183	5604	27.915499999999998
184	5921	27.6695
185	282049	27.442500000000003
186	6654	27.079499999999996
187	27040	26.958499999999997
188	868	26.9565
189	708	26.908500000000004
190	83747	26.866999999999997
191	5966	26.813
192	7535	26.764999999999997
193	80831	26.4675
194	5747	26.373
195	8853	26.265499999999996
196	29760	26.0485
197	2887	25.749000000000002
198	5336	25.555
199	3937	25.3595
200	9532	25.31
201	445815	25.1645
202	347733	25.116
203	7409	25.0625
204	8739	24.648500000000002
205	9641	24.607
206	25946	24.259
207	4739	24.180500000000002
208	10006	24.068
209	3310	23.911
210	9743	23.781
211	2065	23.5705
212	83596	23.4455
213	5781	23.374000000000002
214	4628	23.1055
215	55824	22.7605
216	3055	22.557
217	5777	22.462
218	5578	22.423
219	220717	22.117
220	5366	21.84
221	3932	21.563
222	27	21.56
223	3717	21.4615
224	3815	21.458
225	2064	21.366
226	409	21.312
227	1452	21.2595
228	150684	21.113999999999997
229	2549	21.072
230	6452	20.753
231	2057	20.6535
232	23230	20.6495
233	5159	20.556
234	5610	20.442
235	1796	20.0445
236	597	19.845999999999997
237	26133	19.750999999999998
238	30818	19.6575
239	30011	19.649
240	25981	19.4955
241	3702	19.0425
242	2321	18.964
243	5782	18.759
244	408	18.7025
245	4914	18.3545
246	10451	18.247
247	7462	17.752
248	1445	17.645999999999997
249	4233	17.1725
250	8607	17.104
251	10892	17.057
252	7525	17.04
253	6722	16.9835
254	5414	16.981
255	3643	16.6515
256	5795	16.4435
257	10657	16.3405
258	6792	16.306
259	9749	16.1635
260	56995	15.983
261	5788	15.757499999999999
262	7531	15.519499999999999
263	85358	15.2785
264	7006	15.143
265	114548	15.073500000000001
266	5595	15.026499999999999
267	9919	15.003499999999999
268	9397	14.977500000000001
269	1439	14.825
270	10603	14.4475
271	7410	14.3385
272	4055	14.1465
273	5800	14.145
274	5793	14.141500000000002
275	29998	14.129500000000002
276	332	14.0745
277	1499	13.989500000000001
278	1436	13.966500000000002
279	3635	13.928
280	2597	13.91
281	8740	13.848500000000001
282	3856	13.8385
283	6776	13.736
284	7532	13.700999999999999
285	56616	13.65
286	3480	13.450999999999999
287	9229	13.374500000000001
288	8239	13.230500000000001
289	9228	13.2065
290	7454	13.137
291	3716	13.0365
292	7763	13.007499999999999
293	2066	12.9525
294	5787	12.8255
295	9402	12.5375
296	695	12.437999999999999
297	257397	12.3275
298	56957	12.22
299	6461	12.1465
300	3667	12.139
301	23787	12.0915
302	64112	12.060500000000001
303	4194	11.8495
304	2099	11.607
305	3791	11.55
306	8651	11.541
307	4646	11.5045
308	573	11.448
309	2690	11.3355
310	5770	11.139500000000002
311	7009	10.925
312	7415	10.908
313	9793	10.8595
314	2213	10.7235
315	4193	10.65
316	6777	10.535
317	1441	10.52
318	10758	10.4245
319	27071	10.23
320	5796	10.112
321	6774	10.0315
322	10818	9.861
323	57292	9.84
324	7416	9.8045
325	10750	9.750499999999999
326	599	9.658
327	2734	9.6205
328	9021	9.533
329	2316	9.428
330	5134	9.4215
331	4627	9.406
332	55715	9.114
333	27240	9.0325
334	8660	9.024000000000001
335	3560	8.828999999999999
336	85366	8.8125
337	5156	8.7345
338	3718	8.730500000000001
339	6772	8.531
340	5296	8.347999999999999
341	930	8.0125
342	1654	7.6259999999999994
343	100124696	7.333500000000001
344	660	7.331999999999999
345	9530	7.218000000000001
346	7010	7.2170000000000005
347	5287	7.143000000000001
348	152137	6.715999999999999
349	7297	6.6285
350	5566	6.5635
351	5979	6.422499999999999
352	60	6.302
353	8792	6.1525
354	64343	6.122999999999999
355	25970	6.0075
356	3572	5.927
357	857	5.7455
358	6416	5.720000000000001
359	142	5.5105
360	9131	5.314500000000001
361	7128	5.113
362	10128	4.921
363	2289	4.7015
364	2268	4.3215
365	55664	4.125
366	2260	4.0205
367	238	4.0115
368	3329	4.0105
369	5175	3.9219999999999997
370	8440	3.6145000000000005
371	983	3.5315
372	558	3.5105000000000004
373	6709	3.403
374	3324	3.322
375	4637	3.2079999999999997
376	146722	3.113
377	4869	3.0025
378	84617	2.8095
379	3575	2.726
380	7052	2.6555
381	7287	2.4690000000000003
382	2137	2.4045
383	26191	2.234
384	10399	2.1094999999999997
385	9462	1.9114999999999998
386	2322	1.8135
387	6156	1.6004999999999998
388	974	1.5055
389	5580	1.4275
390	933	1.4184999999999999
391	4691	1.403
392	1027	1.335
393	4582	1.254
394	498	1.205
395	10849	1.1075
396	10627	1.008
397	5170	0.705
398	5338	0.6174999999999999
399	7275	0.605
400	5771	0.519
401	9043	0.5175
402	5058	0.5105000000000001
403	7846	0.504
404	10044	0.27949999999999997
405	3304	0.10500000000000001
406	23621	0.095
407	9436	0.091
408	79890	0.091
409	10972	0.091
410	1501	0.0905
411	10959	0.088
412	92737	0.0865
413	57127	0.086
414	6731	0.08549999999999999
415	27178	0.08449999999999999
416	10068	0.08349999999999999
417	1019	0.08299999999999999
418	7177	0.08199999999999999
419	4634	0.081
420	9054	0.079
421	56147	0.0775
422	128553	0.076
423	4663	0.0755
424	1639	0.0735
425	84674	0.0725
426	9103	0.0715
427	22900	0.071
428	2932	0.0705
429	8809	0.06999999999999999
430	83737	0.06999999999999999
431	81491	0.068
432	126669	0.0665
433	8784	0.0665
434	389114	0.064
435	29886	0.064
436	334	0.063
437	64714	0.0625
438	120892	0.062
439	682	0.062
440	54739	0.061
441	10928	0.06
442	249	0.0595
443	11250	0.058499999999999996
444	9994	0.05550000000000001
445	63970	0.053500000000000006
446	10019	0.052000000000000005
447	2861	0.0505
448	84433	0.05
449	4287	0.0495
450	139716	0.049
451	7182	0.048
452	5037	0.0475
453	10913	0.047
454	9891	0.046
455	2209	0.046
456	8878	0.0455
457	90427	0.042499999999999996
458	23624	0.041999999999999996
459	114132	0.041999999999999996
460	92591	0.041499999999999995
461	51499	0.040999999999999995
462	9047	0.040999999999999995
463	8529	0.0405
464	55504	0.039
465	1843	0.039
466	120329	0.039
467	7188	0.0385
468	113802	0.038
469	1111	0.038
470	8682	0.038
471	57506	0.0335
472	54769	0.0325
473	54923	0.0315
474	4486	0.0315
475	245711	0.0295
476	4671	0.028499999999999998
477	246330	0.028499999999999998
478	3376	0.027000000000000003
479	54939	0.0235
480	23344	0.0215
481	156	0.019
482	2533	0.018
483	640	0.018
484	2242	0.0165
485	3454	0.016
