rank	node	rank_score
1	7316	178.2
2	207	169.2965
3	6714	159.2945
4	10013	158.299
5	55107	156.698
6	5879	149.089
7	56990	144.6885
8	56882	135.484
9	4137	130.3985
10	6198	129.6935
11	5590	127.888
12	5578	123.475
13	151050	110.285
14	84923	109.894
15	840	108.3975
16	2932	105.14500000000001
17	836	102.387
18	397	100.6645
19	1956	100.086
20	367	99.47749999999999
21	26268	96.99600000000001
22	65267	95.8865
23	208	94.5805
24	4296	88.8875
25	7534	88.73400000000001
26	23348	84.98150000000001
27	5770	84.218
28	10000	81.08
29	841	80.0925
30	6103	79.8995
31	56924	78.883
32	5594	78.36749999999999
33	8682	74.2695
34	5580	74.2175
35	25	73.0735
36	581	72.87
37	4233	72.017
38	2099	72.01050000000001
39	6667	71.666
40	6249	71.291
41	8570	69.2895
42	5910	69.0995
43	10277	68.2765
44	27250	66.99300000000001
45	4983	66.688
46	1124	61.1835
47	2885	60.8815
48	9743	60.68050000000001
49	23401	60.176
50	9744	60.0705
51	10121	58.997
52	5335	58.4825
53	4688	57.194
54	3667	56.713
55	5295	54.679500000000004
56	3320	54.168499999999995
57	5610	53.2615
58	57630	52.5825
59	6774	52.5015
60	5595	51.570499999999996
61	387	50.784000000000006
62	7015	50.7635
63	3010	50.496500000000005
64	1432	50.167
65	1499	49.606
66	7157	49.5565
67	2534	48.378499999999995
68	5747	47.847
69	4287	47.291
70	201176	46.593
71	4925	46.082499999999996
72	839	45.7855
73	5599	45.5385
74	2064	45.1695
75	1026	44.9005
76	5894	44.560500000000005
77	2887	44.1245
78	56995	43.663
79	5925	42.771
80	6464	42.475
81	57007	42.2575
82	7409	42.189499999999995
83	200576	42.079499999999996
84	8031	41.08
85	6850	40.283
86	60312	40.057
87	5829	39.9495
88	9846	38.778999999999996
89	55968	38.695
90	5337	38.582
91	867	38.263999999999996
92	1183	37.795
93	2549	37.739999999999995
94	55026	37.695
95	11184	37.661
96	677	37.55800000000001
97	5663	37.273
98	4486	37.101
99	5587	36.473
100	5159	36.1565
101	4294	35.9905
102	613	35.576
103	56955	35.573
104	57190	35.2675
105	688	35.1545
106	85345	34.985
107	64857	34.688
108	1852	34.4655
109	10451	34.076499999999996
110	5581	33.9795
111	5788	33.62
112	2185	33.552
113	50807	33.4445
114	445815	33.376999999999995
115	3717	32.6665
116	1901	32.665499999999994
117	7314	32.632
118	57127	32.58
119	7837	32.4255
120	8506	32.383500000000005
121	6452	32.357
122	2057	32.021
123	7430	31.6065
124	1398	31.565499999999997
125	673	31.457
126	3643	31.4275
127	2137	31.3745
128	2065	31.369
129	5781	31.335500000000003
130	842	30.884500000000003
131	23230	30.8555
132	4690	30.7685
133	7529	30.509500000000003
134	5728	30.484500000000004
135	115557	30.284000000000002
136	4067	30.1775
137	85358	30.160500000000003
138	2308	29.9875
139	27	29.970999999999997
140	4070	29.8745
141	8837	29.691499999999998
142	58512	29.341999999999995
143	5921	29.2755
144	128853	29.272000000000002
145	4194	29.008500000000005
146	5336	28.8645
147	7535	28.6715
148	7249	28.4625
149	4193	28.201999999999998
150	6792	28.170499999999997
151	5782	28.119
152	9749	27.657999999999998
153	1399	27.353499999999997
154	6197	27.322000000000003
155	80831	26.867
156	5970	26.7305
157	3480	26.6325
158	2475	26.322000000000003
159	2033	26.24
160	7468	25.549
161	29886	25.253
162	3091	25.1855
163	6654	24.9635
164	3932	24.7625
165	672	24.7485
166	2321	24.731
167	5604	24.6175
168	27040	24.568
169	7431	24.4125
170	1051	24.328
171	6776	24.314
172	7287	24.247999999999998
173	1457	24.1565
174	9564	24.059
175	5591	23.950499999999998
176	5582	23.899
177	4609	23.820999999999998
178	10603	23.727
179	23787	23.668
180	54206	23.605
181	2889	23.3265
182	1386	23.2355
183	6772	22.907999999999998
184	7410	22.66
185	81491	22.519
186	4914	22.514
187	2931	22.187
188	7177	21.962
189	835	21.186
190	5170	21.075499999999998
191	5777	20.9515
192	572	20.7805
193	10278	20.732
194	2697	20.6635
195	7011	20.4495
196	1387	20.3425
197	92591	20.339
198	3815	19.837
199	2764	19.8065
200	9103	19.781
201	29760	19.753999999999998
202	3725	19.753
203	9373	19.5985
204	1111	19.456
205	3937	19.3725
206	11250	19.310499999999998
207	9411	19.2905
208	55824	19.074
209	3895	18.6905
210	9371	18.580000000000002
211	5287	18.555
212	11127	18.482499999999998
213	7275	18.4615
214	3312	18.433
215	4627	18.4025
216	79444	18.346
217	203068	18.3425
218	1103	18.148500000000002
219	4969	18.1345
220	10019	17.9455
221	4654	17.921
222	331	17.877000000000002
223	6199	17.8475
224	23731	17.768
225	4088	17.732499999999998
226	7277	17.695500000000003
227	2066	17.634
228	81627	17.509
229	64111	17.443
230	1027	17.2575
231	6196	17.137999999999998
232	2309	17.127000000000002
233	9054	16.9285
234	868	16.866
235	4515	16.772
236	26191	16.749000000000002
237	83478	16.685499999999998
238	5588	16.674
239	83747	16.669999999999998
240	330	16.582
241	2316	16.3875
242	548313	16.363
243	27429	16.2625
244	7531	16.2055
245	5584	16.191
246	930	16.1505
247	10071	16.0415
248	5979	16.0025
249	56616	15.751
250	405	15.738999999999999
251	1021	15.7215
252	55323	15.679499999999999
253	29998	15.654500000000002
254	7799	15.6495
255	7798	15.6345
256	9252	15.631499999999999
257	1022	15.606
258	329	15.552000000000001
259	54923	15.5435
260	6655	15.4595
261	653361	15.339499999999997
262	1847	15.25
263	6233	15.2165
264	6416	15.16
265	10818	15.107499999999998
266	133746	14.963999999999999
267	54739	14.86
268	25946	14.808000000000002
269	9623	14.7715
270	7185	14.575999999999999
271	1978	14.526499999999999
272	7311	14.5215
273	3150	14.4375
274	27240	14.434999999999999
275	5579	14.370499999999998
276	3875	14.2745
277	1017	14.238499999999998
278	1020	14.209999999999999
279	64499	14.144
280	23258	14.068999999999999
281	5795	14.026
282	392	13.8935
283	5081	13.89
284	9891	13.863999999999999
285	1795	13.8375
286	10392	13.474
287	843	13.383000000000001
288	3315	13.3625
289	60	13.2925
