rank	node	rank_score
1	2335	173.6995
2	651	171.899
3	118429	170.498
4	6667	151.49650000000003
5	11226	137.4985
6	54496	135.1
7	351	134.2
8	7045	132.49349999999998
9	3026	128.9975
10	5653	112.89949999999999
11	1285	112.393
12	1286	112.29249999999999
13	4147	110.19149999999999
14	1288	108.2835
15	5270	107.2775
16	2199	107.0885
17	6288	106.883
18	1287	105.49099999999999
19	5008	104.752
20	4318	102.48600000000002
21	4089	98.397
22	2099	97.38550000000001
23	83941	96.69800000000001
24	5670	95.494
25	221079	94.9955
26	4087	90.89500000000001
27	2885	90.8095
28	22918	86.88250000000001
29	1634	85.273
30	4654	84.896
31	1278	84.57849999999999
32	2033	83.0875
33	5549	82.476
34	1277	82.275
35	4811	82.1775
36	7040	81.57000000000001
37	4088	81.093
38	1690	79.2665
39	3725	79.066
40	6714	79.04650000000001
41	1280	78.768
42	57007	78.7025
43	7057	78.6635
44	633	78.1755
45	3690	77.05850000000001
46	163126	76.387
47	6678	76.265
48	3685	76.2495
49	284217	75.779
50	286343	74.46000000000001
51	22795	74.0745
52	164656	73.777
53	1305	73.7625
54	3339	72.771
55	1956	71.054
56	8202	70.1745
57	4313	70.059
58	5858	69.55699999999999
59	367	68.269
60	1387	68.089
61	5155	68.061
62	9611	67.1935
63	861	64.3835
64	51592	62.7845
65	6601	60.6885
66	672	59.869499999999995
67	9612	59.527499999999996
68	3688	58.5545
69	2934	58.45550000000001
70	2192	58.248000000000005
71	1051	58.1355
72	3678	57.24300000000001
73	27329	56.545
74	25981	56.394499999999994
75	4856	56.143499999999996
76	1294	55.9575
77	6599	55.886
78	2200	55.770500000000006
79	5925	55.6185
80	64856	55.564499999999995
81	6497	55.1915
82	80781	54.847
83	57492	54.69199999999999
84	22801	54.152499999999996
85	7421	53.684000000000005
86	1293	53.549
87	3371	52.7365
88	3065	52.57950000000001
89	7837	52.3855
90	158931	52.291999999999994
91	1490	51.9385
92	2006	51.272000000000006
93	7052	50.64149999999999
94	7058	49.942
95	27123	49.8995
96	325	49.778
97	3918	49.755
98	10401	49.563
99	712	49.366
100	948	49.351
101	4237	48.0715
102	23682	47.879
103	7157	47.674
104	3674	47.6445
105	6988	46.87
106	63976	45.9925
107	7798	45.481
108	5371	45.290499999999994
109	2201	44.266999999999996
110	3672	44.2375
111	6722	43.6945
112	3673	43.5615
113	6598	43.381
114	7042	42.075
115	6602	41.8805
116	10499	41.844
117	6908	41.468
118	3066	41.077999999999996
119	6595	41.0735
120	8289	39.9815
121	6603	39.8675
122	54760	39.583000000000006
123	7700	38.7755
124	5970	38.658
125	4052	38.4685
126	8841	38.4105
127	7392	37.999
128	10498	37.582
129	10272	36.997
130	6996	36.786500000000004
131	9031	36.7475
132	2959	36.4545
133	4035	36.134
134	961	36.044
135	23054	35.4225
136	7044	35.1755
137	1101	34.65
138	8076	34.346
139	6604	34.167
140	2962	33.9555
141	7422	33.9535
142	56851	33.6625
143	7155	33.480000000000004
144	960	33.324
145	25942	32.864999999999995
146	6605	32.777
147	3621	32.650999999999996
148	55809	32.358
149	8932	31.375999999999998
150	8819	31.371500000000005
151	55193	31.154000000000003
152	4298	31.15
153	5747	30.839499999999997
154	7373	30.817
155	9325	30.73
156	5029	30.140499999999996
157	2908	30.131
158	6610	29.899
159	56951	29.597500000000004
160	86	29.472
161	5928	29.457
162	5829	28.8225
163	5325	28.459000000000003
164	6872	28.2635
165	196528	28.0685
166	57459	27.7665
167	1289	27.560000000000002
168	4099	27.356
169	5927	27.353499999999997
170	8820	27.3385
171	5977	27.258499999999998
172	1299	27.151999999999997
173	4609	27.143
174	29028	27.1305
175	1291	26.940999999999995
