rank	node	rank_score
1	1326	180.1
2	113457	177.098
3	3305	174.2965
4	7186	174.099
5	7278	172.89600000000002
6	9020	172.4975
7	8737	171.897
8	4792	171.393
9	4791	170.7935
10	10382	169.994
11	5971	169.2905
12	4790	169.0915
13	3551	166.895
14	3313	166.49200000000002
15	4794	166.49
16	1147	165.99099999999999
17	4793	165.7895
18	8517	164.7925
19	29110	163.59449999999998
20	5970	163.48899999999998
21	2734	160.08800000000002
22	92609	159.7875
23	3303	159.2885
24	10010	158.9955
25	71	156.5855
26	808	156.28699999999998
27	6885	156.0845
28	23118	155.885
29	805	155.3865
30	7132	153.586
31	203068	151.983
32	1213	151.584
33	3312	150.9835
34	3320	148.382
35	11035	147.98250000000002
36	4215	147.38150000000002
37	8767	147.0795
38	790	146.581
39	801	145.28050000000002
40	8717	144.88
41	9532	143.679
42	3326	141.17849999999999
43	7133	140.878
44	3301	140.2775
45	10454	140.176
46	9641	139.47449999999998
47	7189	139.37550000000002
48	4214	139.177
49	3310	137.9765
50	347733	135.875
51	7314	134.074
52	708	133.07350000000002
53	220717	132.373
54	8607	131.3725
55	11140	130.472
56	7311	128.871
57	409	128.7705
58	6233	127.47
59	7316	126.16900000000001
60	4646	126.06949999999999
61	408	124.1685
62	6156	123.268
63	1917	121.9675
64	6207	121.367
65	1654	121.06649999999999
66	6128	119.56599999999999
67	79155	119.49949999999998
68	10856	118.9645
69	6232	118.6655
70	292	116.16399999999999
71	9349	115.66300000000001
72	6205	115.1635
73	6188	113.56199999999998
74	8454	112.96100000000001
75	2091	112.2625
76	6217	110.66
77	6202	110.3605
78	293	109.5615
79	10985	109.3595
80	6224	107.25900000000001
81	6191	106.1575
82	6135	106.05850000000001
83	6208	105.258
84	6169	102.75699999999999
85	6204	101.95599999999999
86	6129	101.15650000000001
87	6141	100.9555
88	6146	98.954
89	6222	98.85499999999999
90	6203	97.95450000000001
91	6132	97.253
92	6181	96.95349999999999
93	6229	96.2525
94	6130	96.252
95	6189	94.35
96	6223	93.451
97	6124	93.1505
98	6193	90.7515
99	6206	90.4495
100	2197	89.749
101	25873	87.9485
102	6171	87.3475
103	6218	86.44800000000001
104	140032	86.047
105	6192	84.7465
106	6167	83.646
107	6227	82.74549999999999
108	6122	81.944
109	6164	81.845
110	6231	80.6445
111	6230	79.043
112	6161	78.34349999999999
113	6234	77.9425
114	3921	76.742
115	6170	75.6415
116	497661	74.741
117	6155	73.8395
118	6209	73.7405
119	6173	72.74
120	4736	71.939
121	6176	69.838
122	6235	69.5385
123	6125	68.8375
124	6165	67.337
125	6133	67.236
126	6210	66.2365
127	6160	64.5355
128	6228	64.535
129	6137	63.034000000000006
130	11224	62.6345
131	6194	61.533500000000004
132	6152	60.43299999999999
133	6175	59.2325
134	6138	58.532
135	9045	58.1315
136	6168	56.53099999999999
137	6134	56.5305
138	6136	54.62950000000001
139	6147	54.33
140	6157	53.428
141	6187	52.028999999999996
142	6143	52.028499999999994
143	6201	50.427
144	23521	50.3275
145	6159	48.326499999999996
146	6142	48.1255
147	6158	46.826
148	6154	46.625
149	6144	45.4245
150	4673	44.024
151	55681	43.7235
152	8971	42.323
153	9188	41.322500000000005
154	55131	39.8215
155	10078	39.6985
156	2969	39.065
157	3007	38.821000000000005
158	8342	37.820499999999996
159	11137	37.72
160	7846	37.522000000000006
161	6949	36.1195
162	4869	36.1145
163	51602	35.219
164	72	34.5185
165	9221	33.318
166	4904	33.2155
167	6727	32.8175
168	10758	32.7715
169	55299	31.417
170	7284	30.516499999999997
171	1938	29.815999999999995
172	81027	27.915
173	5134	27.768
174	841	27.4695
175	26156	26.4135
176	6732	25.314
177	10514	24.313
178	51631	23.4125
179	4691	23.012
180	10969	22.5115
181	4670	20.611
182	3608	20.210500000000003
183	10642	19.31
184	2058	19.1035
185	3609	18.2095
186	26354	17.2085
187	3192	16.0075
188	55646	15.909
189	3178	15.407999999999998
190	7150	13.806999999999999
191	1915	12.906
192	4809	12.006499999999999
193	1660	11.105500000000001
194	11338	10.205
195	7307	9.3045
196	728937	8.404
197	22907	6.603
198	5250	5.9025
199	5245	4.901999999999999
200	11331	3.7015000000000002
201	25885	3.2009999999999996
202	23405	2.4005
203	23345	1.1015000000000001
204	9782	0.601
205	6139	0.20049999999999998
206	3018	0.099
207	389114	0.0985
208	150684	0.0685
209	3014	0.056999999999999995
