rank	node	rank_score
1	293	177.39749999999998
2	708	170.797
3	10526	169.996
4	6748	167.995
5	3313	167.8965
6	64101	167.8945
7	55705	166.891
8	92736	166.794
9	11136	165.7935
10	5018	164.793
11	55161	164.5895
12	478	163.7925
13	6895	162.8885
14	1975	162.0915
15	1207	160.39000000000001
16	6232	160.0955
17	26292	159.9905
18	1717	159.392
19	27161	158.289
20	292	157.4805
21	8607	156.88600000000002
22	79711	156.18800000000002
23	5250	155.4845
24	8241	155.2875
25	2010	155.18699999999998
26	79084	154.2835
27	23405	153.783
28	4697	153.2865
29	10856	152.7825
30	6169	151.9815
31	5709	151.5855
32	10454	150.185
33	10985	148.78400000000002
34	5133	148.7775
35	3329	148.28
36	26523	148.278
37	8890	147.877
38	9349	147.7795
39	6745	147.176
40	476	146.77550000000002
41	3326	146.679
42	10294	146.4765
43	1915	145.77849999999998
44	1650	145.0745
45	3185	144.982
46	291	144.775
47	6224	144.581
48	51065	143.07350000000002
49	11100	141.374
50	6188	139.77249999999998
51	23411	139.373
52	10419	137.872
53	9733	136.97150000000002
54	192669	129.971
55	192670	129.2705
56	170506	127.6695
57	50628	127.57000000000001
58	6193	125.869
59	6157	125.0675
60	11331	123.76599999999999
61	22907	122.968
62	11224	122.56649999999999
63	6152	122.1685
64	728937	121.0655
65	3593	120.1
66	6203	119.667
67	3594	119.49949999999998
68	6139	118.9645
69	55037	118.76500000000001
70	509	117.4635
71	23345	116.46399999999998
72	23521	115.86300000000001
73	6128	114.96199999999999
74	84319	114.1625
75	284996	112.9615
76	57835	111.66100000000002
77	3608	111.0595
78	388697	110.4605
79	6222	110.46
80	6147	108.15900000000002
81	6210	107.2585
82	6124	106.458
83	6135	105.6525
84	1314	104.45599999999999
85	2058	104.157
86	6154	101.95750000000001
87	6132	101.75550000000001
88	11218	101.255
89	56945	100.354
90	26354	98.8545
91	6160	98.852
92	6187	98.7565
93	23107	98.2535
94	6159	98.053
95	6194	95.2515
96	6191	93.351
97	5245	92.8505
98	6189	92.85
99	6202	91.2495
100	4904	90.5485
101	2091	89.949
102	3183	88.0475
103	1665	87.848
104	26986	87.447
105	3192	85.9465
106	10992	84.74549999999999
107	284695	84.446
108	222235	82.74449999999999
109	10642	82.345
110	11103	81.0435
111	3188	80.143
112	51561	79.199
113	10772	78.74249999999999
114	149233	78.6985
115	6134	78.3415
116	23451	77.644
117	6143	77.6405
118	55379	75.94200000000001
119	6158	75.741
120	1660	74.439
121	6142	73.9395
122	84844	72.74
123	23450	71.237
124	6165	70.8385
125	6144	69.938
126	9045	69.2375
127	10989	67.5365
128	6137	67.436
129	6129	65.83500000000001
130	6228	65.13550000000001
131	6201	64.7345
132	10492	63.434000000000005
133	64960	62.533500000000004
134	64969	61.43299999999999
135	51116	60.532500000000006
136	51649	59.532
137	55646	59.43150000000001
138	51021	58.230999999999995
139	9775	57.130500000000005
140	51639	56.23
141	9782	55.32950000000001
142	27043	54.428999999999995
143	6138	52.628499999999995
144	55226	52.6275
145	10969	52.327999999999996
146	51202	51.027
147	6168	50.0265
148	388698	48.425
149	83858	48.226
150	5094	46.8245
151	23560	46.5255
152	55003	46.024
153	5042	44.6235
154	26608	43.523
155	54881	42.6225
156	27292	41.722
157	8886	40.8215
158	81887	39.92100000000001
159	4242	39.298
160	57418	39.0205
161	23263	38.12
162	1748	37.219
163	2332	36.2185
164	26156	35.4195
165	1994	35.118
166	9329	34.0175
167	10514	33.117000000000004
168	8487	31.816499999999998
169	6136	30.515499999999996
170	6184	30.214999999999996
171	3191	29.615999999999996
172	9533	28.414499999999997
173	25885	26.814
174	2975	26.813499999999998
175	3609	25.813
176	5976	24.8125
177	6950	23.512
178	6175	23.2115
179	6130	22.0105
180	6141	20.711000000000002
181	6207	20.61
182	9513	19.2095
183	4343	17.9085
184	4691	17.609
185	10643	16.708
186	4869	16.107499999999998
187	23020	14.806999999999999
188	6155	13.9065
189	4736	13.006
190	8335	12.105500000000001
191	6176	11.205
192	30968	10.203999999999999
193	8087	9.5045
194	5936	8.503499999999999
195	51191	7.603
196	6170	6.702500000000001
197	497661	5.802
198	6209	4.9015
199	6173	4.0009999999999994
200	6218	3.1005
201	6161	1.8024999999999998
202	55131	1.1015000000000001
203	6235	0.9019999999999999
204	3007	0.301
205	84617	0.0975
206	6181	0.001
207	8342	0.0005
208	11137	0.0005
