rank	node	rank_score
1	55330	179.09949999999998
2	10947	176.4
3	63915	174.59650000000002
4	10239	173.4985
5	2647	170.8955
6	79803	170.096
7	282991	168.695
8	1176	166.9975
9	23557	164.993
10	7057	162.89000000000001
11	8170	161.388
12	8120	161.2945
13	3688	157.387
14	4352	156.199
15	26985	155.7935
16	8943	154.9915
17	3290	153.96949999999998
18	84940	153.7965
19	2812	151.998
20	718	151.5905
21	3675	151.58350000000002
22	2811	146.497
23	9933	145.881
24	961	144.892
25	5199	143.183
26	3674	142.9895
27	6714	142.572
28	5747	141.7665
29	928	141.289
30	11326	129.668
31	7781	128.294
32	2534	125.55699999999999
33	2335	124.48150000000001
34	3685	123.475
35	4067	121.7415
36	2185	121.24949999999998
37	2885	120.465
38	6464	119.65900000000002
39	3386	118.5865
40	5829	118.46399999999998
41	1956	115.07350000000001
42	5335	113.532
43	5295	112.25
44	7052	109.878
45	4179	106.779
46	25	104.74650000000001
47	950	103.88600000000001
48	58512	103.745
49	1399	103.6385
50	9564	101.95349999999999
51	5781	101.047
52	5175	100.3105
53	10278	100.2375
54	57190	99.73949999999999
55	3815	98.1085
56	3684	97.77000000000001
57	5029	97.671
58	1398	97.651
59	867	95.9365
60	4690	93.741
61	3676	93.5845
62	1796	93.2345
63	11184	93.223
64	7525	92.809
65	80831	92.244
66	7070	90.66900000000001
67	56995	90.5475
68	2889	89.94449999999999
69	5159	89.646
70	2324	88.4615
71	2064	88.0515
72	57007	87.962
73	2321	87.638
74	445815	87.548
75	9846	87.02799999999999
76	56955	84.742
77	2515	84.685
78	5921	84.53999999999999
79	2065	84.526
80	7450	84.4875
81	613	83.037
82	6850	81.6335
83	128853	79.005
84	7106	78.68199999999999
85	5310	77.15450000000001
86	967	76.3715
87	27329	75.4705
88	3932	74.2305
89	6655	73.24300000000001
90	5738	71.86749999999999
91	85358	71.825
92	3791	71.2165
93	10878	70.983
94	1436	70.315
95	868	69.921
96	5156	69.413
97	7177	68.0095
98	975	67.4635
99	23230	66.436
100	6792	64.9195
101	9749	64.72999999999999
102	7837	64.654
103	2934	64.35499999999999
104	1278	64.17949999999999
105	7287	63.929500000000004
106	83747	62.503499999999995
107	27	62.445499999999996
108	4856	61.474000000000004
109	3678	60.977
110	3055	60.8235
111	55824	60.6265
112	57127	60.231500000000004
113	1445	60.2255
114	5777	60.2025
115	7094	60.05550000000001
116	6654	60.035000000000004
117	3491	59.2645
118	11250	59.138999999999996
119	29886	58.935500000000005
120	7409	58.927
121	81491	58.44349999999999
122	3655	57.9655
123	3732	57.773
124	977	57.6605
125	2549	57.634
126	3937	56.819
127	5782	55.251999999999995
128	3112	55.06699999999999
129	4145	53.935500000000005
130	3643	53.322500000000005
131	3109	53.260000000000005
132	2147	52.8885
133	8460	52.7885
134	5336	52.140499999999996
135	2057	52.10450000000001
136	50807	52.03099999999999
137	2814	51.9855
138	8754	51.0575
139	92591	50.931
140	29760	50.712
141	6005	50.084
142	6414	50.0755
143	10451	49.824
144	9103	49.5175
145	10006	46.21
146	8516	46.1805
147	3673	45.5785
148	7535	45.522000000000006
149	4739	45.1325
150	930	44.533
151	11226	44.166
152	1293	44.0755
153	3480	41.9485
154	58480	41.881
155	2317	40.872
156	3780	40.863
157	6461	40.7155
158	10603	40.6155
159	55715	40.4505
160	4969	40.2635
161	29998	39.7275
162	3693	39.0625
163	5287	38.918
164	8853	38.6125
165	64111	38.011
166	57292	38.0005
167	81543	37.936
168	2137	37.9135
169	9229	37.520500000000006
170	64499	36.5205
171	7275	35.566500000000005
172	375	35.491
173	1439	35.235
174	9054	35.06
175	10019	34.8275
176	5795	34.4015
177	2887	34.400999999999996
178	7424	34.3075
179	5788	34.205
180	3371	34.1725
181	79585	33.971000000000004
182	7462	33.903
183	9472	33.3605
184	50852	32.7285
185	1277	32.277499999999996
186	27240	31.514
187	10085	30.982499999999998
188	80781	30.266499999999997
189	8529	30.228499999999997
190	2208	29.984500000000004
191	56271	29.6625
192	963	29.661
193	22801	29.0745
194	7798	28.549
195	1795	28.319499999999998
196	27040	28.214499999999997
197	23483	28.2075
198	10818	27.119999999999997
199	7006	26.9065
200	7058	26.580000000000002
201	4233	26.2115
202	114132	26.021000000000004
203	64714	25.833
204	54923	24.929
205	56141	24.8375
206	4914	24.613999999999997
207	139716	24.565
208	8651	24.0055
209	6774	23.503999999999998
210	6452	23.424500000000002
211	2213	22.7135
212	56146	22.553
213	6777	22.511000000000003
214	3691	22.356
215	9228	21.7655
216	9743	21.609
217	3680	21.353
218	114784	20.9215
219	2066	20.5185
220	3635	20.106
221	100124696	19.916
222	27071	19.9145
223	5800	19.81
224	26191	19.6175
225	10750	19.000999999999998
226	114883	17.7925
227	8751	17.5745
228	9793	17.258
229	2160	16.973
230	8515	16.491999999999997
231	6678	16.476499999999998
232	2209	16.407
233	3964	16.2825
234	8613	16.258
235	3827	16.0865
236	6776	15.913
237	1101	15.865
238	1775	15.252500000000001
239	7410	15.118
240	2268	14.9425
241	1490	14.863
242	2243	14.5885
243	3679	14.5775
244	4982	14.0835
245	126669	14.054499999999999
246	3716	13.611500000000001
247	2334	13.315000000000001
248	5296	12.8065
249	4318	12.776
250	3702	12.4215
251	550	12.368500000000001
252	6696	12.0595
253	3672	11.852500000000001
