rank	node	rank_score
1	641	180.0
2	7516	179.2995
3	5889	178.299
4	5890	177.3985
5	4436	175.996
6	472	175.598
7	2956	174.697
8	11073	173.39749999999998
9	10111	173.19549999999998
10	545	171.2965
11	4361	170.7945
12	55655	170.595
13	5981	168.293
14	2177	168.094
15	5984	167.4925
16	9656	167.1935
17	4292	166.192
18	5982	166.1915
19	580	163.791
20	571	163.0905
21	64421	162.09
22	5932	160.8895
23	84142	159.789
24	51720	159.0885
25	5395	158.8875
26	3014	158.288
27	7013	154.68699999999998
28	7520	154.48600000000002
29	5591	154.385
30	7014	154.1865
31	7486	153.7855
32	1111	153.6845
33	3981	151.484
34	2547	149.2825
35	5111	149.183
36	6117	148.58350000000002
37	54386	147.182
38	142	146.2815
39	6118	145.881
40	1017	143.77849999999998
41	5422	141.978
42	6119	141.17950000000002
43	5426	139.97750000000002
44	890	139.7765
45	5424	138.577
46	3978	137.576
47	891	136.6755
48	983	135.775
49	7155	134.174
50	23649	133.4725
51	7150	132.4735
52	7157	132.37449999999998
53	5557	131.973
54	5425	131.672
55	7158	130.3635
56	10714	130.2715
57	5558	129.371
58	57804	128.4705
59	56655	127.57000000000001
60	54107	126.6695
61	7518	126.36300000000001
62	5427	125.769
63	7153	124.76849999999999
64	26277	124.66199999999999
65	5884	123.86800000000001
66	79840	123.2625
67	5883	122.56649999999999
68	5983	121.16599999999998
69	5985	120.2655
70	3364	119.26500000000001
71	7515	119.0675
72	5810	118.36449999999999
73	2237	117.16399999999999
74	675	116.7805
75	9557	116.479
76	200558	116.367
77	2178	116.28
78	2189	110.26100000000001
79	7156	109.8615
80	2176	108.5605
81	2175	108.16
82	80010	106.9595
83	2188	106.05900000000001
84	55120	105.1585
85	57697	104.05799999999999
86	2187	103.5575
87	3980	103.5565
88	55775	102.65599999999999
89	378708	102.05699999999999
90	5965	100.55550000000001
91	22909	99.85499999999999
92	4999	98.054
93	63967	97.15450000000001
94	65057	94.6535
95	8243	94.15299999999999
96	25913	93.4525
97	79184	92.749
98	63922	92.252
99	5378	92.0515
100	9577	91.8485
101	54921	89.551
102	79075	88.6505
103	80233	88.048
104	8658	87.8495
105	5429	87.75
106	1026	85.64750000000001
107	11277	84.546
108	995	83.1465
109	9133	83.047
110	328	81.8425
111	1869	81.34549999999999
112	5423	80.7415
113	4171	78.3445
114	990	78.245
115	1457	77.64200000000001
116	4998	77.04400000000001
117	81620	75.84349999999999
118	8900	74.843
119	1019	71.041
120	4176	69.74
121	5925	69.1405
122	4609	67.8395
123	1021	64.93299999999999
124	1027	62.931999999999995
125	5934	62.83
126	25	62.331500000000005
127	2033	62.128
128	1020	61.330999999999996
129	1022	60.929500000000004
130	91768	58.928999999999995
131	51343	57.7285
132	1025	56.427
133	10485	55.5265
134	3065	54.922000000000004
135	10763	54.525999999999996
136	5933	54.423
137	1050	54.2235
138	84152	53.1255
139	5499	52.125
140	4194	49.6275
141	6241	48.7245
142	4605	48.621500000000005
143	898	47.721000000000004
144	6502	47.6205
145	7314	46.92
146	1874	43.8195
147	993	42.618
148	7316	41.417500000000004
149	3725	41.017
150	367	40.9165
151	4193	39.116
152	5371	36.015499999999996
153	8317	35.239
154	1387	34.813
155	4088	34.3135
156	4654	34.0115
157	7161	33.614
158	6597	33.312
159	1875	32.8125
160	1029	32.4335
161	1028	31.9095
162	5893	30.8305
163	6667	30.711000000000002
164	6613	30.214999999999996
165	23054	26.610000000000003
166	23594	26.438
167	4173	26.3385
168	4089	26.108500000000003
169	5001	25.8375
170	5000	25.337
171	10926	24.736
172	23595	24.6365
173	4172	24.235500000000002
174	8318	24.035
175	4175	23.234
176	55388	23.0345
177	4087	22.008
178	1051	22.0055
179	79648	21.8045
180	861	21.0105
181	8202	20.4075
182	4174	20.1325
183	6599	20.1065
184	5757	19.3365
185	1460	17.6145
186	3066	17.4015
187	8850	17.107
188	7421	16.606
189	5501	16.519
190	896	15.618500000000001
191	1386	14.616
192	6598	12.504999999999999
193	1459	12.317
194	9611	11.703999999999999
195	5594	11.608500000000001
196	5970	11.202
197	894	11.124
198	6595	10.404
199	9612	10.003499999999999
200	6601	9.803
201	8841	9.501000000000001
202	2908	8.303
203	7704	7.3025
204	7027	6.608500000000001
205	6996	5.615
206	3091	5.2170000000000005
207	5451	4.9015
208	57492	3.8004999999999995
209	6908	2.6085000000000003
210	6886	2.2135000000000002
211	26574	2.0145
212	9134	2.009
213	6602	2.001
214	6872	1.9075
215	3159	1.8145
216	2959	1.707
217	5430	1.5065000000000002
218	8289	1.501
219	6774	1.4045
220	2071	1.3005
221	860	1.2035
222	2962	0.9039999999999999
223	1024	0.9035
224	3621	0.6035
225	2965	0.5025000000000001
226	11198	0.4035
227	6604	0.3045
228	9031	0.3025
229	6603	0.20549999999999996
230	54760	0.20299999999999999
231	10036	0.10200000000000001
232	7067	0.10049999999999999
233	9025	0.0445
234	3832	0.0225
235	3324	0.0165
236	4435	0.0115
237	1018	0.0095
238	5770	0.008
239	1871	0.007000000000000001
240	5914	0.0035000000000000005
241	10589	0.002
242	6256	0.002
243	9412	0.0015
244	10499	0.0015
245	2960	0.001
246	8648	0.001
