rank	node	rank_score
1	5476	179.9
2	3074	179.3995
3	3073	178.299
4	3938	177.3985
5	8972	176.498
6	2629	175.1975
7	2595	175.097
8	4759	173.7965
9	129807	172.496
10	64772	172.3955
11	83548	170.394
12	55907	170.29500000000002
13	57511	169.49349999999998
14	22796	168.59300000000002
15	84342	167.6925
16	2632	166.5915
17	80201	164.791
18	2645	162.9905
19	55276	162.39000000000001
20	4123	161.59449999999998
21	2821	161.2895
22	4125	160.392
23	3101	160.38899999999998
24	51477	159.2885
25	3098	158.788
26	3099	157.6875
27	5372	156.78699999999998
28	132789	155.8865
29	9945	154.98600000000002
30	51005	154.0855
31	64841	153.185
32	10007	152.2845
33	2673	151.38400000000001
34	6652	150.4835
35	3795	149.583
36	29926	148.0825
37	11164	147.88150000000002
38	5834	147.381
39	29925	147.082
40	5261	146.4805
41	5260	145.48
42	6476	138.4375
43	8908	103.37950000000001
44	2992	102.079
45	29880	93.678
46	54344	92.97749999999999
47	2110	92.678
48	8818	92.277
49	126328	91.17699999999999
50	4724	90.5765
51	4717	89.4755
52	4696	88.775
53	55967	88.1745
54	4731	87.574
55	4718	86.9735
56	4713	86.373
57	4711	85.77250000000001
58	4708	85.172
59	4706	84.5715
60	4702	83.971
61	4695	83.3705
62	4541	82.67
63	4539	82.06949999999999
64	4710	81.46900000000001
65	4709	80.8685
66	4707	80.268
67	4705	79.66749999999999
68	4701	79.6655
69	10975	79.6575
70	4729	79.06700000000001
71	1537	78.676
72	4714	78.4665
73	4712	77.866
74	5565	76.8785
75	51079	76.765
76	54539	76.56
77	4726	76.1645
78	29796	75.5775
79	4725	75.564
80	4716	74.9635
81	4704	74.363
82	4700	73.6625
83	4698	73.062
84	4722	72.4615
85	4720	71.761
86	4719	71.1605
87	4694	70.4595
88	4536	69.759
89	4535	69.1585
90	4715	68.55799999999999
91	4519	67.05699999999999
92	7386	66.356
93	4697	65.7565
94	7381	65.1555
95	27089	64.55499999999999
96	7388	63.95450000000001
97	7385	63.354
98	7384	62.753499999999995
99	4538	62.153
100	4537	61.552499999999995
101	7991	60.652
102	1350	60.1515
103	341947	59.447500000000005
104	1347	59.150999999999996
105	124637	58.65
106	1346	57.8505
107	6821	57.7495
108	1339	56.849000000000004
109	170712	55.7485
110	1351	54.848
111	4513	54.34400000000001
112	4514	53.84349999999999
113	1349	53.747
114	1340	53.1465
115	1337	52.54600000000001
116	1327	52.443000000000005
117	125965	51.845499999999994
118	9377	51.842499999999994
119	84701	51.144999999999996
120	4512	51.142
121	9167	49.7445
122	6649	48.941500000000005
123	1345	48.340999999999994
124	6647	47.3405
125	1329	46.3395
126	6648	46.14
127	7915	45.508500000000005
128	51103	45.339
129	5563	44.275999999999996
130	51497	42.4385
131	5564	41.7755
132	53632	41.375
133	55971	40.3745
134	84264	39.822
135	51295	39.438
136	3029	38.9215
137	257202	38.3365
138	847	35.136
139	2877	34.437
140	30	34.2355
141	51	33.435
142	80724	32.834500000000006
143	35	32.134
144	28976	31.232999999999997
145	84129	31.1325
146	5207	30.3755
147	5208	30.174
148	5210	30.075
149	7001	29.928999999999995
150	8789	29.8745
151	5209	29.8735
152	36	29.832
153	2879	29.633500000000005
154	230	29.273000000000003
155	3295	29.1315
156	229	29.0725
157	5211	28.772000000000002
158	226	28.771500000000003
159	5214	28.471000000000004
160	34	28.331
161	5562	28.169
162	2878	27.7305
163	32	27.665999999999997
164	51422	27.567500000000003
165	10218	27.468
166	5571	27.266999999999996
167	96459	26.866499999999995
168	27034	26.7295
169	8408	26.665499999999998
170	201163	26.464999999999996
171	2876	26.43
172	5052	25.927
173	1962	25.8285
174	57620	25.774
175	65985	25.415
176	9891	25.2645
177	10935	25.028
178	5106	24.6755
179	5566	24.464
180	8309	24.427500000000002
181	9024	24.063499999999998
182	10645	24.063
183	2026	23.776
184	6794	23.759999999999998
185	84446	23.5595
186	549	23.3265
187	1891	22.726
188	55268	22.0255
189	1892	21.425
190	2639	20.924500000000002
191	3030	20.424
192	3032	19.823500000000003
193	2805	19.026999999999997
194	2936	18.9225
195	116285	18.823
196	2806	18.625999999999998
197	2181	17.0205
198	1610	16.776
199	3033	16.721
200	3158	16.119999999999997
201	3028	15.519499999999999
202	130752	15.128
203	3157	15.118500000000001
204	5105	14.9295
205	171425	14.526499999999999
206	64064	14.519
207	38	14.218
208	4191	14.0275
209	4190	14.0255
210	669	13.974
211	113452	13.828999999999999
212	39	13.717500000000001
213	5223	13.635
214	2027	13.630500000000001
215	26229	13.231
216	5019	13.117
217	23031	13.062000000000001
218	5313	12.9285
219	97	12.8345
220	8802	12.8115
221	529	12.7645
222	4329	12.762
223	5232	12.633500000000002
224	54511	12.616499999999998
225	5832	12.561499999999999
226	5230	12.3315
227	26227	12.234
228	8833	12.205
229	112611	12.033
230	8854	11.861
231	197257	11.759
232	3155	11.716
233	9380	11.6585
234	98	11.6325
235	3948	11.557500000000001
236	1738	11.514500000000002
237	8801	11.510499999999999
238	3991	11.4625
239	216	11.458
240	160287	11.3565
241	219	11.257
242	26330	11.232
243	622	11.2155
244	501	11.1555
245	92483	11.056000000000001
246	224	10.7545
247	222	10.6535
248	137872	10.555
249	220	10.453
250	2023	10.4225
251	218	10.352
252	8050	10.313500000000001
253	221	10.2515
254	5238	10.151
255	5315	10.122
256	284273	10.0505
257	55293	9.95
258	18	9.847
259	84676	9.8005
260	8659	9.746500000000001
261	131	9.649
262	23464	9.612
263	223	9.5495
264	130	9.4485
265	127	9.348
266	217	9.247499999999999
267	314	9.1455
268	4594	9.111
269	125	9.046
270	8803	9.0125
271	124	8.945
272	8639	8.844
273	4128	8.743500000000001
274	4129	8.643
275	4967	8.6095
276	26	8.5445
277	126	8.442499999999999
278	128	8.342
279	316	8.2415
280	3945	8.141
281	212	8.11
282	3939	8.0405
283	84532	7.94
284	55902	7.839499999999999
285	51733	7.739
286	84735	7.6385000000000005
287	2571	7.537999999999999
288	438	7.337000000000001
289	10327	7.2364999999999995
290	118881	7.136
291	231	7.035500000000001
292	1743	7.009
293	1312	6.9345
294	5409	6.8340000000000005
295	2597	6.8235
296	4357	6.532500000000001
297	277	6.5205
298	10993	6.435
299	4353	6.3315
300	6391	6.3075
301	1491	6.232
302	2271	6.2055
303	3067	6.1305
304	3176	6.031000000000001
305	1644	5.93
306	6392	5.9079999999999995
307	6799	5.8295
308	211	5.8065
309	8288	5.729
310	6818	5.6285
311	6817	5.5280000000000005
312	6390	5.507
313	112483	5.4275
314	6723	5.327
315	4953	5.2265
316	6303	5.124499999999999
317	3034	5.0255
318	7173	4.925
319	2572	4.826
320	5053	4.724
321	23417	4.62
322	10201	4.523
323	8574	3.6189999999999998
324	29904	3.304
325	5163	3.103
326	1737	2.7035
327	594	2.414
328	23600	2.3064999999999998
329	593	2.213
330	587	2.0060000000000002
331	55577	1.9100000000000001
332	60673	1.7094999999999998
333	1629	1.7045000000000001
334	5603	1.5070000000000001
335	586	1.5050000000000001
336	5164	1.5025
337	56672	1.4060000000000001
338	121278	1.318
339	3712	1.3039999999999998
340	79876	1.2065
341	5161	1.1019999999999999
342	79016	1.1019999999999999
343	64087	1.101
344	5165	0.8015000000000001
345	2108	0.701
346	5166	0.1025
347	1046	0.0625
348	6786	0.0615
349	9064	0.06
350	84254	0.057499999999999996
351	11140	0.056499999999999995
352	81788	0.05600000000000001
353	5894	0.05550000000000001
354	5568	0.05500000000000001
355	673	0.05450000000000001
356	5567	0.054000000000000006
357	3017	0.053500000000000006
358	54866	0.053000000000000005
359	359	0.052500000000000005
360	6915	0.052000000000000005
361	47	0.051500000000000004
362	6446	0.051000000000000004
363	2119	0.0505
364	783	0.05
365	8736	0.0495
366	4846	0.049
367	6514	0.0485
368	5506	0.048
369	5350	0.0475
370	10000	0.047
371	8348	0.0465
372	2898	0.046
373	572	0.0455
374	4842	0.045
375	1068	0.0445
376	8536	0.044
377	814	0.0435
378	51070	0.043
379	208	0.042499999999999996
380	5577	0.041999999999999996
381	9495	0.041499999999999995
382	2560	0.040999999999999995
383	154	0.0405
384	9590	0.04
385	207	0.0395
386	200576	0.039
387	5576	0.0385
388	158798	0.038
389	55704	0.0375
390	3784	0.037
391	3936	0.0365
392	5500	0.036
393	6262	0.0355
394	5501	0.034999999999999996
395	11215	0.034499999999999996
396	10142	0.034
397	5499	0.0335
398	5511	0.033
399	153743	0.0325
400	7465	0.032
401	2475	0.0315
402	5348	0.031
403	84687	0.0305
404	81566	0.03
405	55869	0.0295
406	4217	0.028999999999999998
407	1385	0.028499999999999998
408	5504	0.028000000000000004
409	5170	0.027500000000000004
410	11214	0.027000000000000003
411	55607	0.026500000000000003
412	4609	0.026500000000000003
413	5906	0.026000000000000002
414	2931	0.025500000000000002
415	2308	0.025
416	3242	0.0245
417	10110	0.0245
418	2932	0.024
419	5909	0.0235
420	10157	0.0235
421	7534	0.023
422	5581	0.0225
423	7249	0.022
424	4137	0.0215
425	6196	0.020999999999999998
426	5578	0.020499999999999997
427	4833	0.02
428	3150	0.02
429	6197	0.0195
430	4832	0.019
431	8682	0.019
432	4830	0.0185
433	2764	0.0185
434	3704	0.018
435	6195	0.018
436	1854	0.017499999999999998
437	5734	0.017499999999999998
438	29922	0.017
439	9252	0.017
440	51727	0.0165
441	4831	0.016
442	1027	0.016
443	1633	0.0155
444	3667	0.0155
445	8760	0.015
446	6198	0.015
447	1040	0.014499999999999999
448	11112	0.014499999999999999
449	57447	0.014499999999999999
450	2643	0.014000000000000002
451	5590	0.014000000000000002
452	3315	0.013500000000000002
453	5580	0.013000000000000001
454	6199	0.0125
455	5587	0.012
456	5584	0.0115
457	387082	0.011
458	5243	0.011
459	5582	0.010499999999999999
460	119	0.01
461	2705	0.0095
462	27159	0.009
463	2893	0.009
464	5973	0.0085
465	5588	0.0085
466	54682	0.008
467	4653	0.008
468	2890	0.008
469	1118	0.0075
470	5583	0.0075
471	4900	0.007000000000000001
472	150	0.006500000000000001
473	118	0.006
474	5579	0.0055
475	31	0.005
476	9421	0.005
477	27349	0.0045
478	5036	0.0045
479	120	0.0045
480	7054	0.004
481	7137	0.004
482	7166	0.0035000000000000005
483	65108	0.0035000000000000005
484	6697	0.003
485	440	0.003
486	624	0.003
487	3620	0.0025
488	9338	0.0025
489	54093	0.002
490	433	0.002
491	6999	0.0015
492	2631	0.0015
493	5066	0.0015
494	56922	0.001
495	2288	0.001
496	2243	0.001
497	56904	0.0005
498	26353	0.0005
