rank	node	rank_score
1	11187	180.1
2	1823	179.1995
3	5318	178.299
4	1828	177.3985
5	8082	176.498
6	6445	175.5975
7	6443	174.697
8	8910	173.7965
9	58	170.19400000000002
10	87	160.6905
11	81	153.28699999999998
12	5310	153.083
13	84676	151.6945
14	1495	151.182
15	1499	150.9815
16	51086	150.7935
17	999	150.5825
18	6271	150.293
19	8790	149.39249999999998
20	1001	148.481
21	1500	148.4805
22	1003	146.9795
23	8502	146.3775
24	1825	146.177
25	58529	144.49099999999999
26	768	144.48
27	1000	143.57649999999998
28	5784	143.078
29	1501	142.676
30	55914	141.6755
31	55591	138.379
32	4647	137.87849999999997
33	7082	137.474
34	421	136.5745
35	51762	135.67350000000002
36	5317	133.296
37	7398	132.5955
38	2318	127.2915
39	91977	126.19000000000001
40	1956	126.0685
41	8557	125.98949999999999
42	7273	125.38899999999998
43	64750	124.9885
44	4703	123.28800000000001
45	125950	119.8875
46	1013	118.07300000000001
47	1308	117.97150000000002
48	5795	117.6695
49	50937	117.2725
50	91653	116.47200000000001
51	57554	114.971
52	2241	114.668
53	7094	114.0705
54	6714	113.362
55	839	111.595
56	5175	108.064
57	84665	103.38600000000001
58	23037	103.075
59	70	102.5865
60	89	102.5855
61	10529	102.385
62	135	101.1845
63	4892	100.784
64	5770	99.0405
65	4233	97.041
66	815	95.46700000000001
67	5566	95.35900000000001
68	5782	92.051
69	1264	90.3925
70	81493	90.192
71	823	84.2835
72	26136	82.77000000000001
73	3875	81.16749999999999
74	3856	79.6665
75	818	79.26599999999999
76	5580	78.0525
77	5581	77.86449999999999
78	7431	77.565
79	2274	77.46900000000001
80	5788	77.236
81	2904	76.2635
82	5578	73.66
83	2670	73.3615
84	488	69.96549999999999
85	60312	69.0535
86	2893	68.75750000000001
87	5590	68.75399999999999
88	817	68.0625
89	2064	68.015
90	2890	67.9585
91	816	67.361
92	1103	66.05
93	5579	64.6495
94	5582	64.5505
95	1739	63.9605
96	5787	63.019000000000005
97	2705	62.6555
98	5587	62.444
99	8682	62.345000000000006
100	94274	62.05650000000001
101	2534	61.715999999999994
102	6199	61.5385
103	5584	61.0465
104	3643	60.821000000000005
