rank	node	rank_score
1	58	180.1
2	84676	179.1995
3	51086	178.299
4	8790	177.3985
5	70	176.098
6	1264	175.79749999999999
7	8557	174.897
8	64750	173.59650000000002
9	58529	172.89600000000002
10	87	172.1925
11	2318	169.092
12	91977	168.993
13	88	168.8945
14	11155	168.794
15	81	168.495
16	4703	168.3955
17	125950	166.09
18	84665	164.7935
19	89	163.8915
20	10529	162.99099999999999
21	135	162.0905
22	4892	161.1895
23	79778	159.88899999999998
24	9124	159.388
25	200539	158.8885
26	5311	155.68699999999998
27	29995	153.9875
28	1674	150.1865
29	5310	149.286
30	7094	148.3855
31	26136	147.285
32	1495	146.4845
33	6401	144.8835
34	823	144.1815
35	6709	143.074
36	999	140.183
37	7082	137.977
38	27063	136.484
39	51762	135.1775
40	5784	132.9785
41	1499	131.3805
42	3728	128.97899999999998
43	1001	127.88
44	1500	127.07950000000001
45	825	126.77649999999998
46	1000	124.578
47	4647	120.6825
48	55591	120.082
49	768	119.381
50	142678	116.1795
51	1956	114.069
52	421	112.47649999999999
53	5795	111.2695
54	55914	110.87449999999998
55	1013	110.576
56	1003	110.57150000000001
57	50937	109.97550000000001
58	91653	109.075
59	8502	109.072
60	6714	107.56500000000001
61	5787	106.468
62	2241	103.97
63	4233	102.3635
64	7138	102.287
65	7136	101.5865
66	7134	100.986
67	7139	100.38550000000001
68	7135	99.785
69	5829	99.2675
70	9033	99.1845
71	5770	99.063
72	5781	98.6625
73	5782	98.6585
74	7125	98.584
75	5747	97.264
76	2904	95.65950000000001
77	5788	95.059
78	1445	94.866
79	1825	93.471
80	2064	92.367
81	3643	90.2595
82	7431	88.964
83	5339	88.263
84	2534	86.95
85	867	85.7615
86	2549	84.76
87	2885	84.55799999999999
88	5159	83.662
89	9564	82.15299999999999
90	5793	81.961
91	5175	81.32000000000001
92	5777	80.45599999999999
93	6464	79.857
94	4582	78.9645
95	5295	78.6555
96	5800	77.76050000000001
97	6654	76.9565
98	2185	76.1485
99	3932	74.249
100	2057	73.85499999999999
101	9743	73.6495
102	5335	73.3505
103	3717	72.6525
104	25	72.3535
105	1399	70.654
106	2934	70.5005
107	4914	70.45450000000001
108	5581	69.161
109	1501	67.9735
110	5663	67.77250000000001
111	5796	67.7665
112	1308	67.7625
113	57554	66.773
114	613	66.652
115	9846	66.551
116	1832	66.262
117	23037	64.8705
118	4067	63.845000000000006
119	7409	63.148
120	5921	63.146
121	2889	62.8515
122	54477	62.5635
123	3815	62.444
124	1398	60.847500000000004
125	6850	60.845499999999994
126	2065	60.347
127	60	59.775
128	1796	59.543499999999995
129	7006	59.543000000000006
130	7535	58.346500000000006
131	55824	57.644499999999994
132	3937	55.3405
133	5336	54.940999999999995
134	7454	53.4385
135	27040	52.44
136	11184	51.5395
137	3055	50.039
138	2690	49.742000000000004
139	10006	48.3375
140	29760	47.935500000000005
141	6655	47.637
142	3667	46.329
143	868	46.135000000000005
144	27	44.7365
145	4690	44.036
146	7010	43.6575
147	2902	43.655
148	6776	43.042500000000004
149	3702	42.9335
150	6777	42.741499999999995
151	26191	42.738
152	10278	42.634
153	2274	41.4685
154	10603	39.1315
155	50807	38.333
156	3480	38.3285
157	324	38.0615
158	695	37.8305
159	3716	36.732
160	6452	36.525999999999996
161	2066	36.0345
162	5580	35.809000000000005
163	815	35.7255
164	10451	35.6265
165	5578	35.3575
166	7525	35.222500000000004
167	8651	34.5325
168	10657	34.527499999999996
169	5156	33.931
170	3691	33.721500000000006
171	9712	32.482
172	6774	30.726999999999997
173	2887	30.227999999999998
174	5296	29.4295
175	2321	28.722
176	3791	27.221500000000002
177	1439	27.2195
178	100124696	25.73
179	3560	23.924500000000002
180	3718	23.625
181	6461	23.024
182	9021	22.2235
183	3635	21.920499999999997
184	8660	21.6255
185	1436	21.321
186	60312	20.657
187	6772	19.119
188	7297	18.223000000000003
189	660	16.8185
190	4739	16.1165
191	6271	15.876
192	3572	15.718
193	10818	14.717500000000001
194	5587	14.556000000000001
195	2260	14.017000000000001
196	5063	13.059999999999999
197	9402	12.815999999999999
198	4627	12.1395
199	5566	12.031
200	2017	11.659
201	818	11.418000000000001
202	5338	9.804
203	2242	9.6155
204	23607	9.313500000000001
205	5590	8.851
206	30011	8.514
207	5979	7.815
208	55715	7.214499999999999
209	7410	7.2125
210	5170	7.2015
211	2268	6.813
212	1441	5.312
213	5771	5.210500000000001
214	5595	5.1075
215	7462	5.011
216	2213	4.407
217	857	3.8064999999999998
218	10399	3.7075000000000005
219	930	3.5100000000000002
220	933	2.9085
221	3636	2.906
222	5594	2.9055
223	25970	2.705
224	10750	2.2095
225	5792	2.002
226	1795	1.8114999999999999
227	3690	1.7009999999999998
228	919	1.6045000000000003
229	558	1.508
230	10019	1.404
231	8440	1.1035
232	56955	0.9025000000000001
233	7852	0.8029999999999999
234	1601	0.23650000000000002
235	85476	0.08149999999999999
236	6711	0.077
237	11035	0.076
238	85477	0.0755
239	7170	0.075
240	3725	0.0745
241	71	0.071
242	1773	0.0705
243	7408	0.06949999999999999
244	53405	0.06899999999999999
245	6708	0.0685
246	6712	0.068
247	59	0.0675
248	137735	0.067
249	4215	0.0665
250	51474	0.066
251	5797	0.0655
252	4130	0.065
253	1072	0.0645
254	1073	0.064
255	8826	0.063
256	2316	0.0615
257	23224	0.061
258	3326	0.061
259	7534	0.059
260	3688	0.059
261	7430	0.058499999999999996
262	2906	0.058499999999999996
263	54434	0.057999999999999996
264	65125	0.057499999999999996
265	4950	0.056499999999999995
266	29109	0.056499999999999995
267	3856	0.05600000000000001
268	5579	0.05550000000000001
269	3848	0.05550000000000001
270	2705	0.05450000000000001
271	5583	0.053500000000000006
272	5582	0.051500000000000004
273	624	0.0495
274	5584	0.049
275	6876	0.0485
276	4900	0.048
277	120	0.0475
278	5588	0.047
279	1020	0.047
280	9267	0.0465
281	65108	0.046
282	5734	0.0455
283	433	0.045
284	7504	0.0445
285	2670	0.044
286	6624	0.0435
287	1267	0.043
288	5341	0.042499999999999996
289	917	0.041999999999999996
290	846	0.041499999999999995
291	2893	0.040999999999999995
292	5066	0.0405
293	4001	0.04
294	9266	0.039
295	960	0.0385
296	2566	0.038
297	2561	0.0375
298	3689	0.037
299	2911	0.036
300	26353	0.0355
301	5243	0.034999999999999996
302	2560	0.034499999999999996
303	2152	0.034
304	150	0.0335
305	119	0.033
306	118	0.0325
307	3315	0.032
308	4225	0.03
309	3150	0.0295
310	4842	0.028999999999999998
311	9421	0.028499999999999998
312	5568	0.028000000000000004
313	2243	0.027500000000000004
314	5567	0.027000000000000003
315	2673	0.026500000000000003
316	2890	0.026000000000000002
317	2931	0.025
318	3875	0.0245
319	3706	0.024
320	6199	0.0235
321	3105	0.023
322	8682	0.02
323	4082	0.0195
324	9338	0.019
325	1103	0.0185
326	94274	0.017499999999999998
327	5894	0.017
328	7037	0.0165
329	4689	0.016
330	6944	0.0155
331	3554	0.015
332	128853	0.002
333	83747	0.0015
334	238	0.0005
