rank	node	rank_score
1	7042	180.1
2	55914	178.999
3	9392	178.2995
4	7046	176.398
5	91	176.097
6	4087	174.3965
7	23551	172.696
8	658	172.0955
9	23682	171.395
10	1499	170.79850000000002
11	51285	170.1945
12	8878	169.69400000000002
13	4086	169.2935
14	9372	168.9975
15	57154	166.392
16	4091	165.9925
17	64750	164.79149999999998
18	90	164.69099999999997
19	121268	163.4905
20	84085	162.49
21	117583	161.59300000000002
22	29984	161.0895
23	58473	160.589
24	9459	160.58800000000002
25	5058	160.0885
26	57381	156.887
27	659	155.3845
28	55827	152.9875
29	655	152.484
30	864	151.8865
31	860	151.2825
32	2022	151.1835
33	10273	150.879
34	93	148.6815
35	8200	147.68099999999998
36	392255	147.183
37	51176	146.8795
38	92	146.78050000000002
39	83871	146.586
40	654	145.18
41	4090	144.482
42	25884	144.27849999999998
43	3624	143.178
44	3626	142.1775
45	3625	141.277
46	3547	139.9765
47	94	139.37550000000002
48	140901	138.8855
49	58533	137.775
50	163	137.07049999999998
51	7049	135.67350000000002
52	7043	134.773
53	7040	133.57150000000001
54	11167	132.671
55	25928	131.472
56	29068	130.568
57	11171	129.9675
58	57111	129.067
59	28512	128.57
60	1855	127.47449999999999
61	8312	126.774
62	3623	124.9695
63	1601	124.57249999999999
64	130399	124.069
65	7554	122.66599999999998
66	10220	121.46849999999999
67	64718	121.38499999999999
68	10140	120.3635
69	51588	118.9625
70	79674	118.8665
71	207	118.476
72	51560	117.26500000000001
73	55761	116.96399999999998
74	81788	113.86449999999999
75	2290	109.7655
76	10413	109.76199999999999
77	4303	105.5595
78	2308	104.7615
79	2033	101.0565
80	2309	100.6575
81	79753	99.356
82	861	99.0545
83	367	98.0505
84	54440	97.763
85	1387	97.1535
86	10691	94.352
87	28996	90.4525
88	6497	89.955
89	2331	89.16
90	168667	87.457
91	5371	86.0515
92	2099	85.747
93	163126	83.75550000000001
94	6996	83.54650000000001
95	7157	83.4425
96	8202	83.245
97	2737	83.15299999999999
98	3172	82.14200000000001
99	2274	80.45
100	3065	80.2485
101	672	79.24549999999999
102	10499	77.04400000000001
103	1616	76.32300000000001
104	10401	74.0475
105	6667	72.84049999999999
106	23181	71.758
107	1051	71.24
108	9611	68.8305
109	8928	68.561
110	6597	65.62950000000001
111	7421	64.5435
112	8841	64.128
113	3725	60.54449999999999
114	1454	58.561
115	3066	58.222500000000004
116	6599	57.3155
117	3091	56.73299999999999
118	1452	56.65650000000001
119	4193	56.221000000000004
120	1453	54.86
121	8648	52.6315
122	2908	52.334
123	6601	51.414
124	51701	51.251
125	5594	50.943
126	1050	50.9325
127	9612	50.53
128	208	48.745999999999995
129	7738	48.065999999999995
130	7341	47.224000000000004
131	7161	46.246500000000005
132	7316	46.244
133	5914	46.2205
134	3622	46.037
135	7704	45.72
136	6774	45.0335
137	25942	44.616
138	1856	44.154
139	5595	44.138999999999996
140	6256	42.132
141	5925	41.0215
142	6598	40.5145
143	6908	39.7185
144	57492	39.507999999999996
145	23054	39.331
146	573	39.3195
147	6595	39.114999999999995
148	5599	37.9385
149	51592	37.7235
150	1457	37.6415
151	8850	36.716499999999996
152	1432	36.541
153	602	36.427499999999995
154	595	35.7125
155	6602	35.5115
156	1386	35.439499999999995
157	10468	35.259
158	1459	34.6605
159	2353	34.549
160	2113	33.1375
161	4762	33.05
162	6605	32.5095
163	6603	32.0075
164	8289	31.708500000000004
165	1958	31.2365
166	4194	28.1455
167	5468	27.428499999999996
168	6604	27.207
169	2959	27.1135
170	5970	25.227
171	6872	23.613
172	145258	23.357999999999997
173	5218	23.159
174	5928	23.1025
175	4654	22.823500000000003
176	86	22.700499999999998
177	5601	22.538
178	2002	22.037
179	7067	21.812
180	9252	21.4345
181	1385	21.2245
182	5600	20.435
183	10498	20.310499999999998
184	1487	20.2175
185	3621	20.2115
186	51742	20.1125
187	2932	19.9255
188	1024	19.806
189	8819	19.610500000000002
190	8945	19.549500000000002
191	3297	19.326
192	5931	18.61
193	54760	18.6065
194	4152	17.835500000000003
195	5465	17.226499999999998
196	9412	16.005000000000003
197	10589	15.904500000000002
198	2962	15.8055
199	6880	15.407999999999998
200	9219	15.009
201	2965	14.003
202	8554	13.9445
203	10284	13.8085
204	2960	13.8035
205	53615	13.7075
206	892	13.303999999999998
207	8932	13.301499999999999
208	6722	13.125
209	1108	12.500499999999999
210	57459	12.300999999999998
211	6878	11.907
212	7155	11.621500000000001
213	8189	11.504999999999999
214	5865	11.2585
215	53981	10.8055
216	2623	10.709999999999999
217	63976	10.653
218	4297	10.306000000000001
219	1857	10.1595
220	1107	10.102500000000001
221	23028	9.703999999999999
222	5929	9.6065
223	6883	9.3045
224	5977	8.82
225	7050	8.748000000000001
226	4204	8.309000000000001
227	5901	8.2035
228	7068	8.2025
229	4435	8.038
230	11091	7.9030000000000005
231	8467	7.601999999999999
232	2967	7.5005
233	2114	7.428999999999999
234	2071	7.401000000000001
235	8986	6.922
236	7329	6.340999999999999
237	4602	6.1354999999999995
238	6688	5.618
239	9261	5.519
240	5430	4.814
241	23186	4.6055
242	3320	4.3215
243	9031	3.9144999999999994
244	4790	3.3085
245	54815	3.105
246	85509	2.9025
247	5469	2.702
248	1022	2.6015
249	6886	2.403
250	8204	2.311
251	4609	2.3075
252	7750	2.1035
253	23309	2.004
254	9112	1.903
255	9203	1.802
256	51317	1.7015
257	23199	1.6010000000000002
258	3360	1.5005000000000002
259	2100	0.9045
260	10891	0.404
261	22800	0.0625
262	5872	0.0595
263	9241	0.059
264	653	0.058499999999999996
265	54778	0.057999999999999996
266	65259	0.057499999999999996
267	5494	0.052500000000000005
268	6571	0.0495
269	11073	0.0495
270	7249	0.0485
271	83990	0.0485
272	6196	0.048
273	8626	0.047
274	81839	0.047
275	4255	0.040999999999999995
276	6195	0.04
277	1147	0.0395
278	10000	0.0375
279	5728	0.0365
280	3727	0.036
281	7080	0.033
282	51341	0.027500000000000004
283	9343	0.0215
284	6929	0.0195
285	10661	0.0185
286	6689	0.017
287	6721	0.0125
288	9325	0.011
289	2969	0.007000000000000001
290	10362	0.006500000000000001
291	57504	0.006
292	10274	0.0055
293	11177	0.0045
294	5241	0.004
295	10735	0.004
296	6304	0.0035000000000000005
297	5885	0.003
298	8243	0.0025
299	9126	0.002
300	25855	0.001
301	64426	0.0005
