rank	node	rank_score
1	2335	178.999
2	7045	176.498
3	11226	175.6935
4	118429	175.59949999999998
5	3026	174.29850000000002
6	1286	173.59650000000002
7	4147	173.297
8	651	173.1
9	1288	170.893
10	1285	170.796
11	5270	169.4955
12	1287	167.5915
13	5008	167.3945
14	6288	167.0975
15	5653	166.0925
16	2199	165.392
17	4318	163.49099999999999
18	22918	163.4895
19	1294	161.495
20	1634	160.9885
21	1278	159.988
22	1277	158.8865
23	7057	156.5875
24	351	154.98499999999999
25	5549	153.68400000000003
26	4811	151.28699999999998
27	284217	150.29000000000002
28	3690	149.586
29	1280	149.483
30	164656	148.8855
31	7040	147.382
32	1690	146.9815
33	633	146.981
34	6678	146.8805
35	3339	145.9835
36	22795	145.776
37	4313	145.67950000000002
38	3685	144.9785
39	1305	142.577
40	3918	142.1905
41	3688	140.678
42	27123	136.49949999999998
43	2192	136.268
44	948	136.07750000000001
45	2006	134.86599999999999
46	4856	132.6695
47	22801	131.9735
48	3678	130.474
49	80781	130.373
50	1490	129.3675
51	2200	127.5655
52	27329	127.36399999999999
53	4237	126.36449999999999
54	3673	126.275
55	1293	125.6745
56	1101	125.1685
57	7058	124.96100000000001
58	83941	124.87
59	7052	123.7725
60	5155	122.47049999999999
61	2201	120.1635
62	4099	117.867
63	4052	117.2625
64	3674	117.172
65	3672	116.87150000000001
66	5858	114.876
67	649	113.58250000000001
68	961	113.271
69	8076	111.8615
70	1289	111.27550000000001
71	3914	110.8845
72	64856	108.8595
73	928	108.06649999999999
74	6667	106.57649999999998
75	1299	103.66300000000001
76	1462	102.55699999999999
77	3290	97.3535
78	550	94.4585
79	3676	93.85799999999999
80	2923	92.155
81	3675	92.056
82	116844	91.0885
83	1956	89.65450000000001
84	960	89.44800000000001
85	5029	87.0495
86	3386	86.76
87	6714	86.45
88	1297	85.059
89	2515	81.8575
90	3693	78.849
91	1311	76.9565
92	811	76.048
93	2812	74.562
94	5747	72.9435
95	7373	72.8445
96	8840	72.17999999999999
97	10085	71.865
98	5154	71.069
99	7422	70.4555
100	2243	70.0525
101	3371	68.4525
102	4035	65.33099999999999
103	2534	65.146
104	3915	64.1505
105	2244	63.963499999999996
106	3655	63.74549999999999
107	6696	61.947500000000005
108	25981	60.6605
109	285761	60.351
110	56951	57.739
111	4146	57.659000000000006
112	6464	55.33299999999999
113	7094	55.1485
114	2316	53.241499999999995
115	3491	52.94500000000001
116	3694	52.326
117	5829	51.847
118	5310	49.4465
119	2064	49.337
120	963	49.0235
121	5578	48.6325
