rank	node	rank_score
1	1877	180.0
2	9015	139.399
3	6908	122.49650000000001
4	9014	98.799
5	9013	98.2985
6	6418	97.598
7	54700	97.39750000000001
8	5970	96.985
9	7343	96.897
10	8290	95.59400000000001
11	10849	95.296
12	79101	94.595
13	5437	83.292
14	4163	83.022
15	5441	81.489
16	64425	75.3945
17	9641	75.0065
18	1457	74.7955
19	25885	74.793
20	84172	74.59349999999999
21	4528	73.9915
22	51082	73.491
23	9462	72.9905
24	5134	72.59
25	10788	72.1895
26	23291	71.2885
27	4793	70.888
28	3838	70.4875
29	1147	69.99249999999999
30	10128	69.787
31	3551	69.1865
32	6500	68.986
33	4790	68.2835
34	8454	68.1855
35	4791	67.78450000000001
36	5966	67.184
37	8517	66.08250000000001
38	55294	65.282
39	4794	64.98150000000001
40	4792	64.981
41	2734	64.08
42	5971	63.5785
43	113457	63.479499999999994
44	3305	62.178999999999995
45	7278	61.9765
46	5537	61.973
47	1326	61.876999999999995
48	29110	60.8745
49	23243	60.8725
50	3313	60.676
51	10382	60.575
52	54882	60.272000000000006
53	1213	59.771
54	1029	59.5995
55	1958	59.298500000000004
56	1459	58.69
57	9919	58.68050000000001
58	4129	58.298
59	808	57.971500000000006
60	805	57.574
61	9020	57.4755
62	10010	57.4705
63	3320	57.16949999999999
64	3312	56.967499999999994
65	801	56.57000000000001
66	8239	56.378
67	3303	54.8685
68	6885	53.966499999999996
69	4215	53.86800000000001
70	220717	53.3505
71	203068	52.96900000000001
72	3309	52.866
73	23118	52.265499999999996
74	92609	52.063
75	3326	51.666999999999994
76	8737	51.565
77	7186	50.9645
78	71	50.564
79	11035	49.7635
80	7132	49.7625
81	790	49.462
82	8717	49.161500000000004
83	4214	48.361000000000004
84	9532	47.9605
85	3301	47.359500000000004
86	7133	47.1585
87	7185	46.959
88	7314	46.358
89	3839	46.277499999999996
90	7189	45.557
91	3310	45.1565
92	8767	45.156
93	10454	44.957499999999996
94	347733	44.4555
95	8607	43.660000000000004
96	708	43.254000000000005
97	409	42.9535
98	6233	42.152499999999996
99	7311	41.952999999999996
100	7316	41.852
101	408	41.6545
102	4628	41.1515
103	4646	40.650999999999996
104	6667	40.647000000000006
105	150684	40.2485
106	1718	39.899
107	11140	39.855000000000004
108	6207	39.25
109	1917	39.049
110	6156	38.9495
111	128	38.7975
112	314	38.597
113	8639	38.3965
114	6128	38.248000000000005
115	4128	38.196000000000005
116	4353	37.995
117	26	37.795500000000004
118	1654	37.747
119	8288	37.5945
120	4869	37.5475
121	3725	37.3165
122	3091	36.786500000000004
123	316	36.4935
124	9349	36.3455
125	10856	36.2445
126	292	36.2435
127	6232	36.144999999999996
128	284273	35.9925
129	8854	35.794
130	137872	35.7915
131	1387	35.688
132	5371	35.616
133	222	35.5875
134	216	35.493
135	131	35.391
136	220	35.387
137	130	35.19
138	6205	35.144
139	218	35.0865
140	219	34.891999999999996
141	127	34.888999999999996
142	6188	34.843
143	221	34.786
144	501	34.5905
145	4329	34.4885
146	6202	34.4425
147	2969	34.346
148	224	34.0895
149	124	34.088
150	367	34.045500000000004
151	2033	33.6955
152	126	33.5855
153	2091	33.3405
154	8659	33.185
155	6135	33.142
156	223	32.984500000000004
157	18	32.784000000000006
158	4193	32.693
159	6217	32.6415
160	197257	32.5835
161	118881	32.472
162	9380	32.383
163	6189	32.3375
164	3948	32.1825
165	5409	32.17
166	160287	31.982
167	92483	31.7815
168	6191	31.7395
169	4691	31.439999999999998
170	7915	31.381
171	84264	31.3805
172	5832	31.380000000000003
173	4953	31.363
174	6208	31.339
175	6204	31.240999999999996
176	112483	31.164499999999997
177	2908	31.0125
178	3029	30.979499999999994
179	6723	30.9635
180	55293	30.778999999999996
181	6303	30.7625
182	3945	30.5785
183	3939	30.377999999999997
184	1051	30.226999999999997
185	230	30.1775
186	229	29.976999999999997
187	6146	29.938499999999998
188	7421	29.860000000000003
189	226	29.7765
190	6141	29.637999999999998
191	84532	29.576
192	6203	29.533499999999997
193	6129	29.435000000000002
194	55902	29.3755
195	3065	29.289499999999997
196	51733	29.174
197	2099	29.158500000000004
198	6229	29.0365
199	84735	28.9735
200	4904	28.936
201	65985	28.675
202	2571	28.573
203	438	28.4745
204	6222	28.432499999999997
205	23054	28.4115
206	10499	28.2015
207	5238	28.172500000000003
208	6130	28.037
209	10327	27.871500000000005
210	5925	27.846500000000002
211	6223	27.834500000000002
212	4088	27.814
213	8648	27.707
214	231	27.571000000000005
215	1312	27.570500000000003
216	9612	27.4135
217	8202	27.014499999999998
218	2805	26.968
219	6181	26.9355
220	10993	26.8695
221	4357	26.766999999999996
222	5901	26.712
223	2353	26.709000000000003
224	2806	26.566499999999998
225	1491	26.369
226	6206	26.334000000000003
227	6597	26.073
228	3067	26.0685
229	3176	26.067500000000003
230	1644	26.065999999999995
231	6124	25.709000000000003
232	6799	25.5655
233	5914	25.4035
234	6818	25.365000000000002
235	6817	25.163999999999998
236	9325	25.0025
237	6256	24.902
238	9611	24.815
239	5451	24.611
240	3034	24.562
241	7173	24.3615
242	3921	24.2305
243	8841	24.229
244	11257	24.161
245	6176	24.130000000000003
246	2572	23.960500000000003
247	25873	23.9295
248	7067	23.912
249	6193	23.604
250	5053	23.56
251	6218	23.5085
252	6224	23.5075
253	672	23.054
254	6132	22.907
255	4637	22.833
256	602	22.7065
257	116173	22.6565
258	3066	22.4875
259	6599	22.285
260	8789	22.2595
261	5213	22.259
262	2203	21.958499999999997
263	5211	21.657999999999998
264	5214	21.6575
265	6161	21.407999999999998
266	6122	21.4065
267	2197	20.8045
268	6170	20.4055
269	6175	20.329
270	6601	19.98
271	3562	19.798
272	6171	19.7015
273	4773	19.697
274	497661	19.605
275	7846	19.432
276	25942	19.377000000000002
277	8850	19.349
278	7341	19.189
279	6598	18.786
280	6595	18.7805
281	6209	18.6035
282	140032	18.6025
283	6169	18.206
284	6192	18.101
285	2959	18.060499999999998
286	6602	17.969
287	6173	17.8005
288	60	17.6125
289	6872	17.291999999999998
290	6201	16.528
291	6125	15.9095
292	6235	15.702000000000002
293	6996	15.594
294	4435	15.190000000000001
295	328	14.7905
296	1386	14.789499999999999
297	8289	14.473500000000001
298	6603	14.370499999999998
299	4087	14.309999999999999
300	8819	14.282
301	3621	14.272
302	5931	14.178
303	5928	14.176499999999999
304	1022	14.045999999999998
305	6880	13.882499999999999
306	2962	13.85
307	51742	13.7715
308	6604	13.368
309	6167	13.321000000000002
310	9219	13.1815
311	1024	13.1535
312	6227	13.02
313	6878	12.9845
314	10284	12.9785
315	6605	12.9685
316	54760	12.9525
317	9412	12.7515
318	86	12.671
319	498	12.631
320	8189	12.5855
321	53615	12.4795
322	1050	12.4735
323	6164	12.4195
324	53981	12.383
325	5929	12.379000000000001
326	4297	12.184000000000001
327	10589	12.152
328	6883	12.083499999999999
329	2960	12.053
330	2965	12.051
331	6231	12.0185
332	892	11.9505
333	57492	11.9445
334	23028	11.881
335	8932	11.873999999999999
336	11112	11.855500000000001
337	11091	11.7775
338	1107	11.675
339	8467	11.4755
340	6155	11.417
341	6165	11.403
342	9343	11.374500000000001
343	6230	11.318000000000001
344	5430	11.249500000000001
345	2967	11.2485
346	2071	11.248000000000001
347	3242	11.1545
348	6898	11.054
349	6234	11.0175
350	6210	10.912
351	4150	10.8915
352	1108	10.872499999999999
353	57459	10.769499999999999
354	1869	10.7075
355	2739	10.7025
356	5977	10.67
357	5469	10.620000000000001
358	79016	10.532
359	4736	10.4165
360	7415	10.3465
361	6670	10.2355
362	7022	10.139
363	5468	9.774000000000001
364	6133	9.716
365	2287	9.689
366	51341	9.625499999999999
367	23417	9.556999999999999
368	595	9.268
369	4609	9.247499999999999
370	6137	9.1125
371	6138	9.014
372	7155	8.959
373	11224	8.9145
374	10498	8.727500000000001
375	573	8.7105
376	9112	8.667
377	85509	8.566500000000001
378	2058	8.541500000000001
379	23309	8.466
380	23186	8.3675
381	54815	8.262
382	7704	8.175
383	7750	8.164
384	6168	8.1135
385	4801	8.094
386	9203	8.0655
387	6134	8.0115
388	11198	7.956999999999999
389	51317	7.765000000000001
390	23199	7.664499999999999
391	6228	7.615
392	6152	7.6095
393	3360	7.5635
394	10362	7.4625
395	1487	7.3595
396	1636	7.356999999999999
397	3159	7.2455
398	1025	7.225
399	6147	7.1129999999999995
400	3516	7.1129999999999995
401	7528	7.028499999999999
402	6722	7.0200000000000005
403	9031	6.958
404	3297	6.787000000000001
405	6143	6.609999999999999
