rank	node	rank_score
1	28755	180.1
2	7399	179.1995
3	1758	178.299
4	3426	177.3985
5	718	176.398
6	3684	175.397
7	3507	173.095
8	5069	172.09449999999998
9	2335	161.89000000000001
10	10878	154.49650000000003
11	79295	133.094
12	7057	132.4805
13	2243	130.8505
14	719	126.79549999999999
15	4982	126.2895
16	5340	118.2775
17	3685	113.96549999999999
18	3690	112.56700000000001
19	3827	109.9555
20	3500	109.5095
21	7018	109.1085
22	4811	108.47649999999999
23	3386	104.3585
24	2147	104.0495
25	2266	103.747
26	1514	102.2065
27	3674	100.8605
28	7448	99.6465
29	3486	99.546
30	5653	98.68350000000001
31	5327	98.251
32	961	97.9595
33	2811	97.65599999999999
34	3053	97.409
35	3488	97.14349999999999
36	335	95.295
37	3250	94.7945
38	5104	94.3475
39	4318	94.28299999999999
40	3078	94.194
41	1277	94.1815
42	351	93.577
43	28916	93.4935
44	3929	92.893
45	5054	92.34400000000001
46	959	92.29249999999999
47	5328	92.249
48	3514	91.792
49	1278	91.681
50	1511	91.6405
51	2149	91.539
52	284217	91.078
53	2812	90.85650000000001
54	7045	90.689
55	3857	90.39099999999999
56	6678	90.3785
57	1991	90.041
58	2199	89.987
59	1282	89.8845
60	213	89.7905
61	3493	89.1895
62	1634	89.082
63	341	88.989
64	2244	88.95
65	1286	87.9885
66	3848	87.9875
67	5329	87.745
68	79691	87.4885
69	23064	86.5865
70	3339	86.576
71	7276	86.48400000000001
72	2162	86.34
73	5549	86.1755
74	1280	85.675
75	3868	85.4855
76	3538	84.686
77	3861	84.485
78	3688	84.369
79	1288	84.0865
80	7040	84.0745
81	5345	84.0485
82	3852	83.9845
83	1287	83.6875
84	283160	82.887
85	1284	82.88550000000001
86	4035	82.6415
87	811	82.5545
88	5270	82.485
89	3026	82.286
90	3240	82.283
91	2160	82.148
92	79925	81.975
93	4147	81.888
94	22918	81.6825
95	3858	80.1815
96	3673	79.7675
97	4856	79.265
98	948	78.9625
99	2125	78.78099999999999
100	5521	78.6765
101	5008	78.48400000000001
102	1475	78.17999999999999
103	7450	77.55499999999999
104	5266	77.4795
105	4014	77.179
106	354	76.916
107	3481	76.8225
108	11326	76.7975
109	3713	76.57849999999999
110	2192	76.4695
111	6707	76.0775
112	6288	75.67999999999999
113	1832	75.578
114	1305	75.2735
115	3853	74.8755
116	6667	74.6215
117	633	74.474
118	84260	74.3745
119	928	73.259
120	9646	72.877
121	2006	72.5725
122	7047	72.272
123	3678	70.864
124	22795	70.673
125	6670	70.2715
126	1490	70.2645
127	80781	68.963
128	90070	68.71549999999999
129	7052	67.5635
130	2200	66.372
131	5444	64.57300000000001
132	1191	63.96849999999999
133	710	63.463499999999996
134	53353	62.843
135	4052	60.9705
136	1294	60.6795
137	7422	60.1385
138	5275	59.605999999999995
139	4237	59.2715
140	1690	58.67
141	3875	58.66949999999999
142	81494	57.896
143	2201	57.17100000000001
144	720	57.17100000000001
145	5155	57.1395
146	6574	56.86749999999999
147	4313	56.762
148	7070	56.754
149	1471	56.669000000000004
150	3512	56.09349999999999
151	164656	56.06849999999999
152	3931	56.068000000000005
153	973	55.693000000000005
154	336	55.0655
155	1593	54.967
156	27329	54.85799999999999
157	319	54.565
158	27202	54.1665
159	3693	53.64549999999999
160	1293	53.5615
161	3675	52.85699999999999
162	6696	52.04449999999999
163	3672	48.661
164	2150	48.558
165	3918	47.6575
166	550	47.260000000000005
167	651	47.168
168	960	45.3425
169	4316	44.842
170	2923	44.653499999999994
171	1580	39.866
172	1101	39.6665
173	1289	39.352
174	5657	39.157
175	5265	39.1515
176	820	39.0565
177	5644	38.9495
178	3914	38.553
179	7035	38.134
180	649	38.052499999999995
181	26049	37.694
182	4099	37.1515
183	5029	34.924
184	4036	33.7575
185	7056	33.533
186	2153	33.314
187	5269	30.813
188	12	30.3145
189	2159	30.313499999999998
190	5858	30.220499999999998
191	462	30.112000000000002
192	3487	30.006999999999998
193	8029	29.752499999999998
194	5646	29.7385
195	3485	29.708
196	7042	29.621000000000002
197	3817	29.1125
198	4018	28.943
199	2165	28.942500000000003
200	8076	28.266
201	3479	27.7075
202	4312	27.636000000000003
203	3694	25.7235
204	4314	25.438
205	1404	24.5375
206	176	23.837
207	2	23.811500000000002
208	1462	23.7365
209	63827	22.6355
210	6387	22.5345
211	7076	21.634999999999998
212	2157	20.9315
213	2161	20.6045
214	3082	20.2025
215	5627	19.834
216	5624	19.8335
217	3915	19.627000000000002
218	3676	19.433500000000002
219	967	19.3325
220	3911	19.226499999999998
221	10877	18.9925
222	7058	18.933
223	1356	18.8725
224	7356	18.747
225	29802	18.392
226	7441	18.2915
227	3543	18.091
228	4319	18.029500000000002
229	1879	17.9905
230	3818	17.703
231	3732	17.432
232	3655	17.330000000000002
233	3491	17.0275
234	1839	16.8315
235	977	16.6305
236	4321	16.6035
237	4179	16.331
238	4023	16.2405
239	7436	16.04
240	118429	15.879
241	348	15.838
242	7106	15.828999999999999
243	1990	15.736
244	5738	15.7285
245	975	15.628
246	9507	15.535500000000003
247	1508	14.929000000000002
248	629	14.5785
249	3273	14.415000000000001
250	3696	14.115
251	963	14.026
252	26085	13.928
253	5318	13.866
254	8754	13.725
255	8399	13.297999999999998
256	4054	13.02
257	259	12.7285
258	7043	12.7195
259	3483	12.404
260	4323	11.91
261	4224	11.422999999999998
262	2331	11.217
263	6382	11.202
264	3912	10.719
265	1291	10.4185
266	4653	10.0255
267	3679	9.7245
268	1281	9.022
269	6383	8.9015
270	4322	8.605
271	7078	8.505500000000001
272	5118	8.4165
273	2252	8.018
274	3959	7.717499999999999
275	712	6.516
276	3909	6.5025
277	3934	5.207
278	821	4.713
279	1361	4.211
280	7980	3.5409999999999995
281	6354	3.5159999999999996
282	5154	2.5105
283	3689	2.4475000000000002
284	51454	2.3235
285	2208	2.145
286	7049	1.201
