rank	node	rank_score
1	1499	176.599
2	4088	176.0
3	2033	168.9795
4	28996	164.5645
5	8850	160.39600000000002
6	7157	159.68800000000002
7	1387	158.5745
8	4087	158.38600000000002
9	5371	156.76399999999998
10	367	150.8965
11	3065	149.8825
12	8312	148.0985
13	56704	147.99949999999998
14	6667	147.0855
15	4089	146.487
16	6597	140.6775
17	7161	133.3985
18	2099	131.475
19	6599	130.87550000000002
20	672	130.0625
21	163126	128.5805
22	4092	127.4865
23	8202	125.97049999999999
24	5925	125.47350000000002
25	4193	124.2565
26	4654	123.06700000000001
27	9611	122.5675
28	3066	122.255
29	6601	121.1655
30	6996	117.67999999999999
31	6598	116.35900000000001
32	8841	115.06199999999998
33	51176	112.873
34	6595	111.7635
35	6908	110.25550000000001
36	25942	109.9585
37	57492	107.96900000000001
38	6603	107.4395
39	3621	107.3425
40	6602	106.94949999999999
41	64779	106.29650000000001
42	3725	106.06300000000002
43	4609	104.55149999999999
44	4194	104.47649999999999
45	8289	102.644
46	5928	101.446
47	1051	101.1815
48	5931	100.854
49	2908	100.761
50	51742	98.8365
51	51592	98.7695
52	1050	98.67699999999999
53	5970	98.551
54	5525	98.19800000000001
55	6605	95.947
56	8819	95.8445
57	6497	94.679
58	64321	93.697
59	7421	93.3605
60	86	93.03999999999999
61	6872	92.6465
62	2959	92.5485
63	1616	91.1855
64	9219	88.14200000000001
65	10284	87.043
66	53615	86.5415
67	8189	85.753
68	1024	85.524
69	5929	84.449
70	6880	83.84349999999999
71	6604	83.532
72	57459	83.0355
73	4297	82.7475
74	9612	82.3595
75	53981	82.252
76	1108	81.937
77	8932	81.838
78	6774	81.65
79	5977	79.935
80	6878	79.84549999999999
81	1107	79.5375
82	54760	79.0305
83	6883	78.545
84	2272	77.4935
85	23028	76.1405
86	11091	75.841
87	5901	74.9385
88	10499	72.6525
89	8648	72.56
90	8467	72.439
91	79841	71.289
92	5430	71.116
93	2962	70.4225
94	4204	69.657
95	3172	68.9845
96	6714	68.6975
97	23682	68.5875
98	9343	68.236
99	9412	68.2165
100	10589	68.021
101	4086	67.789
102	60	67.7145
103	2965	67.015
104	23186	66.523
105	892	66.3215
106	10848	66.31649999999999
107	23054	66.268
108	7155	66.029
109	2960	65.3175
110	51588	65.2615
111	3091	65.25450000000001
112	5947	63.81949999999999
113	85509	63.334
114	1487	61.942499999999995
115	7050	61.772000000000006
116	23309	61.725
117	2290	60.18300000000001
118	860	60.1785
119	7044	59.959
120	54815	58.71900000000001
121	10498	58.327999999999996
122	56623	58.098
123	2308	57.597
124	9112	56.92999999999999
125	1017	56.3115
126	1022	56.30650000000001
127	4435	56.0505
128	25855	55.931
129	55914	55.1905
130	55193	54.9105
131	2969	54.72950000000001
132	64426	54.626999999999995
133	7046	54.588499999999996
134	8945	54.2915
135	84162	53.579499999999996
136	11171	52.992
137	2967	52.813
138	5926	51.528499999999994
139	2071	50.912
140	5325	49.864999999999995
141	1457	49.858
142	3622	49.8535
143	7750	48.82
144	5594	48.774
145	117583	48.584
146	4298	48.1445
147	602	48.0685
148	6256	47.6345
149	9203	47.6075
150	51285	46.985
151	57504	45.926
152	207	44.782
153	5933	44.57
154	79595	43.826499999999996
155	7067	41.1055
156	23199	40.0015
157	607	39.795500000000004
158	90780	39.292500000000004
159	1025	39.211
160	3360	38.902499999999996
161	9070	38.722
162	1386	38.001
163	2353	37.957499999999996
164	51317	37.6245
165	81608	37.1915
166	51412	37.1195
167	221079	36.981
168	9031	36.6235
169	2932	36.5925
170	9372	36.386
171	55636	36.208
172	3320	35.533
173	1855	35.1945
174	83871	34.5835
175	9739	33.915499999999994
176	196528	32.705
177	1052	32.159000000000006
178	3308	32.109500000000004
179	10362	32.017
180	4303	31.865
181	3054	30.809000000000005
182	8473	28.008500000000005
183	11177	27.6205
184	3175	27.371500000000005
185	6304	27.228999999999996
186	5914	27.218
187	5595	27.048000000000002
