rank	node	rank_score
1	2033	176.05349999999999
2	3065	158.7385
3	672	154.4355
4	2099	146.2625
5	1387	144.8485
6	6598	144.0025
7	6667	140.1415
8	57337	138.299
9	6597	133.1235
10	5371	129.051
11	7157	128.858
12	3066	127.601
13	5925	123.44200000000001
14	367	120.0405
15	6908	117.327
16	6599	116.84349999999999
17	8841	116.8155
18	6601	112.8255
19	5970	111.74099999999999
20	25942	110.5205
21	8289	108.125
22	6602	105.4245
23	3725	104.849
24	6603	104.71199999999999
25	6595	104.44650000000001
26	2959	103.11949999999999
27	86	102.1155
28	1108	101.8095
29	8819	101.7055
30	5928	101.21000000000001
31	6604	100.4165
32	9219	100.40650000000001
33	5931	100.017
34	6477	99.9
35	10524	98.8955
36	6605	96.024
37	5977	96.0025
38	53615	95.3015
39	57459	95.107
40	9612	94.2215
41	54760	94.1115
42	7421	93.223
43	51742	92.413
44	9611	90.61749999999999
45	8850	90.106
46	1024	88.315
47	6872	88.237
48	7155	88.1545
49	2965	87.006
50	5430	84.902
51	3621	83.3875
52	8932	82.774
53	10589	82.30499999999999
54	2962	81.80799999999999
55	9412	80.4145
56	1022	79.4225
57	7528	78.387
58	57492	77.0305
59	55193	76.9075
60	10284	76.4695
61	4081	74.4975
62	6880	74.47
63	23028	74.4665
64	8189	73.16499999999999
65	4297	72.96700000000001
66	6878	72.6735
67	53981	72.6645
68	6774	71.646
69	6883	71.468
70	2960	71.255
71	8202	71.2255
72	1107	70.664
73	51341	70.5855
74	5929	70.5635
75	85509	69.5415
76	892	69.158
77	4298	69.0125
78	8467	68.7655
79	11091	68.263
80	57504	67.873
81	4087	66.03150000000001
82	5901	65.1615
83	4088	64.839
84	1017	64.32849999999999
85	2967	64.251
86	9031	63.842499999999994
87	9343	63.761
88	23309	63.747
89	55636	63.7105
90	51412	63.101
91	2071	62.1515
92	7704	61.519000000000005
93	23186	61.452999999999996
94	60	60.2605
95	1025	60.015
96	5504	59.9985
97	5914	59.92100000000001
98	7707	59.097500000000004
99	2969	58.95
100	26259	57.6965
101	2956	57.5905
102	9112	57.54600000000001
103	2624	56.291999999999994
104	1457	55.955999999999996
105	7044	55.6485
106	10498	54.57899999999999
107	9203	54.239
108	7750	51.544000000000004
109	2908	51.261
110	6996	50.6065
111	54815	50.3535
112	51317	49.8435
113	23199	49.638
114	81627	49.0905
115	1020	48.898
116	196528	47.762
117	4193	46.8115
118	23054	46.6365
119	595	46.6345
120	1487	46.628499999999995
121	3360	46.0445
122	1019	45.729
123	983	45.1555
124	25855	43.952
125	10362	43.7375
126	5501	42.705
127	6304	42.4005
128	64426	42.0505
129	6613	41.618
130	6256	41.3775
131	5469	41.0045
132	25	40.717
133	7067	40.428999999999995
134	11198	40.231
135	3308	39.625
136	8243	39.6065
137	51807	39.5995
138	22853	39.29600000000001
139	10224	39.096500000000006
140	5499	38.997
141	11177	38.945499999999996
142	1051	38.8675
143	57761	38.7945
144	1021	38.5325
145	8295	37.9325
146	3516	37.9215
147	51592	37.822
148	3320	37.8005
149	1027	37.647000000000006
150	51564	37.599000000000004
151	5926	37.432
152	5467	36.9895
153	4654	35.034000000000006
154	5594	34.7935
155	84152	34.011
156	1869	33.7275
157	4204	32.811
158	1459	32.346500000000006
159	8290	31.940999999999995
160	2623	31.547500000000003
161	399511	30.734
162	57410	30.7235
163	6714	30.3375
164	9325	30.3085
165	10274	29.623
166	861	29.432
167	3054	29.043
168	142	28.6205
169	9739	28.437
170	1026	27.8755
171	3183	27.642500000000002
172	10735	27.228999999999996
173	9070	26.533500000000004
174	5451	26.322000000000003
175	3622	26.3205
176	10474	26.226999999999997
177	1499	25.9185
178	6881	25.6385
179	8648	25.6295
180	10499	25.6265
181	891	25.365000000000002
182	79595	25.1175
183	8473	24.936
184	6886	24.003
185	5934	23.2885
186	10485	22.6795
187	5971	22.523500000000002
188	10763	22.2775
189	6882	22.2395
190	4089	21.9035
191	3312	21.035500000000003
192	10661	20.822499999999998
193	896	20.728
194	5885	20.7195
195	573	20.6105
196	6917	19.5095
197	5834	19.494999999999997
198	91768	19.471
199	8851	19.3785
200	6874	19.3315
201	5595	19.195500000000003
202	9794	19.0015
203	4084	18.993000000000002
204	57621	18.7885
205	6241	18.479
206	5982	18.455000000000002
207	3020	18.3525
208	5947	18.345
209	2957	18.335
210	112885	18.219
211	3091	18.203
212	5127	18.182
213	5981	18.067500000000003
214	5591	18.018
215	9759	17.983
216	2648	17.726499999999998
217	3070	17.691499999999998
218	84312	17.6145
219	9126	17.6135
220	2961	17.310499999999998
221	4435	17.301
222	6830	17.2015
223	2966	16.704500000000003
224	2068	16.7035
225	1050	16.6305
226	64324	16.5315
227	3429	16.487000000000002
228	2353	16.46
229	9734	16.389
230	4332	16.277
231	5604	16.193
232	7068	15.812999999999999
233	5440	15.802000000000001
234	9697	15.628
235	2963	15.607
236	6497	15.509
237	6118	15.3505
238	6117	15.261000000000001
239	4331	15.203
240	3925	15.0795
241	5111	14.976499999999998
242	6877	14.930000000000001
243	5426	14.755500000000001
244	51616	14.626
245	22944	14.616
246	3832	14.5625
247	5424	14.5575
248	3297	14.367
249	890	14.263
250	5422	14.157
251	3978	13.9525
252	2932	13.894
253	4790	13.809999999999999
254	6119	13.751
255	894	13.725999999999999
