rank	node	rank_score
1	7067	180.0
2	2033	177.798
3	6777	177.5985
4	6776	176.0975
5	6772	175.197
6	6774	174.09650000000002
7	55250	165.7945
8	3560	151.494
9	2114	138.399
10	5595	122.394
11	5594	119.4935
12	6688	118.7995
13	3725	115.49600000000001
14	2113	111.19500000000001
15	6996	89.2805
16	5771	76.9965
17	3718	76.596
18	2353	76.4955
19	3716	75.795
20	6773	75.3945
21	3455	74.79400000000001
22	7852	74.6935
23	8651	74.293
24	2908	73.793
25	2690	73.5925
26	5777	73.592
27	8648	73.3925
28	2099	73.089
29	367	72.99199999999999
30	7297	72.69149999999999
31	5781	72.69
32	23054	72.291
33	3454	72.1895
34	6778	71.3905
35	5970	70.69149999999999
36	1439	70.6885
37	5788	70.489
38	9612	69.8905
39	4088	69.7885
40	2057	69.788
41	1050	69.59
42	1051	69.5895
43	9021	69.5875
44	1386	69.288
45	8660	69.087
46	6464	68.5865
47	6256	68.4855
48	8202	68.386
49	3667	68.186
50	1432	67.787
51	3566	67.7855
52	602	67.785
53	3643	67.385
54	7421	67.381
55	3932	67.0815
56	5295	66.9845
57	3572	66.584
58	5599	66.4865
59	1399	65.9835
60	10499	65.9795
61	9611	65.68350000000001
62	3480	65.483
63	5914	65.479
64	867	65.282
65	5156	65.1825
66	4089	64.88250000000001
67	5451	64.776
68	6667	64.38300000000001
69	6850	64.181
70	7409	64.18050000000001
71	5925	63.5775
72	2185	63.379999999999995
73	4087	63.181999999999995
74	6597	63.08
75	2885	62.979499999999994
76	5468	62.9785
77	10603	62.678999999999995
78	4067	62.5785
79	2064	61.878
80	5747	61.8775
81	672	61.7755
82	8841	61.577999999999996
83	1398	61.477
84	1956	60.6765
85	6714	60.676
86	6908	59.9745
87	3065	59.9735
88	5921	59.8755
89	6599	59.274
90	2065	59.075
91	5770	58.872
92	613	58.7735
93	6601	58.673
94	5335	58.5745
95	9846	58.374
96	3066	58.072
97	6598	57.972500000000004
98	2534	57.773
99	6595	57.471500000000006
100	7535	57.2725
101	2959	56.971000000000004
102	6602	56.5705
103	10657	56.371500000000005
104	5336	56.371
105	4914	56.37050000000001
106	25942	56.17
107	6605	55.46900000000001
108	57492	55.168499999999995
109	8289	54.6675
110	7157	54.575
111	6603	54.568000000000005
112	55824	54.466499999999996
113	3937	54.268499999999996
114	9252	54.0875
115	6604	53.967
116	25	53.965999999999994
117	27040	53.568000000000005
118	6654	53.467
119	6461	53.36749999999999
120	10451	53.16949999999999
121	1024	53.1665
122	868	53.07000000000001
123	6452	52.96900000000001
124	3055	52.165
125	86	52.0625
126	7155	52.0615
127	54760	51.965999999999994
128	11184	51.9655
129	9412	51.665499999999994
130	2889	51.6645
131	9564	51.464
132	2962	51.364999999999995
133	573	51.277
134	2965	50.4645
135	10589	50.464
136	892	50.463499999999996
137	1796	50.2625
138	1445	50.262
139	10498	50.158
140	2549	49.7605
141	29760	49.5635
142	2960	49.563
143	3635	49.359500000000004
144	5928	49.2575
145	5430	49.162
146	8850	48.7605
147	5829	48.4615
148	2967	48.36
149	860	48.1765
150	5795	48.06
151	9031	48.058499999999995
152	2071	47.7595
153	4233	47.559000000000005
154	1022	47.359
155	5782	47.1585
156	27	46.663
157	4690	46.461
158	10278	45.958
159	10006	45.5575
160	8819	45.4565
161	3621	45.254000000000005
162	6655	45.157
163	51742	45.054500000000004
164	5931	44.455
165	2887	44.3565
166	6872	44.057
167	5296	44.054
168	7006	43.8535
169	3702	43.852999999999994
170	9219	43.656
171	1436	43.6545
172	6880	43.2555
173	10284	42.753499999999995
174	2066	42.7525
175	6878	42.4525
176	53615	42.153
177	4654	42.032
178	5469	41.761
179	4297	41.6515
180	50807	41.251999999999995
181	695	41.2515
182	53981	41.251
183	7454	41.251
184	8189	40.751999999999995
185	100124696	40.6505
186	6883	40.4505
187	3791	40.156
188	5929	40.15
189	5800	40.0495
190	7525	39.755
191	2321	39.6555
192	23028	39.6495
193	11091	39.249
194	5787	38.947500000000005
195	5241	38.93
196	5901	38.7485
197	660	38.45
198	8467	38.448
199	5793	38.4465
200	1107	38.1475
201	10818	37.949
202	4094	37.6935
203	8932	37.647000000000006
204	1108	37.146
205	57459	36.9465
206	5979	36.546
207	5977	36.445499999999996
208	9402	36.048
209	9343	36.045
210	11198	35.944
211	2213	35.844
212	2260	35.6485
213	4609	35.4445
214	7010	35.0455
215	5580	35.043
216	857	34.7435
217	26191	34.542500000000004
218	2969	34.0415
219	2242	33.941500000000005
220	55715	33.644999999999996
221	3297	33.3695
222	23186	33.2405
223	25970	33.142
224	9112	32.839999999999996
225	23309	32.741
226	5175	32.741
227	4582	32.638
228	1025	32.333
229	7750	32.1395
230	9203	31.738999999999997
231	9325	31.712
232	60	31.4435
233	51317	31.3385
234	2268	31.139499999999998
235	7410	31.038999999999998
236	55193	30.942
237	23199	30.938
238	238	30.8405
239	930	30.6385
240	3360	30.5375
241	5796	30.439999999999998
242	3308	30.043
243	10362	29.6365
244	85509	29.536
245	1441	29.4375
246	1487	29.437
247	7528	29.334000000000003
248	54815	29.135
249	7462	28.734500000000004
250	1499	28.637
251	3516	28.2335
252	9743	28.1365
253	933	27.834000000000003
254	1000	27.736
255	30011	27.6355
256	4790	27.621500000000005
257	4739	27.135
258	4204	26.829
259	51412	26.6355
260	196528	26.234500000000004
261	919	26.033500000000004
262	2623	25.728499999999997
263	2886	25.5325
264	6830	25.5275
265	10750	24.933
266	558	24.931
267	10019	24.832
268	8440	24.7305
269	10399	24.5315
270	23607	23.6295
271	56955	22.830000000000002
272	58512	22.6275
273	3636	22.328
274	128853	21.929
275	3164	21.7425
276	3575	21.426499999999997
277	83747	21.0285
278	3561	20.926
279	57504	20.830000000000002
280	53358	20.325499999999998
281	4486	20.024
282	4915	19.925
283	1017	19.231
284	1869	19.200499999999998
285	7068	19.1305
286	8853	18.823
287	27071	18.7235
288	55636	18.1305
289	6503	18.1245
290	8503	17.627000000000002
291	64426	17.3285
292	974	17.322
293	3320	17.0255
294	640	16.9215
295	3054	16.6265
296	9739	16.526
297	9103	16.521
298	916	16.1195
299	8473	16.0245
300	9070	15.925
301	1457	15.924000000000001
302	50852	15.719
303	3312	15.2225
304	6004	15.020499999999998
305	10401	14.973500000000001
306	25855	14.921000000000001
307	8290	14.722
308	7275	14.4175
309	23624	14.12
310	5338	14.114499999999998
311	3091	13.823500000000001
312	1969	13.415000000000001
313	2209	12.514
314	1795	12.4165
315	9046	12.4135
316	3326	12.2205
317	80831	11.8225
318	25759	11.815999999999999
319	356	11.718
320	10891	11.3325
321	2533	11.117
322	4602	10.523
323	27240	10.118500000000001
324	5578	10.1105
325	11177	9.828999999999999
326	5601	9.72
327	5170	9.2055
328	973	9.113
329	6722	8.9195
330	6613	8.919
331	7316	8.9155
332	921	8.309999999999999
333	5587	8.206
334	904	7.928
335	7704	7.717499999999999
336	2904	7.5125
337	1154	7.2095
338	3172	7.1815
339	9759	7.018000000000001
340	10036	7.013
341	5465	6.9845
342	5600	6.984
343	604	6.916499999999999
344	5581	6.903999999999999
345	5579	6.705
346	3622	6.6125
347	5926	6.612
348	7341	6.513499999999999
349	5590	6.5065
350	1601	6.5045
351	79595	6.3115000000000006
352	84312	6.111
353	595	5.9315
354	4331	5.9015
355	902	5.901000000000001
356	2961	5.6065
357	5894	5.5035
358	2068	5.404999999999999
359	2966	5.2055
360	3563	5.108
361	2968	5.0035
362	5588	4.9030000000000005
363	3559	4.9025
364	5435	4.8075
365	2100	4.7315
366	8204	4.531000000000001
367	5431	4.51
368	5440	4.506
369	5438	4.208
370	9862	4.1295
371	4435	4.1215
372	1459	4.1185
373	4298	4.0280000000000005
374	6689	4.0155
375	960	4.002
376	7044	3.9170000000000003
377	5439	3.9105000000000003
378	2963	3.903
379	5433	3.6090000000000004
380	2048	3.4120000000000004
381	5436	3.4085
382	9440	3.3269999999999995
383	5432	3.1094999999999997
384	5434	3.107
385	8471	3.011
386	8295	2.8259999999999996
387	64714	2.8075
388	5437	2.804
389	9282	2.7265
390	3690	2.7015000000000002
391	5933	2.619
392	5441	2.6045000000000003
393	6497	2.5275
394	9150	2.402
395	2648	2.3255000000000003
396	9439	2.3244999999999996
397	84246	2.321
398	5290	2.2115
399	26015	2.2024999999999997
400	9968	2.025
401	10025	1.8240000000000003
402	9441	1.8155000000000001
403	81857	1.6225
404	9969	1.4235
405	55588	1.4144999999999999
406	10001	1.223
407	196	1.2109999999999999
408	9443	1.0219999999999998
409	6199	1.0065
410	51586	0.8215
411	5618	0.709
412	5584	0.704
413	8835	0.6085
414	3265	0.6025
415	9442	0.5205
416	2902	0.40199999999999997
417	9967	0.3125
418	5583	0.3015
419	207	0.301
420	9477	0.22000000000000003
421	8682	0.20099999999999998
422	6237	0.10049999999999999
423	3689	0.10049999999999999
424	400569	0.0195
425	23389	0.019
426	90390	0.0185
427	6837	0.018
428	23097	0.017499999999999998
429	54797	0.017
430	29079	0.0165
431	112950	0.016
432	55090	0.015
433	80306	0.014000000000000002
