rank	node	rank_score
1	718	177.59949999999998
2	967	176.4
3	3109	173.2965
4	5199	172.599
5	5594	168.9985
6	81494	153.1935
7	3932	150.3945
8	6464	147.6865
9	2885	137.898
10	3108	136.69549999999998
11	4067	126.99600000000001
12	3667	120.753
13	5595	115.79400000000001
14	9846	108.39200000000001
15	2534	108.3765
16	6850	107.285
17	5777	106.78699999999999
18	3717	105.19099999999999
19	3560	105.1875
20	5781	103.8835
21	3815	103.4805
22	867	103.1795
23	55824	102.78299999999999
24	930	102.25550000000001
25	5295	101.2715
26	2057	100.4905
27	5335	100.276
28	6776	99.489
29	7535	99.4825
30	6714	99.364
31	1956	98.9855
32	5648	97.497
33	5597	97.3995
34	6777	97.386
35	7409	97.074
36	3732	96.89349999999999
37	83700	95.9995
38	7498	95.998
39	1439	95.17699999999999
40	1432	95.1165
41	613	95.0655
42	3937	94.78099999999999
43	1399	92.88199999999999
44	2185	91.462
45	6774	91.0595
46	10603	89.7735
47	6654	88.46849999999999
48	27040	87.4675
49	3643	86.7755
50	5788	86.488
51	5336	86.475
52	10750	86.2335
53	1796	86.166
54	3635	84.3585
55	3716	83.9695
56	933	83.6425
57	11184	82.5635
58	5921	81.565
59	5159	80.468
60	25	80.3625
61	1398	79.958
62	2064	79.372
63	29760	79.27000000000001
64	2549	77.678
65	7454	77.5975
66	1436	77.1535
67	2690	76.78450000000001
68	972	76.6975
69	3055	76.4615
70	6461	76.26
71	4179	76.095
72	3718	75.95750000000001
73	5738	75.8945
74	27240	75.1815
75	975	74.79249999999999
76	5580	73.939
77	10657	73.157
78	5156	72.959
79	5747	72.951
80	4914	72.86449999999999
81	919	72.5885
82	3688	71.9035
83	2065	71.771
84	7462	71.6745
85	50852	71.3605
86	1445	71.279
87	868	70.773
88	5829	69.3605
89	2889	69.354
90	2887	68.6505
91	4233	67.8485
92	5175	67.056
93	695	66.163
94	5795	64.97999999999999
95	6452	64.47049999999999
96	10818	64.4495
97	3480	62.44500000000001
98	5770	62.346500000000006
99	6772	61.838499999999996
100	8651	61.361000000000004
101	3575	60.931999999999995
102	3702	60.467000000000006
103	27	60.3515
104	7006	60.269000000000005
105	9564	60.254999999999995
106	9021	59.74400000000001
107	10451	59.366499999999995
108	10006	58.7525
109	2099	58.3395
110	5782	56.54600000000001
111	25970	56.189499999999995
112	3725	56.1645
113	4690	56.05650000000001
114	928	55.991499999999995
115	5979	55.749
116	7525	55.147000000000006
117	977	54.694
118	7106	54.689499999999995
119	3675	54.589999999999996
120	54923	53.89300000000001
121	963	53.690999999999995
122	3655	53.3885
123	3676	52.288
124	974	51.92100000000001
125	8660	51.543000000000006
126	931	51.283
127	2206	50.984
128	2515	50.888999999999996
129	56955	49.638
130	3791	49.4435
