rank	node	rank_score
1	389834	180.1
2	1258	179.1995
3	7423	178.299
4	8829	177.3985
5	2321	176.0975
6	5228	175.998
7	8828	174.697
8	6405	173.7965
9	10512	172.796
10	3791	171.8955
11	7869	171.195
12	10371	170.2945
13	727	169.294
14	1369	168.3935
15	5361	167.493
16	25759	166.5925
17	126129	165.392
18	2180	164.4915
19	9415	163.59099999999998
20	3992	162.6905
21	6319	161.79000000000002
22	1374	160.7895
23	51703	160.089
24	2194	158.9875
25	2182	158.18800000000002
26	1375	157.3885
27	11001	156.387
28	2181	155.4865
29	11343	154.38600000000002
30	55301	153.8855
31	10555	152.785
32	137964	151.8845
33	56894	150.984
34	57678	150.08350000000002
35	55326	149.183
36	56895	148.2825
37	2713	147.382
38	2712	146.4815
39	3990	145.481
40	2710	144.78050000000002
41	4023	143.18
42	5408	143.0795
43	8513	142.079
44	5407	141.17849999999999
45	9388	140.278
46	5406	139.3775
47	1208	138.377
48	116285	137.376
49	6094	128.8765
50	5648	120.476
51	721	119.5755
52	629	118.775
53	5199	117.97449999999999
54	1378	117.074
55	1380	116.27350000000001
56	55238	103.17550000000001
57	100293534	101.2745
58	4179	86.773
59	7525	82.1725
60	4868	78.5715
61	1500	76.6695
62	23607	73.771
63	7827	66.8705
64	55243	66.37
65	27321	57.46900000000001
66	4916	56.971500000000006
67	10878	56.96849999999999
68	3684	56.36900000000001
69	4035	54.375
70	4322	53.574
71	4323	53.0735
72	2161	52.673
73	9722	52.572500000000005
74	6714	51.763
75	6853	51.272000000000006
76	6854	50.871500000000005
77	5175	49.813
78	2534	49.369
79	2266	48.653999999999996
80	1445	48.339
81	867	47.8675
82	2162	47.553
83	1003	47.256
84	5781	45.857
85	6464	43.5635
86	6654	43.366
87	81494	41.8675
88	1956	40.948
89	722	40.766
90	10818	40.3355
91	5295	39.355000000000004
92	5921	39.2615
93	5777	39.160000000000004
94	5795	39.037
95	1490	39.018
96	2185	38.8625
97	7057	38.370999999999995
98	9564	38.362
99	2889	37.852999999999994
100	1796	37.7545
101	1399	37.554
102	3932	37.257999999999996
103	4067	36.9645
104	5829	36.44
105	3815	36.156
106	2064	36.0445
107	9846	35.3565
108	2057	35.251
109	2549	35.038
110	5335	34.751999999999995
111	5159	34.542500000000004
112	4233	34.321000000000005
113	1499	34.207499999999996
114	25	33.8525
115	9743	33.835
116	55824	33.6605
117	6850	33.361000000000004
118	613	33.3555
119	3717	33.15
120	1398	32.545
121	5788	32.0375
122	5787	31.414499999999997
123	3643	31.3365
124	1000	31.006999999999998
125	5782	30.934000000000005
126	7409	30.6515
127	4914	30.436
128	2885	30.247000000000003
129	30011	30.110500000000002
130	3827	29.97
131	2811	29.9695
132	5336	29.950499999999998
133	5800	29.919999999999998
134	5793	29.817500000000003
135	5747	29.542
136	7535	29.259000000000004
137	3937	29.059500000000003
138	2065	28.8485
139	3055	28.753499999999995
140	26020	27.562
141	6678	26.9395
142	3690	26.8435
143	1511	26.770500000000006
144	2335	26.742
145	1436	26.367
146	27040	26.1495
147	3685	26.0445
148	1991	25.9685
149	4053	25.8685
150	11184	25.849
151	3674	25.841500000000003
152	6382	25.768
153	820	25.567500000000003
154	1604	25.368000000000002
155	5265	25.267
156	868	25.1475
157	5657	25.0665
158	5275	24.866
159	29760	24.8465
160	7006	24.8335
161	4811	24.740000000000002
162	4318	24.637
163	1992	24.5655
164	2150	24.565
165	2147	24.5645
166	1277	24.5345
167	1280	24.439
168	2149	24.163999999999998
169	7040	23.938499999999998
170	2160	23.8635
171	1278	23.7335
172	5340	23.663
173	948	23.634
174	710	23.362000000000002
175	3688	23.335500000000003
176	1361	23.2625
177	5327	23.1615
178	5329	22.96
179	3818	22.9545
180	10006	22.845999999999997
181	3678	22.732
182	5054	22.661
183	6655	22.545499999999997
184	4856	22.417
185	5328	22.360500000000002
186	961	22.1375
187	928	22.134999999999998
188	5345	21.958499999999997
189	7448	21.8595
190	1495	21.6615
191	5104	21.455000000000002
192	7980	21.4525
193	811	21.4465
194	4690	21.443
195	3728	21.262999999999998
196	5549	21.1215
197	5269	21.057
198	1439	20.9575
199	27	20.9435
200	7052	20.9315
201	5784	20.8595
202	2153	20.8505
203	6452	20.844
204	50807	20.7395
205	4313	20.73
206	999	20.662
207	3082	20.657999999999998
208	80781	20.5305
209	1634	20.529500000000002
210	3339	20.52
211	2192	20.517500000000002
212	768	20.459
213	7056	20.351499999999998
214	55591	20.258499999999998
215	3053	20.159
216	5624	20.151
217	2319	20.0625
218	4647	20.058
219	6768	20.057499999999997
220	2243	20.0535
221	3673	19.9195
222	3817	19.851999999999997
223	2241	19.7575
224	2159	19.75
225	10278	19.741
226	5627	19.549500000000002
227	7082	19.3495
228	2157	19.349
229	3696	19.344
230	10451	19.2415
231	51762	19.15
232	2158	19.0485
233	1293	19.0185
234	2677	18.848000000000003
235	421	18.753
236	3488	18.6555
237	2244	18.447
238	5796	18.3065
239	1013	18.2535
240	55914	18.2525
241	284217	18.1205
242	50937	18.0545
243	8502	18.051499999999997
244	91653	17.854000000000003
245	1825	17.851
246	2199	17.825499999999998
247	3273	17.7475
248	7454	17.73
249	3635	17.3205
250	10603	16.9345
251	1501	16.651999999999997
252	5029	16.6365
253	7450	16.433
254	2812	16.236
255	4018	16.141
256	3702	16.032999999999998
257	5770	16.0265
258	6670	15.742500000000001
259	90070	15.6405
260	3675	15.231
261	2006	15.216
262	1285	14.928
263	2200	14.715
264	7045	14.227500000000001
265	4052	14.113999999999999
266	3383	13.968
267	1286	13.926999999999998
268	1282	13.926499999999999
269	1370	13.6685
270	50507	13.568000000000001
271	3386	13.532499999999999
272	857	13.404500000000002
273	64398	13.268
274	22918	13.225999999999999
275	1305	13.212
276	58538	13.1675
277	84623	13.0625
278	8777	12.966999999999999
279	59339	12.866499999999998
280	2690	12.8275
281	7010	12.813999999999998
282	10207	12.7655
283	7070	12.743
284	930	12.666500000000001
285	143098	12.666
286	1288	12.625
287	154810	12.565000000000001
288	1287	12.5245
289	22795	12.5125
290	55114	12.4645
291	4582	12.438500000000001
292	154796	12.364
293	830	12.2635
294	5653	12.245000000000001
295	832	12.163
296	375033	12.1555
297	829	12.0625
298	3716	12.029
299	51421	11.8615
300	8651	11.8325
301	695	11.8295
302	6776	11.828
303	5270	11.824
304	3026	11.8235
305	93343	11.761
306	3486	11.729000000000001
307	11344	11.6605
308	6777	11.626999999999999
309	92359	11.559999999999999
310	5858	11.5285
311	1284	11.523
312	4147	11.522499999999999
313	50855	11.4595
314	354	11.3065
315	56288	11.259
316	84612	11.158
317	3996	11.057500000000001
318	84552	10.956999999999999
319	10657	10.9255
320	3993	10.8565
321	6953	10.756
322	351	10.721
323	5584	10.655
324	3480	10.631499999999999
325	1294	10.6145
326	5008	10.522
327	2887	10.331
328	633	10.3165
329	55966	10.257
330	53353	10.256499999999999
331	6288	10.019
332	3672	10.0095
333	6004	9.652
334	3667	9.326
335	3693	9.111500000000001
336	4237	9.013499999999999
337	5296	8.931999999999999
338	23037	8.8505
339	4321	8.6155
340	2201	8.613
341	10750	8.5085
342	3083	8.446
343	2066	8.3305
344	5310	8.061
345	100124696	8.0285
346	6696	7.911
347	4316	7.8085
348	7035	7.808
349	6461	7.622999999999999
350	9021	7.425
351	9402	7.221500000000001
352	4314	7.2075000000000005
353	4982	7.205
354	3718	7.124
355	8660	6.9245
356	3560	6.9235
357	6774	6.922499999999999
358	5156	6.822
359	3918	6.709999999999999
360	2208	6.6275
361	26191	6.511500000000001
362	550	6.2090000000000005
363	7410	6.1405
364	933	6.0095
365	660	4.8185
366	2242	4.713500000000001
367	63827	4.707
368	2923	4.5104999999999995
369	4739	4.308
370	7297	4.0195
371	2260	3.5164999999999997
372	6772	3.418
373	2268	3.4155
374	5979	3.4125
375	3572	3.319
376	27329	3.1215
377	55715	3.1119999999999997
378	8440	2.717
379	712	2.6265
380	975	2.3649999999999998
381	558	2.316
382	7462	2.1109999999999998
383	12	2.1060000000000003
384	1441	1.9149999999999998
385	4312	1.9055
386	176	1.705
387	5771	1.51
388	1404	1.5045
389	462	1.0455
390	5595	0.9055
391	960	0.9039999999999999
392	2213	0.805
393	1462	0.8035
394	7076	0.8030000000000002
395	25970	0.5035000000000001
396	6387	0.4025
397	5594	0.40099999999999997
398	7042	0.301
399	5155	0.2555
400	919	0.20600000000000002
401	10019	0.10400000000000001
402	165100	0.0675
403	80031	0.067
404	114805	0.0665
405	8519	0.0655
406	11326	0.0655
407	8935	0.064
408	2813	0.063
409	57369	0.062
410	858	0.0615
411	7851	0.06
412	974	0.058499999999999996
413	84632	0.057999999999999996
414	1281	0.056499999999999995
415	26085	0.05600000000000001
416	1605	0.05450000000000001
417	2252	0.054000000000000006
418	23433	0.052000000000000005
419	5797	0.05
420	5663	0.043
421	2017	0.042499999999999996
422	998	0.040999999999999995
423	6383	0.038
424	2904	0.038
425	1513	0.034499999999999996
426	4099	0.027000000000000003
427	325	0.026000000000000002
428	1690	0.025500000000000002
429	1291	0.025
430	1289	0.0245
431	649	0.024
432	3914	0.0235
433	1101	0.023
434	164656	0.022
435	651	0.020999999999999998
436	7106	0.019
437	8076	0.0165
438	3959	0.016
439	2219	0.015
440	3915	0.014499999999999999
441	3912	0.014000000000000002
442	3655	0.013500000000000002
443	3732	0.013000000000000001
444	977	0.0125
445	967	0.012
446	5738	0.011
447	3676	0.010499999999999999
448	7058	0.01
449	56955	0.009
450	963	0.0085
451	3691	0.008
452	3913	0.0075
453	2515	0.007000000000000001
454	3491	0.006
455	8754	0.0045
456	58512	0.003
457	128853	0.0025
458	5196	0.002
459	7852	0.002
460	2247	0.0015
461	4915	0.0015
462	5580	0.0015
463	9507	0.0005
464	83747	0.0005
