rank	node	rank_score
1	6649	175.29000000000002
2	4758	166.9975
3	27089	164.469
4	2877	164.0865
5	8309	163.2935
6	1537	161.7685
7	257202	160.388
8	80724	158.6915
9	1962	158.686
10	7388	155.86599999999999
11	84129	155.6905
12	587	155.399
13	30	154.983
14	29796	154.374
15	2879	153.78400000000002
16	8972	153.6945
17	1327	152.1675
18	6648	152.0845
19	3938	151.3955
20	2799	150.59650000000002
21	2878	150.5805
22	2595	150.196
23	6667	148.0985
24	170712	148.068
25	7001	146.78199999999998
26	10975	145.95999999999998
27	2876	145.78
28	7385	144.464
29	3295	143.97899999999998
30	116285	143.88899999999998
31	124637	143.7635
32	9377	142.9655
33	4724	139.6515
34	7384	139.26100000000002
35	1350	139.16199999999998
36	4700	137.8615
37	341947	137.8585
38	10935	137.37849999999997
39	5052	136.3725
40	7386	134.859
41	1347	134.5575
42	4697	134.149
43	4537	133.655
44	549	132.0795
45	7381	130.358
46	55268	129.4925
47	1346	129.257
48	4717	127.65050000000001
49	545	127.38550000000001
50	4719	126.75550000000001
51	1339	126.15650000000001
52	8504	124.75250000000001
53	5566	123.39949999999999
54	125965	123.354
55	126328	123.15450000000001
56	4696	121.348
57	1891	121.17649999999999
58	84701	120.253
59	4694	118.84850000000002
60	1351	117.352
61	672	115.197
62	55967	115.1475
63	4718	113.84549999999999
64	1337	113.65950000000001
65	2936	113.57350000000001
66	4731	112.84650000000002
67	4713	112.644
68	4711	111.4435
69	4708	109.94300000000001
70	4706	108.54249999999999
71	147923	107.9
72	1349	106.65
73	7991	106.446
74	4702	106.14200000000001
75	4710	105.4405
76	4695	104.94149999999999
77	4709	104.34
78	4541	103.64099999999999
79	4707	103.1395
80	586	102.6875
81	1892	102.27000000000001
82	4714	100.838
83	4705	100.339
84	9167	100.0495
85	4712	99.8375
86	4538	99.732
87	54539	99.44449999999999
88	4729	99.3385
89	3030	98.9715
90	1345	98.047
91	4701	97.037
92	4716	97.0355
93	4726	95.9365
94	5568	95.53150000000001
95	3032	95.171
96	4725	94.836
97	4704	93.435
98	4698	92.53450000000001
99	4715	91.9325
100	55655	91.68350000000001
101	51079	91.634
102	6476	91.595
103	4722	90.6335
104	4720	89.73299999999999
105	1329	89.44500000000001
106	2033	87.893
107	4759	85.987
108	6714	85.098
109	4361	84.09200000000001
110	1176	83.112
111	5594	80.272
112	392862	78.3945
113	51103	78.03099999999999
114	4683	77.394
115	80010	75.17699999999999
116	55330	74.21900000000001
117	5194	72.45349999999999
118	23557	69.91
119	63915	69.413
120	2885	69.163
121	6118	68.228
122	2647	67.622
123	5191	67.0285
124	5981	66.591
125	10947	65.3075
126	351	63.629999999999995
127	57697	63.076
128	983	61.105500000000006
129	7156	60.1645
130	3033	58.465999999999994
131	8120	57.810500000000005
132	65124	56.812
133	5591	56.2885
134	5982	55.5255
135	5335	55.278
136	2188	55.051
137	5567	54.126
138	5590	52.4125
139	282991	51.813
140	1020	51.6155
141	26985	51.605
142	4609	51.4225
143	6339	51.2895
144	1080	50.381
145	9656	48.1695
146	867	47.616
147	6117	46.366499999999995
148	1956	46.290499999999994
149	55120	45.867000000000004
150	25	45.8085
151	3712	45.7505
152	6119	45.028999999999996
153	5984	44.375
154	8943	43.20399999999999
155	27244	42.5115
156	2181	40.5815
157	3028	37.239
158	84264	36.207
159	5578	35.731
160	3158	34.5435
161	5019	34.040499999999994
162	7166	33.1035
163	3157	32.6325
164	55320	31.866499999999995
165	4437	31.02
166	571	29.8825
167	7520	28.526999999999997
168	378708	28.1305
169	29935	28.121500000000005
170	9156	28.1175
171	7486	26.9625
172	5111	26.317
173	64772	25.8755
174	2547	24.9295
175	39	24.737000000000002
176	11277	23.685
177	80233	23.523000000000003
178	7534	21.674500000000002
179	5888	21.621000000000002
180	142	20.7195
181	81627	20.618000000000002
182	213	20.017500000000002
183	83990	19.523500000000002
184	1387	19.0775
185	5770	18.81
186	11073	18.670499999999997
187	64087	18.5305
188	10825	18.3975
189	1111	18.3265
190	64064	18.2345
191	38	18.1295
192	3014	17.0165
193	4123	15.878499999999999
194	201254	15.612
195	3029	14.9365
196	1457	13.8055
197	5925	13.706
198	1025	13.008500000000002
199	7518	12.924000000000001
200	5424	12.921000000000001
201	675	12.618
202	91442	11.809000000000001
203	11200	11.413499999999999
204	7014	11.3245
205	5426	11.102
206	1958	10.103
207	3320	10.025
208	2932	9.902000000000001
209	54866	9.841
210	1385	9.6095
211	129807	9.273
212	54511	8.931999999999999
213	7189	8.833
214	10157	8.7245
215	580	8.515
216	6597	8.4025
217	22944	8.1095
218	5422	8.1065
219	5893	7.119
220	5378	7.016
221	3717	6.924000000000001
222	7374	6.8045
223	3978	6.8015
224	3172	6.0435
225	26277	5.811
226	22909	5.414499999999999
227	3326	5.122999999999999
228	9590	5.12
229	7316	5.0155
230	5499	5.011
231	890	5.005
232	595	4.919
233	5451	4.714499999999999
234	5883	4.7005
235	54386	4.6185
236	5894	4.4094999999999995
237	6670	4.366
238	10994	4.3205
239	5127	4.2035
240	9472	3.9105
241	367	3.9034999999999997
242	5932	3.8560000000000003
243	1017	3.714
244	55907	3.6275
245	5580	3.1605
246	6776	2.8125
247	64852	2.532
248	7155	2.5010000000000003
249	1019	2.2184999999999997
250	2114	1.6030000000000002
251	5501	1.0074999999999998
252	2316	0.8085000000000001
253	7150	0.8029999999999999
254	64762	0.42350000000000004
255	5558	0.40099999999999997
256	4846	0.3285
257	3725	0.2225
258	7153	0.2065
259	5595	0.089
260	8170	0.073
261	2534	0.065
262	1022	0.0615
263	4792	0.053500000000000006
264	2645	0.0455
265	8050	0.034
266	4594	0.0315
267	8803	0.028999999999999998
268	23464	0.028499999999999998
269	8714	0.028000000000000004
270	2764	0.0235
271	554	0.0235
272	441400	0.020999999999999998
273	55321	0.020999999999999998
274	3017	0.020999999999999998
275	6241	0.020499999999999997
276	5189	0.0195
277	6772	0.0185
278	6777	0.0185
279	6774	0.018
280	2064	0.018
281	8802	0.017
282	5260	0.016
283	10309	0.0155
284	51295	0.0155
285	5159	0.015
286	2099	0.014499999999999999
287	7158	0.013500000000000002
288	5884	0.013000000000000001
289	2705	0.013000000000000001
290	5576	0.0115
291	4967	0.010499999999999999
292	5778	0.010499999999999999
293	1050	0.01
294	891	0.01
295	9133	0.0095
296	7515	0.009
297	92591	0.008
298	10023	0.008
299	6720	0.007000000000000001
300	9054	0.006
301	4842	0.006
302	4193	0.0055
303	5557	0.005
304	3106	0.0045
305	8529	0.004
306	136647	0.004
307	8801	0.0035000000000000005
308	11076	0.0035000000000000005
309	5983	0.003
310	4067	0.003
311	55775	0.0025
312	3364	0.002
313	2237	0.0015
314	5430	0.0015
315	5425	0.0005
316	1743	0.0005
317	4255	0.0005
318	2690	0.0005
