rank	node	rank_score
1	6891	180.1
2	6892	179.1995
3	6890	178.299
4	567	177.3985
5	3135	176.498
6	3134	175.39749999999998
7	811	174.597
8	2923	173.3965
9	3105	172.996
10	10859	172.5955
11	10288	171.095
12	925	170.1945
13	821	169.294
14	912	168.3935
15	3824	167.493
16	10134	166.0925
17	22820	164.5915
18	1315	163.69099999999997
19	3732	162.5905
20	3109	161.69
21	967	160.1895
22	3108	159.88899999999998
23	972	158.9885
24	3675	158.68800000000002
25	3655	156.9875
26	928	156.087
27	975	154.686
28	5738	154.5865
29	3688	153.285
30	7106	152.7855
31	977	151.5845
32	4179	150.68400000000003
33	963	149.7835
34	931	148.483
35	3676	148.0825
36	6513	147.592
37	2515	146.882
38	8754	146.6815
39	3673	144.8805
40	5877	143.88
41	3679	143.4795
42	961	141.97899999999998
43	1293	140.27849999999998
44	7057	139.578
45	948	138.57750000000001
46	3690	137.077
47	3674	135.57649999999998
48	3685	134.775
49	2812	134.176
50	3386	133.87449999999998
51	2811	132.9755
52	3678	131.273
53	3491	130.168
54	3693	129.86849999999998
55	27329	128.56900000000002
56	5029	128.0675
57	2335	126.57350000000001
58	6696	125.867
59	4856	125.67049999999999
60	7052	125.372
61	1277	124.17249999999999
62	1278	123.674
63	7450	122.47150000000002
64	4318	121.1695
65	6678	120.27000000000001
66	80781	119.471
67	960	119.1665
68	1634	116.36500000000001
69	1280	114.8635
70	4313	114.5655
71	7058	114.36599999999999
72	4316	114.0645
73	7040	113.36399999999999
74	633	111.46300000000001
75	1101	110.0625
76	4052	109.862
77	1285	109.66100000000002
78	7045	109.1605
79	1286	108.05999999999999
80	2199	105.5595
81	1282	103.258
82	5549	99.559
83	4811	99.3585
84	3111	98.28099999999999
85	3694	97.8615
86	3339	97.8575
87	2200	97.357
88	1284	96.85249999999999
89	2006	95.85650000000001
90	4147	95.852
91	2192	94.15599999999999
92	22795	94.05499999999999
93	1305	93.65450000000001
94	1287	93.6505
95	1288	93.551
96	22918	93.3495
97	1490	92.75550000000001
98	351	92.5515
99	3026	91.85
100	4237	91.453
101	5270	90.5485
102	5653	90.349
103	1839	89.5535
104	5008	89.44800000000001
105	284217	87.547
106	1294	86.546
107	3918	86.04549999999999
108	6288	85.8465
109	3672	84.94449999999999
110	2201	84.4475
111	1462	84.054
112	3915	78.944
113	1404	77.44500000000001
114	550	75.541
115	4035	75.2405
116	176	75.04249999999999
117	3914	74.64349999999999
118	1690	73.84200000000001
119	5155	73.84
120	649	73.543
121	164656	70.94149999999999
122	1289	70.3395
123	4099	69.039
124	651	69.0375
125	5354	68.1385
126	4326	67.137
127	4312	62.435500000000005
128	1281	62.236000000000004
129	7076	62.135000000000005
130	3486	60.234
131	4314	59.9335
132	4653	59.734500000000004
133	63827	58.73299999999999
134	5340	57.7325
135	3827	55.83050000000001
136	5327	54.93150000000001
137	79139	54.6915
138	3911	54.431999999999995
139	2147	54.23
140	2243	52.82950000000001
141	2244	51.928999999999995
142	5118	51.830999999999996
143	4319	49.128499999999995
144	8076	47.8365
145	2157	47.126
146	3964	47.074
147	7448	44.9255
148	5329	43.125
149	5054	42.8245
150	5328	42.024
151	3488	41.923500000000004
152	4982	41.823
153	5345	39.4215
154	53353	38.5225
155	3912	36.927499999999995
156	2266	36.72
157	3684	36.320499999999996
158	1291	36.227
159	5104	36.1195
160	2160	35.819
161	1991	35.621
162	2252	35.5265
163	4224	35.417500000000004
164	7035	33.5185
165	2162	32.218
166	93185	30.877499999999998
167	4018	30.4175
168	4321	29.717000000000002
169	2161	28.5125
170	2	27.327999999999996
171	3959	27.1135
172	7422	26.616499999999995
173	4323	26.512
174	4322	25.9115
175	90070	25.222
176	3696	25.213
177	2159	25.1155
178	3818	24.61
179	7078	24.411
180	6695	24.110500000000002
181	5269	24.015
182	3082	21.9095
183	6382	18.309
184	1511	17.0085
185	6387	16.107999999999997
186	6354	15.8025
187	2153	14.2075
188	3817	13.314499999999999
189	462	12.014
190	5624	10.404
191	2149	9.5015
192	12	9.407
193	7056	9.4035
194	5627	8.9025
195	354	7.1065
196	3481	6.2075000000000005
197	5265	6.101999999999999
198	5858	5.906000000000001
199	1361	5.1055
200	7042	4.203
201	1990	3.7009999999999996
202	4054	2.8005
203	5657	2.604
204	2150	2.4050000000000002
205	7043	2.101
206	3485	1.207
207	5275	0.9029999999999999
208	2331	0.8004999999999999
209	3934	0.7110000000000001
210	1514	0.602
211	7018	0.5065000000000001
212	26085	0.5015
213	3822	0.0915
214	9276	0.079
215	51226	0.0785
216	26958	0.078
217	372	0.0775
218	51272	0.077
219	11316	0.0765
220	22818	0.076
221	4478	0.038
222	51454	0.0365
223	4146	0.0335
224	5154	0.0235
225	7276	0.016
226	8516	0.0085
227	4060	0.007000000000000001
228	3479	0.006
229	7412	0.005
230	9507	0.005
231	3680	0.0045
232	5196	0.0015
233	3053	0.001
