rank	node	rank_score
1	51438	180.09949999999998
2	3206	176.698
3	6688	175.4975
4	1387	175.097
5	1051	170.99650000000003
6	2033	167.4855
7	2114	165.59449999999998
8	6597	159.2765
9	10155	159.2
10	83933	158.399
11	3202	158.0985
12	8841	155.671
13	6598	153.26749999999998
14	2099	150.28199999999998
15	6599	149.467
16	6601	147.5665
17	7421	144.96800000000002
18	367	142.4815
19	8202	141.3795
20	6602	140.7635
21	6595	140.66500000000002
22	6605	140.66199999999998
23	6908	139.075
24	8289	139.0605
25	9611	138.7705
26	57492	135.96300000000002
27	6603	134.9595
28	2959	134.8655
29	86	133.95850000000002
30	6604	132.76
31	672	131.96599999999998
32	3065	129.464
33	10498	128.2365
34	1024	126.65799999999999
35	3066	126.1615
36	54760	126.0575
37	25942	124.561
38	9412	124.457
39	5928	123.25900000000001
40	2962	122.85650000000001
41	5925	122.676
42	892	122.655
43	10589	122.55550000000001
44	2965	121.556
45	3725	121.29549999999999
46	2908	121.18050000000001
47	2960	120.65450000000001
48	5430	119.154
49	4088	116.78699999999999
50	5931	114.64949999999999
51	8819	113.65
52	6667	112.872
53	51742	112.649
54	8850	112.35349999999998
55	9219	112.248
56	6872	112.15050000000001
57	3621	112.14850000000001
58	2967	110.65299999999999
59	53615	110.44650000000001
60	2353	109.894
61	2071	109.05199999999999
62	6880	108.74749999999999
63	10284	108.34700000000001
64	9612	107.67150000000001
65	5371	106.9725
66	8932	106.6405
67	23054	106.5755
68	6878	105.446
69	5970	105.273
70	9031	104.8525
71	53981	104.74549999999999
72	5977	104.53899999999999
73	1108	104.44000000000001
74	57459	104.23949999999999
75	8189	103.745
76	4297	102.5445
77	10499	102.269
78	602	102.0735
79	6883	102.04400000000001
80	5929	101.64349999999999
81	7157	101.4515
82	7155	101.351
83	23028	101.343
84	55193	99.536
85	1107	99.042
86	11091	98.4425
87	51412	97.824
88	8467	97.7415
89	6256	97.474
90	5901	97.14099999999999
91	5468	96.9745
92	9343	94.2385
93	4087	91.5645
94	196528	90.9235
95	11198	88.634
96	4089	86.0875
97	60	85.0365
98	3020	82.23299999999999
99	23186	79.027
100	1022	78.1345
101	4298	76.8175
102	3172	76.6695
103	54815	76.3265
104	4609	76.038
105	5594	75.88250000000001
106	861	75.26849999999999
107	7067	75.2355
108	1487	73.9225
109	1386	72.5885
110	2113	69.68350000000001
111	1432	68.78
112	5600	68.77799999999999
113	1050	68.0845
114	5599	68.083
115	5595	67.481
116	5469	65.235
117	5601	64.284
118	1025	62.73350000000001
119	5465	62.27
120	8295	61.6145
121	9112	61.428
122	3297	61.337
123	85509	61.2275
124	10891	60.532500000000006
125	23309	60.126
126	7044	58.787
127	57504	58.128499999999995
128	55636	58.083000000000006
129	7750	57.9255
130	9203	57.625
131	51317	56.424
132	10847	55.69349999999999
133	23199	55.5235
134	2969	55.2245
135	4204	54.92049999999999
136	3516	54.8215
137	3360	54.623000000000005
138	10362	53.822
139	2002	53.778999999999996
140	9252	53.6785
141	3727	52.39
142	6830	50.019
143	904	49.1195
144	1457	48.336
145	9862	47.031
146	2648	46.213499999999996
147	11177	45.62
148	2623	45.091499999999996
149	6996	44.116
150	2100	42.532
151	4286	38.997
152	6689	38.496
153	9440	38.4185
154	3159	38.095
155	10036	37.9485
156	8061	37.193
157	9282	36.618
158	57410	36.089999999999996
159	10661	35.8895
160	6195	35.5775
161	10735	35.5475
162	10274	35.347
163	1052	34.986000000000004
164	2115	34.977
165	5885	34.846500000000006
166	8243	34.446
167	9968	34.413
168	7528	34.321000000000005
169	9126	34.0455
170	9439	33.414
171	3164	33.3375
172	51592	32.3625
173	5914	32.31699999999999
174	10025	32.3125
175	9969	31.412
176	10001	30.7115
177	81857	29.711000000000002
178	9443	29.610500000000002
179	9442	27.709500000000002
180	51586	27.610000000000003
181	9477	26.909000000000002
182	90390	25.808500000000002
183	400569	25.808
184	23389	24.9075
185	6837	24.3065
186	29079	24.305
187	8204	23.919999999999998
188	84246	23.407
189	23097	23.206
190	54797	22.6055
191	7068	22.0165
192	112950	21.404500000000002
193	9441	21.104
194	196	20.6165
195	80306	20.3035
196	9325	19.7085
197	55090	19.703
198	6613	19.2305
199	55588	19.1025
200	9967	19.101
201	4094	18.993000000000002
202	1459	18.93
203	51003	18.502
204	118471	18.3895
205	2355	18.291
206	219541	17.9015
207	6304	17.744999999999997
208	1054	17.192500000000003
209	7764	17.043
210	25855	16.441
211	64426	16.4405
212	2932	15.836500000000001
213	5926	15.64
214	9794	15.5125
215	3622	15.439499999999999
216	9739	15.4365
217	3308	15.435500000000001
218	79595	15.238999999999999
219	6886	15.042000000000002
220	84312	15.038499999999999
221	9070	15.036000000000001
222	3054	15.035
223	8535	15.000499999999999
224	8290	14.838
225	5436	14.803999999999998
226	8473	14.7345
227	5431	14.703
228	3726	14.588
229	5439	14.503499999999999
230	4602	14.3305
231	8805	14.131499999999999
232	3312	13.834
233	5435	13.602500000000001
234	5433	13.601999999999999
235	3320	13.133499999999998
236	5432	12.800999999999998
237	5438	12.6015
238	2961	12.209
239	5434	11.8005
240	6257	11.4045
241	573	11.109
242	1869	10.4295
243	5440	9.3085
244	2966	8.608
245	2068	8.307500000000001
246	5441	8.007
247	5947	7.7345
248	10474	7.728999999999999
249	5437	7.5065
250	6879	7.325
251	6881	7.237
252	6874	7.1275
253	2968	7.006
254	2963	6.8055
255	8464	6.628
256	604	6.429
257	51616	6.3265
258	26015	6.3045
259	6877	6.1259999999999994
260	6882	6.124499999999999
261	6873	5.9255
262	9150	5.904999999999999
263	6884	5.624
264	83860	5.4235
265	55031	5.404
266	2957	5.221
267	2958	5.023000000000001
268	5451	5.015
269	6875	4.8215
270	10629	4.6225000000000005
271	902	4.6034999999999995
272	27097	4.422
273	4331	4.303
274	129685	4.2204999999999995
275	6314	4.0200000000000005
276	6871	3.7195
277	117143	3.319
278	4851	3.2120000000000006
279	9913	3.1185
280	51763	3.0115
281	8431	1.3035
282	4790	0.9065
283	399511	0.501
284	404672	0.202
285	7942	0.0965
286	9792	0.0965
287	22797	0.096
288	468	0.0935
289	466	0.0925
290	10538	0.092
291	1958	0.092
292	3131	0.0915
293	6722	0.0915
294	7008	0.0905
295	467	0.089
296	9261	0.089
297	2354	0.0865
298	122953	0.08499999999999999
299	4654	0.038
300	5241	0.0155
