rank	node	rank_score
1	51561	180.1
2	3594	179.1995
3	3595	178.299
4	3592	177.3985
5	3804	176.498
6	8302	175.5975
7	10870	174.697
8	22914	173.7965
9	79465	172.89600000000002
10	80329	171.9955
11	80328	171.095
12	353091	170.1945
13	4277	169.294
14	7305	168.3935
15	3807	167.493
16	100132285	166.5925
17	6775	165.592
18	3717	160.48600000000002
19	3559	127.9915
20	3809	127.59099999999998
21	1997	127.09049999999999
22	3459	103.48949999999999
23	3558	71.98949999999999
24	3460	71.789
25	50943	71.589
26	3458	71.3885
27	4772	71.1885
28	7124	70.988
29	5292	70.788
30	9919	70.5875
31	3560	70.1855
32	7132	69.7855
33	4055	69.687
34	4050	69.686
35	6774	69.485
36	3718	68.78450000000001
37	6777	68.384
38	6776	67.9835
39	5771	67.483
40	6772	67.2825
41	8717	67.065
42	3716	66.782
43	7186	66.56949999999999
44	7852	66.3815
45	8737	66.06800000000001
46	1234	65.981
47	3561	65.28
48	55250	65.18050000000001
49	3575	65.0795
50	7185	64.7615
51	6773	64.37899999999999
52	113457	64.18050000000001
53	2690	63.9785
54	9020	63.875
55	3305	63.477
56	5781	62.9775
57	7278	62.9765
58	7133	62.771
59	9021	62.678
60	3932	62.576
61	5777	62.477
62	10382	62.2755
63	8767	62.161
64	8517	61.2795
65	6464	61.2755
66	3551	61.081500000000005
67	71	60.5655
68	1147	60.181
69	2185	60.1765
70	7297	59.769499999999994
71	5159	59.67100000000001
72	5295	58.77
73	6850	58.674
74	6885	58.668499999999995
75	10010	58.272000000000006
76	805	58.081999999999994
77	5156	57.96900000000001
78	808	57.673
79	2057	57.6725
80	3313	57.574
81	1439	57.4745
82	29110	57.3735
83	4067	57.373000000000005
84	8660	56.968
85	1326	56.878499999999995
86	867	56.87050000000001
87	4792	56.677499999999995
88	3815	56.272000000000006
89	4791	55.983000000000004
90	3643	55.967499999999994
91	10603	55.871500000000005
92	1399	55.768499999999996
93	8651	55.666999999999994
94	5971	55.17999999999999
95	4790	54.8845
96	5747	54.6645
97	203068	54.467
98	5788	54.466499999999996
99	4793	54.378
100	3667	54.3655
101	3480	54.364999999999995
102	3806	53.989999999999995
103	4794	53.976
104	3303	53.37050000000001
105	1213	53.1725
106	5970	53.0865
107	7409	52.963499999999996
108	3312	52.269000000000005
109	1956	52.2625
110	3572	51.956500000000005
111	1398	51.863
112	8740	51.685500000000005
113	3309	51.57000000000001
114	2064	51.562
115	23118	51.467499999999994
116	329	51.386
117	92609	51.1745
118	56616	51.0835
119	2534	51.064
120	330	50.7845
121	7187	50.484
122	790	50.366
123	5921	50.3615
124	801	50.0715
125	3320	50.064499999999995
126	7189	49.859500000000004
127	5335	49.761
128	11035	49.664
129	26133	49.282
130	9532	49.263
131	2065	49.1585
132	4215	48.9665
133	5955	48.876
134	7535	48.8605
135	9846	48.56
136	4214	48.0635
137	3301	48.062
138	6714	47.959
139	613	47.6595
140	2885	47.658
141	3310	47.2835
142	3326	47.2625
143	6461	46.7575
144	5770	46.557
145	3454	46.266
146	10454	46.1605
147	347733	46.160000000000004
148	7314	45.558
149	5296	45.5495
150	55824	45.455
151	3937	45.2555
152	6654	45.0535
153	8915	44.973
154	7316	44.952
155	27040	44.8545
156	4914	44.656
157	220717	44.559000000000005
158	9641	44.5575
159	708	44.1585
160	5336	43.654
161	409	43.456
162	11184	43.445499999999996
163	6233	42.9545
164	1436	42.649
165	7311	42.555
166	8607	42.457
167	2549	42.253
168	4646	42.153
169	5795	42.052499999999995
170	25	41.8485
171	2889	41.7475
172	5134	41.3485
173	5829	41.152
174	3055	41.150999999999996
175	1445	40.951499999999996
176	1441	40.8735
177	9564	40.748000000000005
178	2734	40.579
179	11140	40.2565
180	1654	40.2555
181	1796	40.1505
182	150684	39.6475
183	6156	39.254000000000005
184	3635	39.15
185	6207	38.8535
186	4233	38.647000000000006
187	5782	38.246500000000005
188	1917	38.152499999999996
189	408	38.1515
190	2969	37.9505
191	7006	37.846
192	5800	37.445
193	10128	37.348
194	6128	37.150999999999996
195	27	37.0445
196	3566	36.875
197	10657	36.644
198	8454	36.447
199	841	36.173500000000004
200	10788	35.9465
201	29760	35.9435
202	9462	35.546
203	3702	35.543
204	10849	35.1455
205	10006	35.1425
206	4528	34.7445
207	868	34.6415
208	388585	34.5865
209	51082	34.144
210	2887	34.042
211	84172	33.9435
212	4690	33.939499999999995
213	64425	33.745
214	2066	33.5385
215	10451	33.3405
216	23291	33.143
217	10278	33.1375
218	6655	33.038
219	4628	32.749
220	5437	32.7425
221	6500	32.342
222	5441	31.9415
223	3838	31.540999999999997
224	7454	31.439
225	50807	31.234500000000004
226	25885	31.140499999999996
227	6452	31.139999999999997
228	6232	31.05
229	695	31.040999999999997
230	4163	30.74
231	100124696	30.637
232	660	30.2365
233	7415	30.139499999999998
234	3791	29.836000000000002
235	2321	29.4355
236	10856	29.139
237	7525	29.035000000000004
238	9349	28.5385
239	558	28.333
240	10818	28.3325
241	292	28.038
242	6205	27.7375
243	2260	27.732
244	6202	27.6365
245	9402	27.534000000000002
246	5787	27.2335
247	5793	26.9295
248	4637	26.734500000000004
249	4869	26.436
250	6188	26.337
251	7010	26.129
252	4739	26.0305
253	6204	25.9355
254	6191	25.534
255	6189	25.435
256	2268	25.0315
257	6217	24.232
258	5979	24.1265
259	8440	23.831
260	6135	23.8305
261	55715	23.726
262	6223	23.6325
263	6208	23.1265
264	6141	22.8315
265	6146	22.831
266	6222	22.7335
