#rank	DIAMOnD_node	p_hyper
1	EPHA2	3.038492383616842e-12
2	RASSF1	8.651526153806204e-13
3	LATS2	5.5051872895719525e-12
4	CDKN2B	1.0710232881596046e-13
5	TEAD2	1.1954582400296292e-14
6	CDK6	3.9428950106897237e-14
7	GLIS2	3.065154045417704e-15
8	FGFR4	1.0639356971309756e-16
9	MAP2K5	1.7438777559565683e-17
10	STK11	2.5508834327279176e-18
11	CCND2	6.979222733632299e-20
12	CDK4	6.2248199275315895e-21
13	NF2	4.524194749725163e-22
14	GRM1	1.7333170802430962e-23
15	ERBB2	3.6929893384439e-24
16	RAF1	4.91221792281306e-25
17	CD44	1.566055007933286e-26
18	ARNT	1.787051426285543e-26
19	AKT1	1.9428889620551505e-27
20	PDGFRA	7.524231529476806e-29
21	MAP2K3	3.914261359091925e-29
22	CDKN2C	8.555388721361865e-30
23	KDELR2	1.1164110796812704e-28
24	BECN1	1.2375995679378387e-28
25	CCNE1	2.2100879611482654e-26
26	CBLC	1.7631958850563992e-25
27	ARAF	4.1157772695917835e-25
28	MAP2K6	9.926059995648279e-24
29	MAP3K5	1.4279245369956083e-24
30	TSC1	1.2365559598029068e-20
31	MDM4	2.698286637557082e-20
32	KAT2A	4.428828135124751e-19
33	FZR1	9.64999747707176e-18
34	HIF1A	3.73848413795519e-18
35	HSP90AA1	1.3248325775275116e-17
36	MAPK14	1.3594166350236007e-18
37	CTNNB1	9.823400529539595e-18
38	HSP90AB1	1.2951713977822257e-17
39	BRAF	3.019017723464176e-18
40	IGF1R	1.847872288031322e-18
41	CDC37	4.940226652956185e-19
42	TTYH2	1.2037207695217289e-18
43	TP53	4.665510706728276e-18
44	YWHAE	9.00382790421197e-19
45	YWHAZ	1.3991471800735764e-19
46	MAP2K1	1.9789498634898997e-18
47	HSPA1A	2.964458583860783e-18
48	SRC	3.569131887718309e-19
49	RELA	1.5010682724951766e-18
50	MAPK1	2.536706302985837e-19
51	PIK3CA	1.836518969769251e-18
52	MAPK3	3.8458000360253755e-18
53	STUB1	5.759273194050834e-19
54	HSPA4	1.0168470987253343e-18
55	IRS4	6.947600147111781e-19
56	HSPA8	5.584415172859746e-19
57	PPP2R1A	1.168128423771481e-19
58	PIK3R1	2.8572582660295016e-19
59	GNB2L1	4.982603758784764e-19
60	HSPA6	3.4570614870479696e-18
61	EGFR	8.84902710065416e-18
62	SHC1	1.3890794916182308e-18
63	TUBB	2.2903277023573417e-19
64	TUBG1	3.494906537457806e-19
65	SOCS1	5.43587145544106e-20
66	PTK2	7.305491294522616e-21
67	CBL	3.6704677480649026e-20
68	PTEN	7.159654044668836e-21
69	CAD	4.821297034098916e-21
70	TUBB4B	1.8317024165298284e-21
71	DNAJA2	3.205464483094475e-20
72	HSPA9	4.877959391136942e-21
73	LCK	2.1013890863702866e-21
74	DNAJA1	1.562749162682055e-22
75	CSK	7.356907084705467e-24
76	PXN	1.2218387784574641e-23
77	RASA1	1.0240097217602544e-22
78	GRB2	3.3068635747827466e-23
79	HSPB1	7.905198788512e-24
80	HSPA5	4.934408462654736e-24
81	CRK	1.7868286867848343e-24
82	AR	3.2303187411181017e-25
83	JUP	1.0569753449694167e-24
84	ABL1	8.459695234005375e-24
85	ERBB3	7.474334011330472e-25
86	PIK3R2	3.4223600068412656e-24
87	GAB2	2.520148919720819e-24
88	PTK6	5.5607296314962805e-24
89	PRKCZ	9.501143754325404e-24
90	HDAC6	3.91086112319006e-24
91	HSPA1L	1.1435562064475404e-23
92	GAPDH	2.092932807817748e-24
93	MAPK7	5.735355372521068e-25
94	BRCA1	1.6968101912194422e-24
95	MATK	2.3364850635496357e-25
96	USP11	1.0219782705894526e-24
97	HSPH1	5.204209698946722e-25
98	GRB10	1.0472233963009473e-25
99	ERBB4	7.821713108846347e-26
100	YWHAG	1.0838990155011014e-24
101	EEF2	2.230418641491726e-24
102	FYN	1.7002878025988596e-25
103	ZAP70	1.0723563134779444e-25
104	PLCG1	1.491319863122086e-26
105	JAK2	6.151528825623448e-26
106	IRS1	1.5777474920221262e-25
107	KIT	3.8523293975421e-25
108	RIN3	8.321689906639421e-25
109	EEF1A1	6.169973172969155e-25
110	ATP5A1	1.2835472229902118e-25
111	YWHAQ	1.7011122119925926e-26
112	YWHAB	2.818809765976426e-26
113	MAPT	6.254444232866726e-27
114	PARK2	9.924772700123623e-26
115	PKM	3.7598676541664706e-25
116	NPM1	1.1187595033240608e-25
117	VCP	5.1119265494047287e-26
118	MDM2	8.62474267445386e-27
119	CDKN1A	2.3728554463853498e-27
120	TUBA1C	5.720981210807114e-27
121	HUWE1	2.215456361767068e-27
122	SLC25A3	4.345293904216492e-28
123	PHB	3.479772889785343e-27
124	ESRRB	2.0973611117518693e-28
125	FASN	6.779114147226411e-27
126	ARRB1	1.1827212914289746e-27
127	MCM2	1.6893759191321787e-27
128	CLTC	1.8053256896214616e-28
129	ATXN3	2.721886225158327e-28
130	SLC25A5	1.8084112366797343e-28
131	PRPF8	4.4314035319060185e-29
132	EFTUD2	2.2161682464056422e-29
133	STIP1	2.5258555091877926e-30
134	BAG2	5.734263677626005e-31
135	UBE2M	1.1116026744563388e-30
136	TCP1	8.935361775869504e-31
137	ANKRD55	2.7827032869040584e-31
138	RPS3	7.206354328362384e-32
139	CYLD	1.3351730307490558e-30
140	FUS	3.674061172169903e-30
141	CCT2	4.416443058788544e-31
142	CCT4	3.4627073095731355e-32
143	UBC	2.1000384281507757e-32
144	CCT8	2.9228848281375965e-33
145	AAR2	2.362758401823962e-33
146	CCT5	1.7963980957083647e-33
147	NME1	2.2122263416554257e-34
148	CCT6A	3.916299556116426e-35
149	METTL3	6.711538845079458e-35
