#rank	DIAMOnD_node	p_hyper
1	ZNF510	8.816744501627789e-14
2	C9orf156	2.443818989384665e-11
3	HEMGN	4.3041378487722687e-11
4	KAT2B	3.990226206425573e-10
5	IL24	2.1477179973418926e-09
6	RPA1	3.132144708395611e-09
7	PCNA	5.497518916913232e-09
8	FBP2	5.680360047207413e-09
9	MLH3	1.7303024869829863e-09
10	FANCC	9.098070382831923e-10
11	BAAT	1.015905311658783e-09
12	CYLC2	7.365718697200041e-09
13	CREBBP	3.813194977903e-08
14	SMAD1	1.3956743582975438e-08
15	BUB1	9.748185591498835e-09
16	TSTD2	3.835066425078666e-09
17	PPP3R2	8.283016057148951e-09
18	CCDC180	1.5790566401093754e-08
19	RB1	1.6353582359204122e-08
20	XPA	2.234991955499282e-09
21	SP1	2.985610932104597e-08
22	HDAC1	2.0167374990977383e-08
23	CEBPB	1.770263029886469e-08
24	ATR	2.3420348130909414e-08
25	RAD9A	6.160250640326128e-09
26	AR	9.076889742382667e-09
27	CHUK	9.547370344637945e-09
28	CDK1	1.5298702039181108e-08
29	PML	2.228353389416163e-08
30	FOXO3	2.44531890870308e-08
31	BRCA1	1.9217713299316838e-08
32	ETS1	9.301526111703988e-09
33	RUNX2	2.877477221126973e-09
34	JUN	1.0181353421549673e-09
35	HIF1A	5.03330609596362e-09
36	RUNX1	5.108465362152798e-09
37	NCOR2	1.3488982174298257e-09
38	FOS	5.563974208714777e-10
39	NCOA3	3.171768857770875e-09
40	NCOA1	1.5810443759167003e-09
41	VDR	1.2038212077303902e-09
42	MAPK1	1.6141859827784584e-09
43	HNF4A	9.660142675135516e-10
44	MAPK3	2.7071834824206683e-09
45	CDKN2A	1.279984084854858e-09
46	MAP2K1	1.624007180764461e-09
47	PDGFRL	1.6786567703548307e-09
48	STK11	2.1182410210345477e-09
49	TDRD7	3.1862864959362235e-10
50	SMARCA4	7.796208759769e-10
51	CCNE1	1.1049575938101075e-10
52	SOX4	1.1631655097141743e-10
53	CIITA	5.793127353294773e-10
54	NCOR1	9.16804787310596e-10
55	UBE2I	4.2406260451367705e-10
56	ATF3	2.764750452221048e-10
57	CEBPA	2.2493055165063918e-10
58	RARA	2.3872946591196203e-10
59	RXRA	1.6143084010654166e-10
60	NCOA6	2.112327665936616e-11
61	NR1I2	6.286432200360111e-12
62	NCOA2	4.515023455803834e-12
63	PPARG	1.2373993733062246e-11
64	HDAC3	1.8174273867590894e-11
65	RELA	6.858285502370037e-12
66	SRF	2.9790684279849362e-12
67	NFKB1	7.654681885981927e-12
68	PPARGC1A	1.270153986446615e-12
69	SIRT1	8.489870166844375e-12
70	E2F1	8.233623683724454e-12
71	MDM2	5.319337657839078e-12
72	PIAS1	1.4831520822586345e-12
73	STAT1	1.293754871961719e-12
74	PPARD	1.824974789105668e-12
75	NR0B2	1.1585277828558832e-12
76	NR1H3	1.2668056303158539e-13
77	NR1H2	5.049686779101304e-13
78	NR4A1	6.259696682739774e-12
79	RXRG	4.035772284565529e-13
80	THRB	2.827830140386711e-12
81	SMARCA2	7.377242308249408e-12
82	TP73	8.887675933057635e-12
83	TDG	2.8596106431636133e-12
84	HDAC2	8.545809119440355e-12
85	CDKN1A	7.387864459630867e-12
86	HDAC4	3.982640328986308e-12
87	FOXO1	4.482065120631487e-12
88	STAT3	5.866513164551326e-12
89	BCL3	1.326116830214393e-12
90	TBP	3.515774341200358e-12
91	NFE2L2	7.299061122924497e-13
92	GSK3B	8.55918359004e-12
93	CEBPD	2.4368418869728212e-12
94	SPI1	3.6696379302140495e-12
95	NRIP1	9.984112291028418e-12
96	DNMT1	3.2593373716052365e-12
97	SP3	2.3537410525859324e-12
98	NR2C1	9.343326983083271e-12
99	IKBKB	1.8528733647294603e-11
100	SRC	1.0779750551460708e-11
101	PGR	2.3154070328233365e-12
102	E2F4	2.5189170599374472e-11
103	KAT2A	1.1424072394259794e-11
104	RASSF1	9.632083202230724e-12
105	CDK6	9.126520149808772e-12
106	RBL1	1.5880864963808029e-12
107	CDK4	8.783426373814359e-13
108	MAPK14	2.6566861555225917e-12
109	HSP90AA1	3.597106063016835e-12
110	MDM4	8.49510992707184e-13
111	MYOD1	1.8655825133314107e-12
112	LATS2	2.1983371284029468e-12
113	EPHA2	1.7786631789728427e-12
114	MAP2K3	4.997904650225543e-13
115	CDKN2B	5.722261998083278e-14
116	BECN1	1.59675265207059e-13
117	TERT	6.709120017322691e-13
118	TEAD2	2.3211349191751187e-13
119	FGFR4	6.336461003322727e-14
120	HGF	9.008495913389141e-15
121	MAP2K5	2.2499324768473862e-15
122	MAP2K6	2.494623575463027e-16
123	GLIS2	5.0540190934547707e-17
124	RAF1	5.807605036541803e-17
125	NF2	2.541551821091599e-16
126	ERBB2	9.822341817941342e-16
127	PDGFRA	1.007736988863622e-15
128	CDKN2C	1.0728631544542256e-16
129	CD44	3.146788463243481e-16
130	CBLC	3.575803571612353e-15
131	MET	3.4267626194213876e-14
132	STUB1	9.379558460529954e-14
133	HSPA4	4.3922630240217155e-14
134	MAP3K5	1.7145991175082788e-14
135	DACH1	2.454303750336613e-13
136	FZR1	4.702403508512381e-13
137	CUL4A	8.205052960153029e-13
138	SKP2	1.7196846992815987e-13
139	CCNA2	3.7575604580053903e-13
140	CDKN1C	1.1064854699149343e-13
141	CCNA1	4.384592670149023e-13
142	XRCC6	2.8507114006279953e-13
143	CDK2	4.741288665956479e-13
144	RBL2	6.861452797515379e-14
145	FOXM1	2.916825815192435e-13
146	HSP90AB1	4.602649470985724e-13
147	PRKDC	2.5127395887039545e-13
148	HSF1	1.1609033893411849e-13
149	MAPK8	1.1894261228197764e-13
150	HSPB1	2.845917072720675e-13
151	BTRC	1.1046731711620324e-13
152	CASP3	4.491969784816954e-14
153	HDAC6	2.4326487029362444e-13
154	NR1H4	2.809346310788926e-14
155	XRCC5	3.450146199782382e-14
156	ATM	7.978278888655617e-14
157	ZBTB7A	1.336692704255218e-13
158	DDB1	1.5933386940751163e-13
159	ABL1	9.818100399437514e-14
160	HIPK2	1.8651231126243236e-13
161	DAXX	9.311102143386145e-14
162	CREB1	1.2097061336191156e-13
163	THRA	5.1266382226044824e-14
164	ATF2	7.956772361970635e-14
165	KAT5	3.3832537693479415e-14
166	VHL	7.399572135048752e-14
167	CSNK2A1	4.261493263317516e-14
168	CHEK1	7.74090924845423e-14
169	NR3C1	1.0164837430440602e-13
170	RANBP9	1.982252003546091e-14
171	POU2F1	4.159850563663354e-14
172	HSPA8	4.5944630095530416e-14
173	CTBP2	4.8720349071613317e-14
174	ZEB1	4.1795914371012757e-14
175	SOX2	5.910152722182892e-14
176	SUMO1	1.80378896862471e-14
177	MYB	2.1804406463678797e-14
178	TFAP2A	3.8357715830386765e-14
179	BAG2	6.729413579082551e-14
180	HSPA1A	6.251838432945844e-14
181	ARAF	6.949228009549431e-14
182	PKM	4.042407348018004e-14
183	TRIM28	4.2280735943140854e-14
184	MRE11A	3.352754831181457e-14
185	EZH2	1.4215066492084658e-14
186	ZEB2	3.717455282156555e-15
187	RBBP4	7.145864790302504e-15
188	HDAC5	6.031101104018076e-15
189	HCFC1	1.2325095388598488e-15
190	YY1	9.749956499387014e-16
191	MCM7	4.395223720239267e-15
192	DDX5	1.3403744668590857e-15
193	BRD4	2.04391611692114e-15
194	SIN3A	1.0366710155504263e-15
195	SMARCC1	3.383845535764178e-16
196	SUMO2	1.1478242315745685e-15
197	USP7	5.964134952194508e-16
198	CIC	3.4017868380587085e-16
199	NFATC2	5.086472824322747e-16
200	TP53BP1	5.172671247343712e-16
