#rank	DIAMOnD_node	p_hyper
1	NCOA3	3.269760363457659e-11
2	NCOA1	3.5443821861701475e-11
3	NCOA2	3.9852053813680955e-12
4	NCOA6	2.3288962528099668e-11
5	PPARGC1A	1.797107764265526e-12
6	HNF4A	6.366493707839667e-14
7	CREBBP	4.4643283073955e-15
8	NCOR2	6.48071550359271e-13
9	VDR	5.3956639150767264e-14
10	RXRA	4.892761293192866e-15
11	NCOR1	1.6354204003645616e-16
12	PPARG	2.5131587154365702e-17
13	NR0B2	7.923326903817118e-18
14	SP1	1.887572326644133e-16
15	RARA	2.1554922151454888e-17
16	KLF5	7.771178126506698e-18
17	NR1H2	1.7942950256402222e-17
18	NRIP1	8.135578540451596e-19
19	JUN	6.406403038976762e-18
20	SMAD3	3.65626437425414e-18
21	EP300	1.2765321416622208e-17
22	ETS1	2.199838332885229e-19
23	NFKB1	3.4453526796171585e-19
24	HDAC3	1.3276744012421423e-19
25	RELA	3.0995047730877374e-20
26	PML	1.2776134488276194e-19
27	SRF	1.9266814895979407e-21
28	FOS	1.0762164564315221e-19
29	TBP	4.524524448074765e-19
30	UBE2I	9.176977787550131e-20
31	HDAC1	1.1734263367172542e-20
32	SIRT1	8.969559934764948e-21
33	PPARA	7.69068291344654e-21
34	NR1H3	7.45451048138025e-21
35	RXRG	5.347848441474418e-21
36	PPARD	5.480108850660732e-22
37	THRB	1.1245212743375873e-21
38	STAT1	2.4537533341449422e-21
39	E2F1	1.4070122731331029e-21
40	MDM2	1.2491318769414472e-21
41	PIAS1	4.883414143110982e-23
42	SP3	2.3154822805441983e-21
43	RB1	7.594310602930513e-21
44	KAT2B	6.924951940299054e-21
45	STAT3	6.6061396538774015e-22
46	MYOD1	1.8146844154800226e-23
47	SMARCA4	9.314535958513888e-23
48	HIF1A	1.3544782924745886e-22
49	RUNX2	3.276185761027498e-24
50	CEBPA	1.6449291761062085e-22
51	KAT5	2.8867559807527916e-23
52	ATF3	5.0754233672969125e-24
53	NR3C1	1.3061565458785448e-24
54	BCL3	1.950651154808396e-23
55	HDAC4	5.387567436090541e-23
56	CREB1	3.065683474083498e-22
57	DNMT3L	2.055640192600527e-23
58	ZBTB16	1.3375705047993346e-21
59	SMARCA2	3.855328316218773e-21
60	NR4A1	3.6984917236716626e-21
61	ZBTB7A	4.340236505256911e-20
62	HDAC2	8.431193965479409e-21
63	PARP1	1.940759246935916e-21
64	FOXO1	3.4620210264496256e-21
65	CDKN1A	9.147892356182796e-22
66	CCND1	1.253072132269459e-21
67	TP73	7.427452058768343e-23
68	TDG	5.473601000219133e-21
69	PGR	4.579152974080209e-22
70	THRA	1.2774133846889933e-21
71	POU2F1	1.0259263024655908e-20
72	ATF2	1.4034659962375815e-21
73	SMAD4	7.157539142193938e-21
74	PIAS2	3.725432160195933e-21
75	SUMO1	7.629655984969978e-22
76	PLAGL1	2.8628513213352434e-23
77	DAXX	7.289396569121073e-22
78	CARM1	6.328523127397229e-21
79	NR1H4	1.2465274864432977e-21
80	BRCA1	3.0653712593792967e-21
81	CTBP1	6.584443799301131e-21
82	E2F4	5.554516813363487e-22
83	DNMT1	2.056168789766096e-21
84	NFATC1	2.868698074758706e-21
85	RUNX1	1.3639286158323116e-21
86	CTNNB1	9.162689780128735e-22
87	FHL2	4.88833693368147e-22
88	SIN3A	2.0921562529231523e-22
89	SMARCC1	2.867035622030984e-22
90	AKT1	7.9025121117932e-23
91	SMAD2	5.063041023178865e-24
92	SMARCC2	3.165629711150637e-23
93	SMARCE1	5.491586899617958e-24
94	SMARCB1	8.62719056130663e-24
95	ARID1A	4.266976665296907e-25
96	EZH2	1.2209286269494918e-24
97	SS18L1	2.686261422026524e-22
98	SMARCD2	3.125833122842475e-22
99	FLI1	3.0593303029044357e-24
100	SMARCD3	5.067908390138243e-25
101	SS18	1.1356578032305404e-26
102	SMARCD1	2.2397556686050256e-25
103	RELB	1.175692739499354e-26
104	TBL1XR1	1.507319544612198e-26
105	ACTL6A	3.8134371322366795e-27
106	DDIT3	1.4600597566510672e-26
107	DPF2	2.2646799335800567e-26
108	DPF1	1.0575368894373652e-27
109	ARID2	1.1548035956646117e-27
110	ARID1B	9.999362293185585e-28
111	PBRM1	4.3494978768468375e-29
112	DPF3	2.1923304295761318e-30
113	GLTSCR1	4.5876122248819427e-32
114	BCL7A	1.334978427613796e-33
115	BRD9	4.621710480570029e-34
116	PHF10	8.451638454956055e-36
117	BCL7C	6.088567053025199e-34
118	STK11IP	3.1400535064224325e-32
119	BCL7B	6.197833396294462e-25
120	SS18L2	1.0706281408044528e-26
121	TEX13B	2.027776033881514e-24
122	EPAS1	3.722988189473517e-24
123	ING1	1.2339177157624085e-23
124	TP53BP1	7.759312674622574e-23
125	KPNA1	6.838444860298132e-23
126	BRD7	8.77426668961076e-23
127	MYC	4.689869229516861e-22
128	MED1	6.782847333917238e-23
129	HIST1H4A	2.2133214164899346e-23
130	KAT2A	6.1942217679165945e-24
131	KPNA2	9.420575985640425e-24
132	KDM1A	2.78481740525842e-23
133	NR2C1	2.7103716762162753e-24
134	RBBP4	9.953187632034265e-24
135	SOX2	1.6084020269471316e-23
136	KMT2A	2.7843793602029974e-24
137	ASH2L	7.752591741049179e-25
138	CHD7	1.7641201975331936e-24
139	RBBP5	2.1600110860678668e-25
140	BRD4	2.404948226182495e-24
141	GTF2I	7.87064413100842e-25
142	SUZ12	1.730869466806999e-25
143	HIST1H2BB	8.36110201826563e-26
144	XRCC6	1.0585287106197755e-25
145	YY1	7.9503835654464e-27
146	HIST1H3A	1.7108674677685532e-27
147	SMARCA5	7.43540044305077e-28
148	XRCC5	6.720391343311776e-29
149	MTA2	1.0582832066935295e-28
150	CHD3	8.447416631260837e-28
151	TOP2B	4.445455015306891e-29
152	MYB	1.6200460850554307e-28
153	BRD2	5.476153492444777e-28
154	TAF6	2.917941761581423e-29
155	MTA1	3.5237561563379623e-29
156	CHD4	4.477951087665752e-28
157	NFATC2	5.0352073519153753e-29
158	MBD3	2.573098044952134e-30
159	GATAD2A	4.76528060672417e-31
160	BPTF	8.806056295213623e-32
161	H2AFY	1.4431380940803648e-31
162	H2AFX	6.508356602049174e-32
163	H2AFZ	5.28563662777596e-33
164	GATAD2B	2.2828435372001574e-34
165	HMGXB4	2.263993520010696e-32
166	SAP30	8.605872863814674e-34
167	MBD2	1.6875015202993853e-33
168	RBBP7	1.0629985255327765e-34
169	SMARCA1	6.821345644602772e-36
170	SIN3B	6.217052770976344e-37
171	MTA3	1.8821408124173387e-37
172	SAP130	6.332242641123034e-38
173	C17orf49	3.1110246688291494e-39
174	FOXK2	9.197177657283294e-39
175	SUDS3	8.281136055930709e-40
176	BRMS1L	4.3093866900274935e-40
177	MTF2	2.2402163889615935e-40
178	ARID4B	5.149975379923139e-42
179	PWWP2A	1.023686926961621e-43
180	LIN9	1.759250272489176e-45
181	MYBL2	1.898477095838625e-45
182	BCL11A	1.4478290658989624e-46
183	GATAD1	4.082195013782352e-47
184	CDK2AP1	1.3659923402082847e-48
185	PHF1	4.839404854719494e-48
