#rank	DIAMOnD_node	assortativity
1	APOE	-0.06074701471813463
2	RNF32	-0.01982917250281498
3	GCDH	0.05540853796131012
4	CDC37	0.1439232409381662
5	MAST1	0.18622294624156302
6	ECSIT	0.24105655588165284
7	FBXL12	0.26293897438944697
8	IFIT5	0.2566342586069238
9	IFIT3	0.25877834282053375
10	GPR39	0.25211452840888526
11	GSAP	0.24247460757156014
12	PRDX2	0.23108775282688296
13	ELAVL3	0.21239753807754427
14	CLU	0.1970538549231199
15	APH1B	0.18088441592387866
16	IGFBP7	0.19958395466746137
17	IFNA8	0.19963504107880511
18	GPER1	0.18150349234473087
19	ZAN	0.1878341894249401
20	RPS15AP21	0.1959770947426608
21	STARD5	0.2017491380260393
22	DBX1	0.21367542232203904
23	MORF4L1P2	0.22174606792796914
24	FCGR1B	0.23056828694624637
25	AQPEP	0.2340431803833609
