#rank	DIAMOnD_node	assortativity
1	RPA1	-0.17063546605942587
2	BRD4	-0.16570628692878342
3	PCNA	-0.1619015062959904
4	CREBBP	-0.1583160302028845
5	RPA2	-0.15508628788516443
6	SNAI1	-0.15167060002466182
7	TUBB	-0.14858585669930832
8	XRCC6	-0.1443512961822074
9	CDK2	-0.14128576827464961
10	CHD4	-0.1378030434560955
11	HUWE1	-0.1346326719461338
12	RBM39	-0.12868692283863567
13	DHX9	-0.1258289055083286
14	XRCC5	-0.12233699831487485
15	FUS	-0.11814557607588103
16	RPA3	-0.11406970352746654
17	NPM1	-0.1105749560027249
18	NCL	-0.10709711101799768
19	STAU1	-0.1036786426251108
20	CDK9	-0.10004560472269859
21	PCBP1	-0.09675249791439403
22	HNRNPK	-0.09336583456052606
23	UFL1	-0.08996992584418113
24	TMPO	-0.08676793244298721
25	PHB	-0.08205630080608982
