#rank	DIAMOnD_node	assortativity
1	METTL14	-0.01604982632650609
2	DDX39B	0.0812271062271056
3	TRIM37	0.12565555520381572
4	CFL2	0.1479802955665015
5	APOBEC3B	0.1661238330472642
6	OR9A4	0.17124378432838236
7	C2orf78	0.16290489120042895
8	ANXA5	0.15415024668756025
9	ATF2	0.15706214689265488
10	PRDX5	0.1837199728887986
11	HSPE1	0.20141875943074294
12	SOD1	0.23914121029301366
13	TRIM24	0.2511498906096574
14	TKT	0.27592686111528186
15	C11orf54	0.2881042748701565
16	TPI1	0.3074565812655963
17	PARK7	0.3264143678941887
18	DSTN	0.3346434904392418
19	LDHA	0.3428619818705297
20	SPR	0.3468807650314366
21	PTMS	0.33918611743085403
22	MIF	0.34441034433933215
23	LDHB	0.346064728195872
24	PGK1	0.34821747053978513
25	BASP1	0.3451647698828904
