#rank	DIAMOnD_node	assortativity
1	GJA3	-1.0
2	FAM71F2	-0.4999999999999998
3	CNST	0.9999999999999966
4	CHRM1	0.9999999999999976
5	DNAI1	1.0000000000000009
6	CALB1	1.0
7	ADCY5	1.0000000000000009
8	GJC1	0.6071428571428579
9	SLC18A1	0.8238993710691841
10	TFRC	0.6520467836257308
11	GJA1	0.7236842105263162
12	KRAS	0.6128318584070795
13	CAV1	0.5426765015806121
14	PDXDC1	0.4799691833590129
15	ARL13B	0.4696061643835608
16	STX6	0.43908045977011523
17	OCLN	0.448850795275254
18	STX7	0.45617868414663815
19	NRAS	0.49048913043478215
20	LAMTOR1	0.5005411391608555
21	APBB1	0.4869275185596943
22	CXADR	0.5011436398550299
23	VAMP2	0.4786887143766771
24	RAB4A	0.4958640472946485
25	STX4	0.4924087171669197
