#rank	DIAMOnD_node	assortativity
1	HSP90AA1	-0.15907294965570354
2	MCM2	-0.15481029833801624
3	EFTUD2	-0.15059159133837174
4	HSPA8	-0.14697396099279833
5	YAP1	-0.1440780021286714
6	PARK2	-0.14077790991162123
7	TUBB	-0.13781130746229686
8	PHB	-0.13457338554728085
9	HSPA4	-0.13142571427121813
10	PRPF8	-0.12769396328124413
11	RECQL4	-0.12432180275532846
12	HSPA1A	-0.1212114407288962
13	FZR1	-0.11841041957132864
14	HUWE1	-0.1148443447852899
15	PIH1D1	-0.11169390599956674
16	NCL	-0.10874714686504362
17	NPM1	-0.10395720435120437
18	AAR2	-0.09973639723259566
19	COPS5	-0.0967049382871758
20	YWHAZ	-0.09384786727959722
21	HNRNPK	-0.09086947986996377
22	FUS	-0.08638955497804865
23	FN1	-0.08388052334105926
24	HNRNPA1	-0.07947650001891222
25	RBM39	-0.07425976153118596
