#rank	DIAMOnD_node	assortativity
1	HSP90AA5P	0.0
2	HSP90AB1	0.11949685534591195
3	HSP90AB2P	0.21138996138996138
4	CSK	0.2244333886124929
5	HSPA9	0.3827160493827157
6	HSPA1A	0.4841156946420087
7	HCK	0.4329747019482404
8	NRON	0.41168605428533167
9	NPY4R	0.4077777777777781
10	SRC	0.374092888243831
11	AKT1	0.3550190506712243
12	HSPA5	0.38296203326011935
13	ANKDD1A	0.3667997273877913
14	HSPA8	0.34181236322563857
15	AR	0.3313428939683151
16	HSPA4	0.3067651342032702
17	ERBB2	0.28552208936649687
18	HSPD1	0.2752460857941914
19	STUB1	0.26682102013611103
20	ABL1	0.26367458423646795
21	HSPB1	0.2524102629810896
22	TEPP	0.23357008760470982
23	ZNF658B	0.21121805733432425
24	RPRML	0.20027230087107792
25	CTGLF10P	0.18863418035434315
