#rank	DIAMOnD_node	assortativity
1	CCL13	0.1428571428571427
2	CXCL17	0.3408662900188328
3	CXCL10	0.4664014146772776
4	XCL2	0.5507512520868112
5	PF4	0.5927605474127468
6	HMGN1P30	0.6212110037613402
7	CSF2RA	0.6367635297254068
8	CXCL11	0.6464974537872404
9	CXCL2	0.6207980515986513
10	CCL28	0.5913911870831365
11	TRAF3	0.5897824579510078
12	XCL1	0.5987367580292577
13	CXCL12	0.6056622143152315
14	CXCL14	0.6099663299663299
15	CASP8	0.6032683891961086
16	CCL26	0.5980530503503972
17	SHARPIN	0.5917870944058207
18	CCL21	0.591559852637398
19	CCR3	0.5909652531238639
20	TRAF1	0.5817802301392382
21	TRAF6	0.5686133834764601
22	CCL20	0.5528789582312151
23	CCL23	0.5382590288447117
24	TMC8	0.5320026602690966
25	PLA2G4B	0.5206105382119841
