#rank	DIAMOnD_node	assortativity
1	PABPC1	-0.08798261268537426
2	CDK9	-0.08309886117247997
3	EFTUD2	-0.07142398476838682
4	FUS	-0.06569525464852237
5	HEXIM1	-0.05690232065572064
6	EEF2	-0.05122891190291111
7	MEPCE	-0.0394501277864876
8	METTL14	-0.03249993728450771
9	RBM39	-0.0212885408426754
10	RPL4	-0.010763507889422425
11	PRPF8	0.0007153536748274662
12	UFL1	0.009837607467634998
13	RPS9	0.017760595064655188
14	SNRNP70	0.026777580174409947
15	RPL17	0.03547712828495942
16	HNRNPU	0.04692060608369199
17	YBX1	0.05571319555496245
18	RPL7A	0.06583356870582167
19	LARP7	0.07584753086402085
20	RPL3	0.0845933661475039
21	RPS2	0.09367382073294178
22	NCL	0.10078746952170463
23	RPS3	0.10824380741522395
24	AAR2	0.11612409322474675
25	RPL10A	0.12311072735127426
