rank	node	rank_score
1	FBP2	158.57049999999998
2	HEMGN	149.4625
3	CTNNB1	148.571
4	RPA1	143.8775
5	RPA2	143.3965
6	ANP32B	142.596
7	ELAVL1	140.89000000000001
8	EGFR	136.8995
9	APP	136.4355
10	ZNF510	135.55900000000003
11	HSPA5	135.378
12	PCNA	129.6805
13	HSPA8	129.472
14	PLEKHA4	126.1665
15	HNRNPL	125.2915
16	HSP90AA1	124.3875
17	BAAT	123.697
18	FANCC	119.875
19	LDHA	119.694
20	UBC	119.59549999999999
21	FZR1	119.133
22	VCP	118.9865
23	CCDC180	118.652
24	EP300	117.88250000000001
25	KIAA1429	116.992
26	CYLC2	115.85349999999998
27	NR2C2	115.07449999999999
28	BRCA1	114.737
29	CDK2	114.2895
30	NTRK1	114.09349999999999
31	HIST1H4A	113.98949999999999
32	TUBB	113.54749999999999
33	CAD	111.7165
34	ESR1	108.84049999999999
35	FUS	105.96849999999999
36	MDM2	103.8595
37	CREBBP	102.9455
38	HSP90AB1	102.66100000000002
39	HUWE1	102.16749999999999
40	COPB1	101.6925
41	TRIM25	101.4755
42	IL24	99.898
43	BIRC3	98.775
44	SMAD1	98.1985
45	PHB	97.02000000000001
46	MAP2K1	96.776
47	EFTUD2	96.648
48	LEF1	96.179
49	C9orf156	94.2905
50	EIF3F	93.19449999999999
51	WDR5	92.26700000000001
52	AR	91.88199999999999
53	PLEC	91.52799999999999
54	BRD4	87.77000000000001
55	ALDOB	87.1
56	CIT	86.7645
57	YWHAE	86.466
58	HDAC1	86.185
59	BLID	85.5965
60	XPA	84.274
61	NANS	82.135
62	HDAC2	81.815
63	ZBED5	78.099
64	TSTD2	75.9865
65	STX17	73.4975
66	KIF14	73.095
67	ATP5A1	70.78
68	ALDOA	70.5265
69	MOV10	70.49199999999999
70	DHX9	70.23400000000001
71	RBM39	70.0495
72	CSNK1A1	69.3835
73	CDK1	68.2355
74	XRCC6	68.19300000000001
75	RUVBL2	66.3375
76	KLF5	66.167
77	DDX17	65.75
78	USP3	65.562
79	PCBP1	65.3275
80	C9orf3	65.27250000000001
81	STUB1	65.1615
82	CDKN2A	64.7785
83	PAPPA	64.5415
84	RPA3	64.255
85	HSP90B1	63.730500000000006
