rank	node	rank_score
1	EGFR	174.89749999999998
2	AR	158.99200000000002
3	ABL2	151.7965
4	HSP90AA1	146.288
5	HSPA4	144.09949999999998
6	MSI2	134.498
7	HSPA8	131.594
8	ERBB2	125.297
9	SRC	118.69500000000001
10	GRB2	116.6885
11	MATK	116.593
12	HSP90AB1	116.39099999999999
13	RARS	113.49650000000001
14	ERBB3	110.38199999999999
15	TRIM25	109.362
16	JUP	108.6825
17	HNRNPK	107.9985
18	FZR1	107.53299999999999
19	HNRNPH1	106.0975
20	IGF1R	102.3905
21	PTK2	101.985
22	TP53	100.4475
23	HNRNPA1	100.089
24	HSPA9	99.878
25	NTRK1	97.987
26	GSK3B	96.9265
27	CDC42	96.696
28	SHC1	96.3775
29	RASA1	90.5685
30	CSK	90.28150000000001
31	HSPA5	88.1405
32	MET	86.986
33	HSPB1	85.964
34	SHB	84.865
35	CTNNB1	84.2865
36	YWHAE	83.5335
37	MYC	83.041
38	CBL	81.8925
39	ANXA2	81.3035
40	PIK3R1	79.481
41	MAPK8IP1	77.798
42	FES	77.7375
43	HSPA1A	77.6575
44	PTGDS	77.49249999999999
45	C1QBP	77.3995
46	YWHAZ	77.28999999999999
47	ERBB4	76.874
48	MCM2	75.9205
49	RAF1	75.884
50	JUN	75.5895
51	DARS	74.1
52	HCK	74.0855
53	IARS	73.8955
54	JAK2	73.776
55	PTPN11	73.3735
56	LCK	73.1755
57	MAPT	72.4395
58	CDC37	72.3785
59	KIT	70.3765
60	SOS1	69.2675
61	CRK	69.0875
62	SOCS1	68.373
63	SH2D1B	68.1555
64	ZAP70	67.462
65	TRIM39-RPP21	65.69449999999999
66	FUS	65.6745
67	SH2B3	65.6545
68	AAR2	65.203
69	EFTUD2	64.602
70	SHC4	64.58
71	FGR	64.5595
72	TNK2	63.3655
73	DOK1	63.0665
74	GAPDH	62.6845
75	PIK3R2	62.0745
76	LYN	61.778999999999996
77	ARRB1	61.524
78	HSPH1	60.50450000000001
79	ITK	59.5705
80	C2orf78	59.496
81	APP	59.373000000000005
82	PLCG1	59.06949999999999
83	CDK4	58.92999999999999
84	HNRNPA2B1	56.793000000000006
85	MAP2K4	56.293000000000006
86	GAB1	56.1715
87	YES1	55.763
88	FYN	55.761
89	SNCA	55.512
90	PRPF8	54.811
91	MAPK14	54.802499999999995
92	EP300	54.395500000000006
93	TUBB	53.94500000000001
94	SHE	53.697
95	MAP2K1	53.51649999999999
96	CUL4A	53.37950000000001
97	SYK	53.175
98	FLT3	52.942499999999995
99	CBLB	52.75699999999999
100	PXN	52.5585
101	MAP2K3	52.02
102	MARS	51.999
103	CRKL	51.3625
104	NCK1	50.4605
105	LCP2	49.965999999999994
106	IRS1	49.851
107	GRB10	49.738
108	PIK3R3	48.876999999999995
109	STUB1	48.6225
110	MAPK1	48.516
111	PLCG2	48.0565
112	BCR	47.432
113	PDGFRB	46.858
114	EEF2	46.8175
115	PLEKHA4	46.7875
116	PTK6	46.154
117	VAV1	45.4525
118	FGFR1	45.3535
119	CSF1R	44.8515
120	PTK2B	44.652
121	YWHAQ	44.622
122	SFPQ	44.568
123	PTPN6	44.2615
124	TEC	44.171
125	SOCS3	44.155
126	HSPA6	44.1355
127	INPPL1	44.0635
128	GAB2	43.244
129	UBC	43.07899999999999
130	STK11	42.9055
131	EPHA2	42.541
132	SH3BP2	42.2435
133	JAK1	41.4645
134	KHDRBS1	39.748000000000005
135	SH3KBP1	39.653
136	BLNK	39.5505
137	HNRNPH2	39.2805
138	C11orf54	39.1935
139	BLK	38.67
140	PTBP1	37.3655
141	SLA	37.35
142	BRAF	37.2245
143	INSR	37.0385
144	BRCA1	36.6275
145	HSH2D	34.646
146	HNRNPA3	34.173
147	WAS	33.96
148	VCP	33.419
149	KARS	33.094
150	LRPPRC	32.768
151	BTK	32.349000000000004
152	HNRNPL	32.219
153	ARAF	32.2175
154	PRKDC	32.1915
155	MAP2K5	31.817
156	LARP7	31.583499999999997
157	GHR	31.525
158	MAP3K5	30.901999999999997
159	HNRNPM	30.5815
160	ARHGAP32	30.429000000000002
161	EPOR	30.146500000000003
162	ALDOA	30.077999999999996
163	KRT17	29.9115
164	CFL1	29.6065
165	PIK3CA	29.5725
166	SH2D2A	29.4795
167	PECAM1	29.3495
168	LAT	29.256
169	EPRS	28.791499999999996
170	LDHA	28.631
171	CAD	28.514499999999998
172	HDAC6	28.023000000000003
173	CYLD	28.0045
174	SH2B1	27.4275
175	MATR3	27.3705
176	FASN	27.315999999999995
177	NONO	27.246500000000005
178	NCK2	27.047000000000004
179	MAPK3	26.814999999999998
180	GRAP2	26.738999999999997
181	RBM39	26.610500000000002
182	PKM	26.4135
183	RET	26.2445
184	STAT1	25.8915
185	SH2B2	25.5315
186	HSP90AB2P	25.5095
187	HNRNPA0	25.2755
188	APOBEC3B	25.1605
189	IRS2	25.128
190	PARK2	25.1005
191	SFN	25.009999999999998
192	TAF15	24.466500000000003
193	CDK1	24.237000000000002
194	BCAR1	24.1365
195	SP1	24.095
196	LRRK2	24.0205
197	PGK1	23.4125
198	DDX5	23.101
199	DNAJA1	23.005000000000003
200	EEF1A1	22.769
201	ESR1	22.599
202	FRS2	22.0005
203	SYNCRIP	21.8765
204	BIRC3	21.808500000000002
205	U2AF2	21.702
206	CSF3R	21.472
207	IL6ST	21.2555
208	HNRNPF	20.776
209	MIR138-1	20.769
210	TUBB4B	20.618000000000002
211	PCBP1	20.509
212	PTPN12	20.142000000000003
213	FN1	20.1375
214	RBM14	19.851
215	BRD4	19.607
216	HNRNPH3	19.5775
217	SERPINB5	19.4
218	PPM1F	19.0905
219	MAP3K11	19.0855
220	NUDT16L1	18.916
221	CDKN1A	18.807499999999997
222	MIR22HG	18.695
223	HNRNPR	18.659
224	YBX1	18.633
225	IRS4	18.523500000000002
226	ATP5A1	18.306
227	NFATC4	18.296
228	PAK2	18.026
229	HSP90AB3P	17.948500000000003
230	LRRK1	17.9415
231	CDK2	17.906
232	SHD	17.8895
233	MUC4	17.8885
234	SF3B3	17.642500000000002
235	FAF1	17.6155
236	NEDD4	16.943
237	PTEN	16.6345
238	PIK3CB	16.527
239	AIMP2	16.5195
240	PIH1D1	16.1225
241	HEXIM1	15.9385
242	HUWE1	15.813999999999998
243	LARS	15.782
244	SOCS2	15.628499999999999
245	CDKN2B	15.570500000000001
246	LTK	15.566999999999998
247	KIAA1429	15.521
248	KRAS	15.519499999999999
249	CBLC	15.303
250	VAV2	15.238999999999999
251	DDX3X	15.0475
252	QARS	14.959999999999999
253	SF3B1	14.862
254	AIMP1	14.7185
255	MIR9-3	14.5825
256	CAV1	14.3085
257	RIN3	14.200999999999999
258	PPP6C	14.015
259	MIR451A	13.974
260	IQGAP1	13.903
261	MIR122	13.764500000000002
262	INPP5D	13.531
263	MIR18A	13.3595
264	NF2	13.3135
265	NPM1	13.010499999999999
266	NTRK2	12.9215
267	MIR7-3	12.877
268	ALK	12.8185
269	MIR15A	12.778
270	IL2RB	12.735
271	TNS3	12.519
272	TERT	12.4655
273	MIR200A	12.375
274	HNRNPC	12.3025
275	MIR106A	12.272499999999999
276	DOK2	12.213
277	HSPD1	12.0015
278	MIR140	11.767
279	BECN1	11.704
280	YAP1	11.606
281	MIR429	11.584999999999999
282	TARDBP	11.577
283	MIR34C	11.4735
284	STAT5A	11.433
285	IGF2BP3	11.2715
286	DDX1	11.15
287	MIR206	11.0695
288	HIF1A	11.067
289	MIR7-2	10.9675
290	MIR107	10.844
291	FER	10.7455
292	ENO1	10.708
293	MIR199A1	10.665000000000001
294	PA2G4	10.6585
295	YWHAB	10.5105
296	AHSA1	10.501999999999999
297	COPS5	10.480500000000001
298	MIR20A	10.379999999999999
299	EIF2AK2	10.261
300	UBASH3B	10.24
301	ZC3H18	10.105500000000001
302	MIR20B	10.0545
303	MST1R	9.9835
304	MIR93	9.872
305	MIR138-2	9.754000000000001
306	ASAP1	9.636
307	LDHB	9.615
308	TCP1	9.608
309	MIR128-1	9.5495
310	RPS6KA3	9.5295
311	LATS2	9.505500000000001
312	METTL14	9.489
313	MIR199A2	9.458499999999999
314	PRDX2	9.362
315	MIR29C	9.353
316	CUL3	9.3055
317	ATXN3	9.276
318	MIR31	9.258
319	RB1	9.189499999999999
320	MIR29B2	9.1625
321	TRA2B	9.064
322	ILF3	9.004000000000001
323	SNRNP70	8.91
324	HNRNPD	8.8625
325	CAND1	8.8065
326	PINK1	8.7635
327	MIR205	8.7485
328	MIR214	8.638
329	UBE2M	8.516
330	MIR9-1	8.463
331	MIR18B	8.3575
332	MIR221	8.2515
333	MDM4	8.184999999999999
334	RTCB	8.1535
335	MCM5	8.068999999999999
336	MIRLET7A2	8.052
337	DDX39B	7.983
338	MIR92A1	7.970999999999999
339	VCAM1	7.81
340	RECQL4	7.7715000000000005
341	DHX36	7.737
342	PRKCE	7.514
343	MIR1-2	7.470000000000001
344	MIR222	7.356
345	PRKCZ	7.3325000000000005
346	MIR17	7.247
347	VAV3	7.234
348	PPIA	7.2065
349	YBX3	7.148999999999999
350	GNB2L1	7.0125
351	MIR143	6.965999999999999
352	MIR19B2	6.836499999999999
353	MIRLET7C	6.7455
354	PDPK1	6.706999999999999
355	MIRLET7F1	6.63
356	PHGDH	6.609
357	FAM98A	6.540000000000001
358	SF3B2	6.4315
359	MIRLET7F2	6.3340000000000005
360	MIR16-1	6.1875
361	GAB3	6.159000000000001
362	SLC25A5	6.1105
363	MIR10B	6.0615000000000006
364	RBM45	6.007
365	PUF60	5.9635
366	AURKA	5.9155
367	MIR92A2	5.840999999999999
368	MIR21	5.646
369	EEF1G	5.6034999999999995
370	MIR128-2	5.5355
371	IGF2BP1	5.4555
372	NME1	5.4195
373	NR2C2	5.4094999999999995
374	MIRLET7A3	5.329
375	MIR16-2	5.2524999999999995
376	MIR363	5.148
377	WDR5	5.1475
378	MIR25	5.045
379	CCT6A	5.000500000000001
380	MIR9-2	4.9565
381	IGF2BP2	4.857
382	MIR29A	4.743
383	UPF1	4.632
384	DDX21	4.539
385	CDC73	4.529
386	HDAC5	4.4605
387	MIR19A	4.4350000000000005
388	MIR34A	4.3385
389	PDCD11	4.242
390	DDX17	4.1545000000000005
391	MIR7-1	4.136
392	UTP20	4.0435
393	MIR141	3.9415
394	CLTC	3.9090000000000003
395	MIR19B1	3.8335
396	MIRLET7E	3.7344999999999997
397	MIR34B	3.6305
398	MIR15B	3.5445
399	ITGA4	3.5025
400	FANCD2	3.4854999999999996
401	MIRLET7I	3.4325
402	PAG1	3.4299999999999997
403	MIRLET7A1	3.3284999999999996
404	NCL	3.3284999999999996
405	MIR200C	3.2405
406	RBM4	3.1375
407	MIR29B1	3.092
408	SH2D1A	2.9575
409	SF3B4	2.924
410	CUL1	2.9059999999999997
411	C9orf114	2.825
412	TMPO	2.8145
413	G3BP2	2.7225
414	EEF1B2	2.712
415	MIR1-1	2.6505
416	MIR155	2.5395
417	WWP2	2.5035
418	DHX9	2.4755
419	MIR106B	2.4295
420	YWHAG	2.4255
421	NOL6	2.3280000000000003
422	TUBG1	2.3105
423	PTBP3	2.255
424	RBFOX2	2.1275
425	CCT8	2.0315000000000003
426	PRMT1	2.0260000000000002
427	MIRLET7G	1.9265
428	RPS4X	1.8219999999999998
429	DHX37	1.8199999999999998
430	LIN28A	1.7309999999999999
431	ELK1	1.7135000000000002
432	EEF1D	1.703
433	U2SURP	1.627
434	TRIM28	1.5314999999999999
435	TRA2A	1.5245
436	FLNA	1.5195
437	PABPC1	1.457
438	NUDT21	1.4220000000000002
439	SUGP2	1.3235
440	ZNF346	1.2215
441	TUBA1C	1.215
442	DSP	1.1795
443	RTCA	1.123
444	ARRB2	1.06
445	CELF1	1.0210000000000001
446	RPS3	1.0185
447	STAU1	0.9295
448	SF3A1	0.914
449	ZFR	0.8205
450	SLC25A3	0.8009999999999999
451	PURA	0.718
452	UFL1	0.634
453	PUM1	0.617
454	CCT5	0.6115
455	MAPK7	0.601
456	MYH9	0.533
457	KIF14	0.5305
458	KNOP1	0.5255
459	CDC5L	0.44000000000000006
460	PLOD1	0.41500000000000004
461	YBX2	0.3175
462	RPS15A	0.316
463	HNRNPU	0.2565
464	STRBP	0.21549999999999997
465	RPL12	0.1355
466	LIN28B	0.1165
467	FAM110C	0.1
468	ANXA1	0.098
469	BLMH	0.0975
470	IGHV1-2	0.097
471	PAK6	0.096
472	PLCXD2	0.0955
473	SLC16A3	0.095
474	ESR2	0.0945
475	KRT10	0.0935
476	NLRP12	0.091
477	PPT2-EGFL8	0.091
478	LOC554207	0.091
479	POU2F1	0.0905
480	DSG1	0.0905
481	PAQR7	0.09
482	PKN2	0.09
483	SLC35D1	0.0895
484	CHAT	0.089
485	ATF3	0.089
486	KLF7	0.088
487	CASP14	0.0875
488	MAP3K12	0.087
489	SH3RF3	0.087
490	CASP3	0.0865
491	SRR	0.086
492	MAPK8IP3	0.086
493	CEND1	0.08549999999999999
494	CALML5	0.08449999999999999
495	CTSD	0.08399999999999999
496	E2F1	0.08349999999999999
497	PPP2R4	0.08349999999999999
498	SPRR2A	0.08299999999999999
499	MAPK10	0.08299999999999999
500	MKKS	0.08249999999999999
501	SERPINB12	0.08199999999999999
502	HNRNPAB	0.08149999999999999
503	CYP17A1	0.08149999999999999
504	EEF1E1	0.08
505	UBE2J2	0.08
506	PSMD10	0.0795
507	C1orf68	0.0785
508	PKP1	0.0775
509	PSMD2	0.0755
510	SOCS5	0.0745
511	FLG2	0.0745
512	PDE4D	0.073
513	TGM3	0.0715
514	CUL2	0.06999999999999999
515	DSC1	0.0685
516	METTL3	0.068
517	FABP5	0.0665
518	DCD	0.066
519	CSTA	0.0655
520	HRNR	0.065
521	CDK6	0.065
522	CHD3	0.063
523	CD28	0.061
524	RPA1	0.0595
525	MAP2K6	0.059
526	HNRNPDL	0.058499999999999996
527	SMG1P2	0.057999999999999996
528	SQSTM1	0.057499999999999996
529	GLIS2	0.05600000000000001
530	RASSF1	0.05550000000000001
531	CHD4	0.052000000000000005
532	CCND2	0.052000000000000005
533	EIF3F	0.0505
534	AXL	0.05
535	LGALS7	0.0495
536	ARNT	0.0495
537	HGF	0.049
538	AHNAK	0.048
539	DHX15	0.047
540	FGFR4	0.047
541	TEAD2	0.0465
542	CSF2RB	0.046
543	CD44	0.045
544	GRM1	0.0445
545	SRSF1	0.0435
546	CCNE1	0.0435
547	PDGFRA	0.042499999999999996
548	ILF2	0.041999999999999996
549	PRC1	0.041499999999999995
550	PARK7	0.041499999999999995
551	CDKN2C	0.041499999999999995
552	RBMX	0.0395
553	RPA2	0.039
554	GNL3	0.0385
555	KDELR2	0.0385
556	FRK	0.038
557	SNRPA	0.038
558	HNRNPUL1	0.0375
559	GAREM	0.037
560	RPS7	0.0365
561	TPI1	0.0365
562	HIST1H4A	0.036
563	PSMA3	0.034999999999999996
564	CTGLF10P	0.034499999999999996
565	RPL18	0.034499999999999996
566	RPS23	0.0325
567	OLIG1	0.032
568	EIF4A3	0.032
569	TOP1	0.031
570	ABCB5	0.031
571	RIOK1	0.0305
572	CCT2	0.0305
573	SNRNP200	0.028999999999999998
574	DUSP18	0.028000000000000004
575	SART1	0.028000000000000004
576	SHC3	0.027500000000000004
577	BTF3	0.027500000000000004
578	EIF4A1	0.027500000000000004
