rank	node	rank_score
1	RPS6KA4	180.0
2	SREBF2	178.7995
3	HNF4A	177.699
4	SREBF1	176.5985
5	CREBBP	176.198
6	PPARGC1A	173.5975
7	NCOA6	173.197
8	VDR	172.4955
9	NCOA1	171.8965
10	RXRA	170.395
11	NCOA2	169.696
12	NCOA3	168.6945
13	SP1	167.48
14	RARA	167.2935
15	NCOR2	166.193
16	PPARG	165.5925
17	FOS	165.494
18	NR4A2	164.292
19	NCOR1	160.1865
20	KLF5	158.98250000000002
21	JUN	158.582
22	SMAD3	157.67649999999998
23	PML	156.67950000000002
24	EP300	156.484
25	CEBPB	154.2775
26	NFKB1	153.878
27	NR1H2	153.69099999999997
28	SRF	153.079
29	RELA	152.77849999999998
30	HDAC3	152.2815
31	UBE2I	149.38299999999998
32	NR0B2	148.8905
33	ETS1	147.7745
34	NRIP1	146.589
35	AR	146.575
36	RXRG	145.89000000000001
37	PPARA	144.0875
38	NR1H3	143.487
39	SIRT1	142.6845
40	PPARD	141.88600000000002
41	PIAS1	141.37550000000002
42	NR3C1	138.977
43	MED1	138.8915
44	HDAC1	138.774
45	STAT1	135.57350000000002
46	HDAC4	135.176
47	MDM2	134.873
48	RB1	133.77
49	SMARCA4	133.07150000000001
50	TBP	132.17249999999999
51	ATF3	131.872
52	HIF1A	130.869
53	STAT3	130.4705
54	THRB	129.488
55	KAT2B	129.4675
56	MYOD1	128.5695
57	RUNX2	128.567
58	CREB1	127.471
59	KAT5	125.6685
60	E2F1	125.6665
61	TP53	124.968
62	RUNX1	123.0635
63	BCL3	120.665
64	DNMT3L	120.26599999999999
65	NR1H4	119.0855
66	SMARCA2	117.56300000000002
67	ZBTB7A	116.96549999999999
68	ZBTB16	111.7585
69	ATF2	111.2645
70	RXRB	110.9885
71	NFATC1	110.3615
72	ESR1	110.061
73	PARP1	109.85900000000001
74	SIN3A	109.55699999999999
75	NR4A1	108.7625
76	HDAC2	107.75999999999999
77	CARM1	102.856
78	PGR	99.05799999999999
79	SMARCC1	98.75550000000001
80	SMARCE1	98.15650000000001
81	CTBP1	94.628
82	SMARCC2	94.054
83	BCL6	92.235
84	SMARCB1	91.8535
85	ARID1A	91.55499999999999
86	EPAS1	89.04249999999999
87	THRA	88.68350000000001
88	CIITA	87.964
89	SMARCD3	87.8545
90	SS18L1	87.65299999999999
91	SPI1	87.4325
92	FLI1	85.0505
93	SMARCD2	84.2515
94	BRCA1	83.838
95	SMARCD1	83.751
96	DDIT3	83.7495
97	SS18	83.25
98	TBL1XR1	82.5525
99	SMAD2	81.952
100	ACTL6A	81.649
101	DPF1	79.9485
102	GPS2	79.18050000000001
103	ARID2	78.44800000000001
104	ARID1B	78.4475
105	DPF2	78.247
106	E2F4	77.6255
107	DPF3	76.2465
108	TDG	76.1605
109	GLTSCR1	76.146
110	FHL2	74.836
111	BRD9	74.1455
112	PBRM1	73.94500000000001
113	PHF10	73.54400000000001
114	RARB	73.1895
115	BCL7A	72.5445
116	BCL7C	71.14349999999999
117	STK11IP	70.24300000000001
118	EZH2	70.14
119	TP53BP1	70.0385
120	MED23	68.726
121	SS18L2	68.5415
122	BCL7B	68.441
123	RELB	67.84049999999999
124	GATA1	66.837
125	PIAS2	66.53099999999999
126	JUND	65.2345
127	HIST1H4A	64.034
128	DNMT1	63.93050000000001
129	YY1	63.5355
130	CTNNB1	63.1275
131	SP3	62.359500000000004
132	ING1	62.039
133	TEX13B	61.14200000000001
134	SMAD4	60.6315
135	SETD7	59.462
136	CCND1	58.862
137	FOXO1	58.661500000000004
138	KDM1A	55.929500000000004
139	KPNA1	55.8395
140	TP73	54.3575
141	JUNB	54.3335
142	KAT2A	52.227
143	GTF2I	51.93299999999999
144	TRIP4	50.883
145	NR2C1	50.028499999999994
146	NFATC2	48.416
147	MYC	47.8365
148	POU1F1	47.381
149	CDKN1A	44.1595
150	BRD4	43.2265
151	EGR1	40.6265
152	TAF6	39.6245
153	CDK8	37.9375
154	TBL1X	35.726
155	POU2F1	35.653499999999994
156	SOX2	32.82
157	SUZ12	30.232
158	USP7	28.228999999999996
159	RBBP4	27.023500000000002
160	CEBPD	26.765499999999996
161	KMT2A	26.024
162	KPNA2	24.8325
163	XRCC6	24.717000000000002
164	CHD7	23.921
165	AKT1	23.333
166	TRRAP	22.725
167	ADAM15	20.099
168	NFYA	20.053
169	SUMO1	20.0285
170	STAB2	19.9995
171	HIST1H3A	19.7225
172	SMARCA5	19.618000000000002
173	ATF7IP	19.497
174	KLF13	19.3975
175	MTA2	18.9215
176	CIC	17.813499999999998
177	MTA1	17.6205
178	RARG	17.085
179	BRD7	16.830000000000002
180	BRD2	16.725
181	MBD3	15.615
182	CHD3	14.717500000000001
183	MED17	14.3285
184	GATAD2A	14.2155
185	BPTF	13.914499999999999
186	HIST1H2BB	13.7185
187	MED24	12.5245
188	GATAD2B	12.5115
189	SMAD1	12.2215
190	MED6	12.124
191	RBBP7	12.114
192	MED16	11.9235
193	SAP30	11.9125
194	ASH2L	11.7195
195	MED15	11.622
196	SIN3B	11.312000000000001
197	MED25	11.2225
198	MED14	11.023
199	MED7	10.421000000000001
200	MED12	10.2205
201	MTA3	10.211
202	HMGXB4	10.2105
203	PLAGL1	10.1485
204	DAXX	10.048
205	NFE2L2	9.928999999999998
206	MED21	9.7195
207	CHD4	9.701
208	MED13	9.620000000000001
209	MED26	9.117
210	MED9	8.9185
211	MBD2	8.809000000000001
212	MED22	8.7175
213	SAP130	8.61
214	HDAC5	8.422
215	MED10	8.318000000000001
216	XRCC5	8.116499999999998
217	MED18	7.715999999999999
218	SMARCA1	7.608
219	MED27	7.516499999999999
220	MED13L	7.415000000000001
221	SUDS3	7.407500000000001
222	CDK19	6.8155
223	C17orf49	6.8095
224	LIN9	6.8065
225	MED11	6.6145
226	AHR	6.5485
227	MED12L	6.314
228	MED8	6.213500000000001
229	MED19	6.1129999999999995
230	MED30	5.7125
231	MTF2	5.7055
232	ASF1A	5.622999999999999
233	POLR2A	5.51
234	BRMS1L	5.506
235	ARID4B	5.4085
236	TADA3	5.3185
237	MED29	5.0115
238	MED20	4.912000000000001
239	MED31	4.8105
240	PWWP2A	4.805
241	TFAP2A	4.3235
242	RBBP5	4.218999999999999
243	MED28	4.211
244	MYBL2	4.007
245	BCL11A	3.9045
246	PRKDC	3.7165
247	CCNC	3.7095
248	POLR2H	3.5090000000000003
249	POLR2I	3.3085
250	H2AFX	3.2119999999999997
251	GATAD1	3.104
252	H2AFY	3.0115
253	FOXK2	2.9130000000000003
254	POLR2E	2.808
255	CDK2AP1	2.8035
256	TOP2B	2.7245
257	POLR2G	2.7075
258	MED4	2.207
259	ACAD11	2.1064999999999996
260	LIN37	2.1025
261	PHF1	1.8030000000000002
262	POLR2B	1.7060000000000002
263	RPAP2	1.7055
264	SHPRH	1.6015000000000001
265	BCL11B	1.5005
266	POLR2C	1.405
267	TADA2A	1.1045
268	POLR2D	1.1039999999999999
269	ZNF512B	0.9019999999999999
270	FBXL19	0.8025
271	CHD5	0.602
272	POLR2K	0.501
273	POLR2F	0.302
274	ZC3H13	0.20350000000000001
275	POLR2J	0.2015
276	SCAF4	0.10049999999999999
277	PTGDR	0.0985
278	PNRC1	0.097
279	GSK3B	0.028000000000000004
280	MAPK8	0.026000000000000002
281	ARNT	0.025500000000000002
282	HIRA	0.0235
283	TAF9	0.0225
284	EP400	0.0195
285	NR1I3	0.019
286	CSNK2A1	0.019
287	H2AFZ	0.0155
288	HIST3H3	0.013000000000000001
289	FBXW7	0.003
290	PHF12	0.0025
291	ZNF219	0.002
292	EED	0.0015
293	HAT1	0.001
294	CHAF1B	0.0005
