rank	node	rank_score
1	KIAA1429	170.498
2	COPS5	139.29749999999999
3	GJA3	138.699
4	CNST	118.896
5	PGM2	113.89500000000001
6	NTRK1	103.48600000000002
7	PHB	80.413
8	AIFM1	78.1965
9	C5orf17	77.297
10	LPIN2	77.2935
11	JAKMIP3	73.2905
12	PSG2	69.6
13	EFTUD2	67.24449999999999
14	FIGN	58.694
15	CUL3	57.8995
16	ACAT1	57.5945
17	UCHL1	57.3965
18	GPD2	54.992
19	SFXN1	54.991
20	CUL1	53.895500000000006
21	MDH2	46.1845
22	FUS	44.123000000000005
23	BRD4	42.106
24	PAPPA2	39.4995
25	CHRM1	39.298500000000004
26	CAND1	38.9945
27	HSPB1	38.6155
28	GVINP1	37.599000000000004
29	SGMS1-AS1	37.38
30	APP	36.7975
31	CUL4B	36.690999999999995
32	SDHA	36.411500000000004
33	COPS6	36.185500000000005
34	ACO2	36.0815
35	RPL36AP37	35.7885
36	RBM39	35.518
37	CUL5	34.596000000000004
38	RPS26P54	34.498000000000005
39	CUL2	33.891999999999996
40	NEDD8	33.782
41	DCUN1D1	33.589
42	IGHV3OR15-7	32.685
43	RPL7AP27	32.5875
44	UBE2M	32.17
45	CUL4A	31.68
46	RPL7AP9	31.2865
47	RPL10P16	31.097
48	PRPF8	30.925
49	COX4I1	30.277499999999996
50	HSPD1	30.121000000000002
51	PRDX1	29.785500000000003
52	YWHAE	29.508500000000005
53	EWSR1	28.1895
54	PCBP1	27.627
55	HSP90B1	26.533499999999997
56	RPSAP12	26.289499999999997
57	HNRNPA1	25.305500000000002
58	U2AF2	25.053
59	RPL21P16	24.892500000000002
60	RPSAP55	23.874000000000002
61	NR2C2	23.6205
62	QPCT	23.4805
63	C21orf33	23.2395
64	SNRPD1	22.9835
65	RPSAP15	22.6935
66	NDUFS2	21.782999999999998
67	SNRNP70	21.469
68	PDHA1	21.3815
69	BIRC3	21.166
70	VCP	21.1035
71	RPL21P19	20.490000000000002
72	NDUFS3	20.381999999999998
73	HNRNPK	19.871
74	MCM2	19.7685
75	PRPF39	19.697499999999998
76	HINT2	19.445999999999998
77	CDK4	19.398500000000002
78	SCGB1B2P	19.395500000000002
79	RPL29P30	19.394
80	PMPCA	19.3325
81	METTL14	19.107499999999998
82	ANKRD39	19.096
83	HIST1H2AK	19.058
84	DIS3L2	18.8935
85	COPS7B	18.893
86	EFTUD1	18.8875
87	SLK	18.79
88	CUL7	18.701
89	TXN	18.691499999999998
90	HSPA5	18.634999999999998
91	PSME4	18.593
92	YWHAG	18.589
93	COPS8	18.5875
94	COX17	18.4925
