rank	node	rank_score
1	RASSF1	180.0
2	TERT	179.299
3	CDKN2B	178.1995
4	GLIS2	177.19850000000002
5	STK11	175.398
6	HGF	175.2965
7	CCND2	175.0975
8	MAP2K5	174.496
9	FGFR4	173.397
10	CDK6	171.7955
11	LATS2	169.9945
12	GRM1	169.3935
13	CDK4	168.494
14	EPHA2	167.5925
15	RAF1	167.592
16	TEAD2	166.595
17	BECN1	165.793
18	MAP2K3	165.5915
19	CD44	164.0905
20	ARNT	163.391
21	NF2	161.79000000000002
22	MAP2K6	160.4875
23	PDGFRA	160.3895
24	CDKN2C	160.289
25	AKT1	159.6885
26	KDELR2	158.288
27	CBLC	156.987
28	CCNE1	155.7865
29	MAP3K5	154.586
30	MDM4	153.8855
31	ARAF	152.885
32	MYC	152.7845
33	KAT2A	151.08350000000002
34	FZR1	149.88299999999998
35	TSC1	149.78400000000002
36	HIF1A	148.7825
37	AURKA	147.882
38	TP53	146.7815
39	MAPK14	145.6805
40	HSP90AA1	144.781
41	TTYH2	143.88
42	RELA	143.2795
43	GLIS1	141.678
44	NFIC	141.3775
45	SOX3	140.177
46	ABCB5	139.779
47	IGF1R	138.67849999999999
48	CDC37	138.576
49	HSP90AB1	137.27550000000002
50	HSPA1A	135.875
51	SOX4	134.67649999999998
52	HSPA4	134.174
53	STUB1	132.9735
54	SRC	131.973
55	IKBKB	130.3725
56	CTNNB1	130.272
57	TUBB	128.37150000000003
58	YWHAZ	128.371
59	MAP2K1	126.37049999999999
60	MAPK3	126.069
61	HSPA8	124.1685
62	CDKN1A	124.16749999999999
63	YWHAE	123.87
64	ABL1	122.26700000000001
65	CUL4A	120.54400000000001
66	AR	113.26599999999999
67	MDM2	111.168
68	CDK1	108.665
69	MAPK8	103.56300000000002
70	HSPB1	102.7695
71	SP1	102.4645
72	MAPK1	101.462
73	BRCA1	98.3635
74	HSPA9	94.325
75	RB1	92.4665
76	CDKN1B	92.15799999999999
77	GSK3B	90.8545
78	PKM	90.2655
79	TP73	90.064
80	SKP2	88.05550000000001
81	HDAC6	86.0575
82	CCND1	85.55850000000001
83	JUN	84.6625
84	KAT2B	82.159
85	E2F1	81.356
86	EP300	80.2595
87	CREBBP	79.761
88	FOXO3	78.6605
89	SIRT1	78.15650000000001
90	SMAD3	77.36
91	PML	77.2615
92	HDAC1	77.25699999999999
93	VHL	77.155
94	CHUK	74.6535
95	NCOA3	74.553
96	HSPA5	73.92699999999999
97	BTRC	73.054
98	PPARG	71.251
99	RUNX2	71.047
100	VDR	70.352
101	NFKB1	69.9515
102	HDAC3	69.1495
103	NCOR2	68.4505
104	CEBPB	68.25
105	TP63	66.549
106	CDK2	64.73949999999999
107	ATF3	64.0485
108	HDAC4	63.548
109	SMARCA4	62.244499999999995
110	VCP	62.234500000000004
111	STAT1	60.845000000000006
112	UBE2I	59.947500000000005
113	SMAD2	58.14200000000001
114	NCOR1	57.939
115	HDAC2	57.140499999999996
116	RUNX1	56.737
117	RARA	55.636
118	YWHAQ	54.0105
119	NCOA1	53.935
120	E2F4	53.54600000000001
121	RXRA	52.7355
122	MAPT	52.652499999999996
123	EZH2	52.2365
124	YAP1	52.12950000000001
125	PIN1	51.4415
126	DDB1	51.141
127	TRIM28	50.638
128	KLF5	50.332499999999996
129	HSF1	50.2455
130	DNMT1	50.0375
131	ARRB1	49.9505
132	ESR1	49.632
133	CAD	49.0115
134	FOS	48.343
135	BRD4	44.634
136	FUS	43.7275
137	BCL3	43.2435
138	PARP1	42.131
139	ETS1	41.620999999999995
140	NFKBIA	41.44
141	GAPDH	40.609
142	DDX5	40.326499999999996
143	PRKDC	40.128499999999995
144	XRCC6	39.827999999999996
145	CEBPA	39.6315
146	NCOA6	39.1305
147	PCNA	37.528999999999996
148	HNRNPK	37.417500000000004
149	RBL1	36.9425
150	KAT5	35.6465
151	NFE2L2	34.338499999999996
152	PRKCZ	33.266
153	USP11	32.315
154	XRCC5	31.3225
155	EEF1A1	30.911
