rank	node	rank_score
1	ERBB2	175.1905
2	EPHA2	172.9955
3	CTNNB1	161.799
4	GAB1	158.393
5	EGFR	153.096
6	PHLDB1	152.9975
7	LYN	148.289
8	PIK3R1	144.494
9	SHC4	135.4945
10	FRS2	132.987
11	PIK3CA	124.19650000000001
12	LCK	122.7695
13	HEPH	115.397
14	SHB	111.548
15	SH2B1	110.97350000000002
16	YES1	109.5645
17	IGF1R	109.28800000000001
18	MLLT4	100.4935
19	PLCG2	98.889
20	CBL	97.987
21	SHC1	97.8875
22	GRB2	97.384
23	IRS1	96.2855
24	SRC	96.19149999999999
25	JUP	95.0775
26	PIK3R2	94.586
27	ERBB4	92.685
28	GAB2	92.5965
29	LATS2	92.393
30	SOCS1	91.777
31	SHC3	91.2935
32	PLCG1	91.1865
33	CAV1	90.7915
34	KIAA1429	89.8
35	ERBB3	88.981
36	RASA1	87.1755
37	JAK2	87.069
38	TANC1	86.39099999999999
39	PARD3	86.388
40	KIT	86.3795
41	PTK2	85.963
42	SYK	84.88050000000001
43	HSP90AB2P	84.799
44	CRK	84.6785
45	ABL1	84.4825
46	ZAP70	83.47999999999999
47	TEC	81.47200000000001
48	CYFIP1	79.7995
49	CSF1R	79.576
50	SOS1	79.36699999999999
51	HSP90AA1	78.146
52	CBLB	77.9765
53	ABL2	77.782
54	YWHAE	76.897
55	LCP2	76.579
56	SOCS3	76.2745
57	PTK2B	76.1725
58	HCK	75.9625
59	FYN	75.6685
60	IRS2	74.98949999999999
61	ITK	74.06
62	AR	73.3845
63	DOK1	73.366
64	CRKL	73.364
65	CTNND1	73.2805
66	PTPN6	72.37
67	SOCS2	72.1515
68	IRS4	72.0335
69	YWHAZ	71.89
70	EPOR	71.3605
71	INSR	70.968
72	SH3BP2	70.7665
73	SH2B3	70.5885
74	VAV1	70.57300000000001
75	BTK	70.459
76	BLNK	69.5635
77	FGFR1	68.65
78	PDGFRB	68.471
79	PIK3CG	67.39200000000001
80	TNK2	66.745
81	NCK1	66.5655
82	VAV3	65.561
83	JAK1	65.075
84	AKT1	64.742
85	HSP90AB1	64.649
86	STAT3	64.05850000000001
87	FGR	63.352
88	PIK3R3	62.762
89	LAT	62.552499999999995
90	NF2	62.5305
91	SH2B2	62.45399999999999
92	ARHGAP32	62.08299999999999
93	CDH1	61.85850000000001
94	SH2D2A	61.653
95	PXN	61.5495
96	CSK	61.541
97	FLT3	61.347500000000004
98	RET	59.95799999999999
99	PHACTR4	59.477
