rank	node	rank_score
1	XCL2	178.1995
2	CCL5	177.9
3	CXCL17	176.899
4	CCL13	174.696
5	CXCL8	174.1905
6	CCL26	173.8985
7	CCL11	172.2945
8	CXCL11	172.095
9	CXCL10	171.397
10	CXCL12	169.9925
11	CCL28	169.894
12	CXCL2	168.798
13	CCL21	168.692
14	XCL1	167.7965
15	JAK1	167.48499999999999
16	PF4V1	166.09099999999998
17	CXCL14	165.2935
18	PPBP	164.793
19	CCL25	164.589
20	CXCL6	161.5915
21	CCL27	160.587
22	VCAN	159.9875
23	CXCL3	159.19549999999998
24	CCR3	158.9865
25	TRAF6	156.19
26	CXCR3	153.4835
27	TRAF3	150.8805
28	BIRC2	146.676
29	RIPK1	144.1815
30	EPHX3	143.6975
31	PELI1	141.4895
32	CASP8	141.2845
33	IKBKG	139.97
34	TLR3	139.0795
35	TRAF2	137.88400000000001
36	TICAM1	137.881
37	TRADD	137.88
38	TNFAIP3	137.3825
39	IKBKE	134.974
40	TRAF3IP2	134.6695
41	TRAF1	133.1745
42	CHUK	132.37849999999997
43	TBK1	131.161
44	RIPK2	130.37550000000002
45	CASP1	128.8855
46	BCL10	125.975
47	MAP3K7	124.973
48	RNF31	123.769
49	FADD	123.07350000000001
50	RBCK1	122.578
51	SQSTM1	121.97049999999999
52	TANK	121.8625
53	TNIP1	119.9645
54	ACKR4	118.08600000000001
55	TAB2	117.47649999999999
56	NGFR	116.8545
57	MAP3K14	116.76199999999999
58	RIPK3	115.87899999999999
59	UEVLD	114.947
60	TNFRSF11A	114.65299999999999
61	ZC3H12A	114.2565
62	TRAF5	113.6555
63	SHARPIN	113.37750000000001
64	NOD2	113.2675
65	CFLAR	111.17150000000001
66	IRAK1	110.372
67	CARD11	109.468
68	MALT1	109.46700000000001
69	TMC8	107.37249999999999
70	MAVS	106.55799999999999
71	UBC	106.2635
72	TAB3	105.96849999999999
73	XIAP	105.3655
74	OPTN	102.3595
75	BIRC3	101.48299999999999
76	TAB1	100.865
77	CASP10	99.771
78	CYLD	99.46000000000001
79	IRAK2	99.377
80	SPATA2	99.164
81	PYCARD	98.7885
82	IRF3	98.3605
83	CD40	97.56649999999999
84	CXCL13	96.982
85	USP2	96.85499999999999
86	SYK	95.449
87	ULK3	93.256
88	HSP90AA1	93.0395
89	ACKR1	92.398
90	MAP3K8	92.259
91	CALCOCO2	91.4585
92	TIRAP	89.644
93	TAX1BP1	89.2525
94	CSF2RA	89.174
95	CDC37	89.046
96	NLRC4	88.6535
97	IRAK4	88.041
98	STUB1	87.666
99	TLR4	82.74449999999999
100	TRAIP	77.554
101	NOD1	77.3495
102	SRC	77.05
103	NFKBIA	76.8175
104	TNAP	76.477
105	UBE2N	75.3575
106	TRAF4	72.4465
107	JAK2	71.3875
108	UMAD1	70.957
109	CBLB	70.336
110	IL5	69.388
111	TP53	68.628
112	CCL23	68.0885
113	PRKCD	67.0235
114	PIK3R1	65.74300000000001
115	CSF2RB	65.0835
116	RNF11	65.051
117	ULK1	62.838499999999996
118	TNFRSF4	62.7475
119	AKT1	62.238
120	OTUD7B	59.9415
121	RNF216	59.039
122	PRKCQ	58.737
123	TNFSF10	58.626999999999995
124	CASP3	58.326499999999996
125	BECN1	56.448
126	CASP6	54.135000000000005
127	MTOR	53.8275
128	TMEM173	53.428999999999995
129	ADAM17	53.286500000000004
130	USP19	52.9405
131	EGFR	51.94
132	PARK2	51.91700000000001
133	AZI2	51.845000000000006
134	MIB2	51.6515
135	HSPA4	50.5215
136	MAP3K3	48.334500000000006
137	CBL	46.4255
138	STAT3	45.62
139	STAT1	45.003
140	DDX58	43.8375
141	PELI3	43.3355
142	TICAM2	41.4425
143	ATG5	40.932
144	RELA	40.207
145	DIABLO	39.848
146	RNF152	38.041
147	MAP3K5	37.43
148	ERBB2	36.7245
149	TNIP2	36.128499999999995
150	PTK2	35.810500000000005
151	FKBPL	35.620999999999995
152	CTNNB1	33.425
153	IRS1	33.0195
154	HSPB1	32.808499999999995
155	MAPT	31.0065
156	RNF115	30.916500000000003
157	USP15	30.1365
158	PTK2B	29.622500000000002
159	MAP3K11	29.534000000000002
