rank	node	rank_score
1	HRH3	180.1
2	GHSR	178.49949999999998
3	VEGFA	177.296
4	UGT3A2	176.8985
5	HTR1D	176.199
6	PIGB	175.39749999999998
7	DLG4	172.998
8	CLIC6	172.79500000000002
9	SHANK1	168.097
10	BAI2	167.19650000000001
11	ELOVL1	152.3955
12	PAQR6	130.393
13	CFL2	115.49449999999999
14	CALM1	110.89200000000001
15	GRM5	110.4915
16	LRP1	94.39349999999999
17	GLT8D2	93.3925
18	HSPA4	89.491
19	PLK2	83.987
20	PLK1	75.297
21	GUCY1A2	73.587
22	APP	72.78999999999999
23	KIAA1841	71.789
24	GRIN2A	71.0915
25	SNCA	70.8875
26	GRIN1	70.491
27	GRIN2B	70.4905
28	NETO1	69.6885
29	GRIN3A	69.49
30	DLG2	60.2895
31	DLGAP1	59.888999999999996
32	DLG3	59.288
33	DLG1	57.0865
34	A2M	56.5905
35	LCAT	55.89
36	PDP1	55.59400000000001
37	ANKRD35	55.4905
38	DNAJC5	54.893499999999996
39	CRYAB	54.491
40	GLRB	52.988
41	CLIC4	52.589
42	CACNG2	51.587
43	PARK7	51.287
44	ACO2	51.083000000000006
45	GRHPR	50.488
46	SOD1	50.2895
47	NENF	48.8845
48	GCSH	48.586
49	MPST	47.9775
50	PGLS	47.8875
51	PGM1	47.783500000000004
52	NDUFAB1	47.3855
53	CLIC1	47.385000000000005
54	PRDX6	47.2805
55	HINT2	47.1815
56	LACTB2	47.178999999999995
57	LIN7A	47.0855
58	KCNJ12	47.085
59	FDX1	47.084
60	GSTP1	47.08
61	ALDH4A1	46.7725
62	CRIPT	46.686
63	DLGAP2	46.6835
64	KCNJ4	46.584500000000006
65	CMPK1	46.582
66	CASK	46.184000000000005
67	LIN7B	46.083000000000006
68	DDAH1	45.786500000000004
69	HDHD3	45.7825
70	ARCN1	45.781
71	LIN7C	45.1825
72	DLGAP4	45.082
73	APBA1	44.981
74	TPI1	44.979499999999994
75	GLRX5	44.874
76	PXDC1	44.4815
77	SPR	44.4735
78	ARHGEF26	44.3805
79	ENO1	44.376
80	FXN	44.271
81	UCHL1	44.0745
82	GPI	43.878
83	GLOD4	43.876999999999995
84	FDX1L	43.4785
85	C21orf33	43.473
86	KCNA4	43.378499999999995
87	LAP3	43.269999999999996
88	PRDX5	43.165499999999994
89	TBCA	42.9705
90	SNTB2	42.87949999999999
91	ADA	42.7765
92	NTRK2	42.687
93	CRYZ	42.668
94	FEN1	42.4755
95	MPP7	42.38
96	BAI1	42.177499999999995
97	ADPRHL2	42.175
98	SNTA1	41.977999999999994
99	FAHD2A	41.972
100	CTSB	41.8615
101	NOS1AP	41.786500000000004
102	AK2	41.2605
103	DMD	40.976
104	SNTB1	40.4765
105	SNTG2	40.1755
106	COA7	40.1695
107	DTNB	40.075
108	ETHE1	40.0685
109	KIF26B	39.779
110	UTRN	39.774
111	PRNP	39.7525
112	SNTG1	39.673500000000004
113	AK3	39.558
114	MTPN	39.469
115	CAV1	39.359
116	MPP3	39.2695
117	DTNA	39.1745
118	HINT1	39.1715
119	PMPCA	38.9675
120	TAGAP	38.8725
121	PLEKHA2	38.673
122	SPZ1	38.272000000000006
123	MTMR2	38.177
124	DDAH2	38.0635
125	CTNNAL1	37.871500000000005
126	ADRA1D	37.7705
127	PRDX2	37.766
