rank	node	rank_score
1	AKT1	180.0
2	CTNNB1	179.1995
3	CREBBP	176.6975
4	EEF2	176.099
5	PML	175.9945
6	HDAC1	175.696
7	SP1	175.49650000000003
8	CASP3	173.595
9	TP53	173.198
10	MDM2	172.4955
11	RB1	170.5935
12	HIF1A	169.19400000000002
13	HSP90AA1	168.69850000000002
14	ARNT	167.493
15	EP300	167.4895
16	GAPDH	162.988
17	SIRT1	162.785
18	MAP2K3	161.8915
19	PARK2	161.297
20	CDK9	160.4875
21	HDAC2	159.48899999999998
22	RELA	158.7865
23	STK11	158.6925
24	CUL4A	157.891
25	HSPA9	157.484
26	CCND1	157.2835
27	FUS	155.78699999999998
28	CUL1	155.3845
29	AR	154.88299999999998
30	BRCA1	153.3825
31	HDAC6	151.38600000000002
32	CEBPB	150.9805
33	HSP90AB1	150.2885
34	SMARCA4	150.18099999999998
35	MAPK14	149.792
36	PKM	149.7855
37	TP73	149.4815
38	BRD4	146.2775
39	HSPA4	145.379
40	CDK4	143.382
41	PCNA	142.57150000000001
42	SMAD3	141.778
43	STUB1	140.38
44	RAF1	139.79000000000002
45	ABL1	138.973
46	YAP1	138.7745
47	HUWE1	136.772
48	ATXN3	135.2795
49	JUP	135.0555
50	HSPA1A	133.877
51	ERBB2	132.976
52	NF2	132.674
53	RASSF1	132.0755
54	KAT2B	131.77849999999998
55	AURKA	129.17649999999998
56	MAPK3	128.0905
57	LATS2	127.7725
58	PTEN	127.4565
59	FZR1	125.17049999999999
60	MAPT	123.77350000000001
61	MAP2K5	123.17
62	CDK6	122.46900000000001
63	CCND2	122.46849999999999
64	TERT	122.1695
65	CDKN2B	119.468
66	CCNE1	119.2665
67	GSK3B	119.075
68	BECN1	118.4675
69	GLIS2	118.367
70	ARAF	117.26599999999999
71	EPHA2	115.96549999999999
72	FGFR4	114.165
73	YWHAZ	112.971
74	MDM4	112.5645
75	CUL4B	112.454
76	HGF	111.76399999999998
77	CBLC	111.2635
78	SLC25A5	110.95750000000001
79	TEAD2	110.86300000000001
80	CDK1	109.65950000000001
81	CDKN2C	109.061
82	GRM1	108.9605
83	MAP2K6	108.76199999999999
84	MAP3K5	107.5625
85	CDC37	106.7615
86	GNB2L1	106.05850000000001
87	SRC	104.45900000000002
88	VCP	104.35499999999999
89	HNRNPK	103.66
90	MAP2K1	101.05799999999999
91	IGF1R	101.05699999999999
92	TUBB	96.0545
93	TRIM28	94.7535
94	YWHAE	94.453
95	EZH2	93.6525
96	CDK2	92.051
97	DHX9	90.6495
98	MCM2	87.652
99	TARDBP	84.8515
100	PHB	84.049
101	COPS5	84.043
102	E2F1	83.1505
103	RPS3	81.5475
104	HSPA5	81.3485
105	RPS4X	80.739
106	UBE2M	80.14200000000001
107	TUBB4B	79.7435
108	VHL	78.646
109	CAD	78.44800000000001
110	CUL2	77.04249999999999
111	NEDD8	76.244
112	BTRC	74.25
113	DDX5	73.84700000000001
114	PCBP1	73.4365
115	PDGFRA	69.756
116	PRPF8	69.2345
117	RPS15A	67.237
118	FN1	66.93350000000001
119	METTL14	66.631
120	HNRNPA1	65.9455
121	RIN3	65.7375
122	RPL12	63.136
123	DNAJA1	63.0415
124	NCL	62.335
125	CAND1	61.1395
126	RPS3A	58.3355
127	RPS16	58.032500000000006
128	RPL21	57.734
129	YWHAQ	56.24549999999999
130	PSMA3	56.0465
131	ATP5A1	55.3445
132	RPS7	53.8275
133	UBC	53.640499999999996
134	RPL23	53.6315
135	HNRNPU	52.532
136	RPS27	51.730500000000006
137	RPS5	51.528499999999994
138	RPL7	51.126
139	PRDX1	50.932
140	RPL6	50.7255
141	RPL24	50.129
142	RPS25	49.2295
143	RPS23	47.626999999999995
144	UBL4A	46.023
145	SMAD2	45.8495
146	RPL11	45.727999999999994
147	DDX17	45.541
148	RPS14	45.025
149	RPLP2	43.6245
150	RPL5	43.13
151	RPS9	42.624
152	RPS6KB2	41.208
153	RPS11	40.222
154	RPS18	39.5225
155	RPS2	38.826499999999996
156	RPL27	38.8235
157	RPL9	38.3215
158	RPL18	37.2205
159	RPL4	36.721000000000004
160	RPLP0	36.3195
161	RPL10A	35.519999999999996
