#rank	DIAMOnD_node	p_hyper
1	1499	1.3135286126581514e-12
2	3872	9.967543499859917e-13
3	1956	1.1853361241674828e-12
4	1500	3.05711487341956e-13
5	3836	3.9979661423069195e-13
6	5925	4.18017212923297e-13
7	1501	1.9545054717905103e-13
8	27	3.7993930590263604e-14
9	5594	1.1306035990794639e-13
10	150709	1.1309854373930189e-14
11	3575	6.006567788669275e-16
12	9576	1.5098716888415401e-15
13	4294	6.668445129879983e-17
14	9479	2.6574191136687872e-17
15	219681	1.569578875234605e-17
16	2064	2.026706960137277e-18
17	10461	3.54697771515089e-20
18	8502	2.123594372323134e-19
19	5979	2.0376241513709955e-20
20	25852	4.2118782356128065e-20
21	2044	2.2577128579697216e-21
22	5318	3.6508086849467098e-22
23	6654	2.1639389274156227e-22
24	867	2.1262992579860084e-23
25	2066	7.886361576265485e-24
26	11187	9.279648635332874e-25
27	11122	4.286527968151397e-25
28	55156	5.0201739501868e-25
29	6464	7.013123639623423e-26
30	5296	5.330931585279021e-27
31	3841	6.0054925065149394e-27
32	2065	2.2479936030633187e-28
33	5747	3.54376690437846e-29
34	5781	3.793536515627838e-30
35	3643	1.9864492289560112e-30
36	3717	6.750872391730808e-32
37	421	2.403349363284798e-32
38	3480	4.64796315791392e-33
39	2690	1.0276697545774047e-34
40	5777	1.7075094578416773e-34
41	5910	1.2879795066091384e-35
42	3572	2.9535318590760367e-35
43	23633	5.47488447497249e-36
44	7409	1.7484941448146647e-36
45	2057	1.2421417761674625e-37
46	2885	1.851902818443213e-38
47	5295	2.3373887860336583e-39
48	940	1.2432721384312725e-40
49	93436	1.6235386312635774e-41
50	2322	2.826807936772063e-41
51	1399	2.0219438642581805e-42
52	6850	5.733768221939484e-42
53	3815	9.022902503938862e-43
54	6452	1.216272263914067e-43
55	79637	2.7833386648210484e-44
56	7535	4.937849494702173e-43
57	3937	9.932953062537887e-45
58	3932	3.404765465738871e-44
59	868	8.458643254526806e-44
60	5294	4.874324845930608e-43
