rank	node	rank_score
1	55156	180.1
2	1499	178.4985
3	1500	172.59949999999998
4	150709	172.398
5	3667	166.39600000000002
6	79637	166.197
7	868	163.9945
8	5781	163.894
9	9576	163.69549999999998
10	6464	161.79500000000002
11	1399	160.792
12	219681	158.8935
13	5296	158.08800000000002
14	93436	157.5925
15	867	156.7875
16	2057	156.59099999999998
17	3815	155.3895
18	3791	155.2965
19	1501	154.89000000000001
20	2885	151.29149999999998
21	3872	150.98899999999998
22	5777	150.5905
23	6850	149.6885
24	3841	147.98600000000002
25	2322	147.18699999999998
26	5747	145.67249999999999
27	6452	145.2865
28	421	144.68400000000003
29	1956	144.567
30	2213	143.993
31	7535	142.9855
32	3937	141.3845
33	3932	141.08350000000002
34	940	140.98499999999999
35	27	140.483
36	11187	139.48250000000002
37	7409	138.982
38	25852	137.38150000000002
39	2321	135.77100000000002
40	8502	135.5805
41	2185	133.972
42	5910	133.2775
43	3717	133.1715
44	5295	132.2745
45	5318	131.97899999999998
46	2534	131.68
47	6654	131.4755
48	10298	129.281
49	1436	128.176
50	2064	128.169
51	23633	128.07649999999998
52	2690	125.3735
53	2065	124.36749999999999
54	3836	123.675
55	1445	122.1795
56	5829	121.873
57	3702	121.2655
58	4233	119.6665
59	6009	119.099
60	6714	118.16599999999998
61	1398	117.76849999999999
62	5294	116.877
63	7010	114.574
64	11122	114.1625
65	3572	114.06949999999999
66	6300	113.87049999999999
67	2066	113.763
68	4690	113.07000000000001
69	2533	112.6645
70	916	110.478
71	1271	110.468
72	919	109.27849999999998
73	25	108.564
74	58480	108.0615
75	5979	107.8635
76	9046	107.26500000000001
77	4915	106.76199999999999
78	4921	104.36100000000002
79	10603	100.35650000000001
80	10580	100.05699999999999
81	5770	99.0575
82	3636	98.958
83	2048	97.76
84	5335	97.65950000000001
85	1950	97.3605
86	4486	97.259
87	30011	96.45599999999999
88	1785	95.6555
89	2113	93.8585
90	5795	93.0545
91	55620	90.455
92	3718	90.154
93	5753	89.053
94	238	88.95349999999999
95	83737	87.0525
96	5921	85.851
97	3568	85.452
98	367	83.0495
99	8440	82.7515
100	2624	79.546
101	10461	79.3465
102	5788	79.04400000000001
103	2549	78.845
104	2044	78.549
105	10188	78.547
106	1020	78.498
107	2260	78.2475
108	50616	77.9455
109	4853	77.39750000000001
110	2046	75.0445
111	23624	74.3505
112	9322	71.94149999999999
113	1969	71.8485
114	5588	71.64099999999999
115	660	70.6425
116	1942	69.84349999999999
117	4067	69.4405
118	8631	68.1395
119	285	68.043
120	10451	66.0385
121	2043	64.042
122	3689	63.235
123	1796	61.8355
124	50943	60.638999999999996
125	2042	59.5375
126	140545	58.7975
127	2639	58.7965
128	22983	58.097
129	1558	57.79600000000001
130	3690	57.63250000000001
131	51295	57.49550000000001
132	11221	57.236000000000004
133	54536	56.995000000000005
134	5163	56.938
135	3437	56.59400000000001
136	24138	56.293499999999995
137	84171	56.092499999999994
138	3265	56.05
139	9361	55.992
140	64399	55.737
141	5803	55.53099999999999
142	7001	55.39300000000001
143	1995	55.390499999999996
144	54850	54.894499999999994
145	11140	54.590999999999994
146	1559	53.989999999999995
147	4916	53.548
148	4904	52.734
149	3588	52.73299999999999
150	4293	50.94
151	50846	50.8365
152	9479	49.3315
153	5058	47.327999999999996
154	8651	46.8305
155	55816	46.730000000000004
156	51429	45.632
157	5170	45.1275
158	150	45.0265
159	29760	41.826
160	6774	41.223
161	4734	39.025
162	3055	38.9215
163	5578	38.834500000000006
164	6776	38.422000000000004
165	6446	38.0255
166	5604	37.027
167	3561	36.428999999999995
168	84106	35.789
169	6001	35.7295
170	6503	35.6245
171	5864	35.491499999999995
172	6456	34.7335
173	5159	33.822500000000005
174	5579	33.528499999999994
175	5618	33.519999999999996
176	695	30.721000000000004
177	3586	30.214
178	6777	30.0205
179	5594	29.924
180	3455	29.912
181	3565	29.823500000000003
182	9021	29.1185
183	2623	26.715999999999998
184	558	26.318
185	3575	24.2195
186	5582	23.2155
187	2268	21.315
188	6772	21.111
189	2263	20.419
190	3716	18.9115
191	6461	18.214499999999997
192	2193	17.892
193	1562	17.5885
194	10053	17.3875
195	3556	16.6165
196	7066	15.304000000000002
197	63978	14.617500000000001
198	2254	14.217000000000002
199	2017	14.113
200	9564	13.801499999999999
201	7048	12.6095
202	5599	12.306999999999999
203	7852	11.2055
204	94	10.2085
205	7043	9.709
206	408	8.809999999999999
207	4792	8.2105
208	9846	7.8045
209	10657	7.213500000000001
210	1432	7.008
211	6885	7.0065
212	3587	6.913500000000001
213	5037	6.506
214	26060	6.014
215	5595	6.005
216	208	5.6195
217	8569	4.6075
218	114609	3.9034999999999997
219	3596	3.8125
220	3656	3.503
221	7525	3.2019999999999995
222	5610	2.9025
223	10971	2.808
224	6868	1.7005000000000003
225	324	0.9025000000000001
226	6622	0.8074999999999999
227	7046	0.8019999999999999
228	1613	0.3035
229	7189	0.302
230	6416	0.101
231	3486	0.0995
232	5792	0.0935
233	51013	0.09
234	10724	0.0885
235	5886	0.086
236	4867	0.011
237	1859	0.010499999999999999
238	54206	0.005
239	5601	0.0015
240	2247	0.001
241	1852	0.0005
