rank	node	rank_score
1	1499	179.9
2	3872	178.398
3	1956	177.79749999999999
4	3836	176.8995
5	1500	176.59650000000002
6	1501	175.29500000000002
7	5925	174.19850000000002
8	8502	171.1895
9	27	170.5925
10	3575	169.3485
11	10461	168.3945
12	150709	167.99349999999998
13	2064	166.793
14	25852	166.58800000000002
15	9576	162.697
16	5318	162.2865
17	5594	161.196
18	5979	160.59099999999998
19	2066	159.984
20	219681	158.792
21	867	157.7825
22	11187	157.4875
23	6654	156.59
24	3841	156.283
25	5296	155.88150000000002
26	6464	154.78050000000002
27	55156	153.0905
28	5747	149.16649999999998
29	5781	148.77100000000002
30	3643	148.767
31	2690	148.3645
32	3717	147.9675
33	2044	147.587
34	3480	147.16500000000002
35	2065	146.7715
36	5910	146.57999999999998
37	421	145.28199999999998
38	5777	142.574
39	23633	142.4785
40	3572	139.6655
41	2057	139.36849999999998
42	5295	138.769
43	93436	138.385
44	940	138.177
45	7409	137.7735
46	2885	137.568
47	3815	133.8705
48	1399	133.87
49	2322	133.675
50	9479	133.289
51	11122	132.9835
52	79637	132.776
53	4294	132.4885
54	6850	131.873
55	5770	131.0605
56	6452	130.1755
57	7535	127.872
58	3937	127.57449999999999
59	4233	127.0615
60	3932	126.87249999999999
61	868	126.7695
62	1398	126.064
63	2048	124.38550000000001
64	4915	124.37899999999999
65	6714	123.76599999999999
66	367	123.25550000000001
67	2213	121.46300000000001
68	5294	121.1635
69	2185	119.55999999999999
70	5829	119.0595
71	2534	118.9625
72	10298	118.55900000000001
73	9046	118.27649999999998
74	2533	116.65799999999999
75	4690	115.55850000000001
76	7010	114.955
77	1271	113.76199999999999
78	1445	113.756
79	2321	113.25750000000001
80	3702	111.86100000000002
81	4921	111.77950000000001
82	3791	107.857
83	2113	106.85650000000001
84	83737	106.3545
85	58480	105.85349999999998
86	916	104.75250000000001
87	919	103.652
88	3718	102.95149999999998
89	1436	101.148
90	55620	100.14750000000001
91	2099	99.394
92	5795	98.854
93	5753	98.447
94	8440	97.651
95	238	95.6495
96	4486	95.449
97	5921	94.253
98	2260	93.6505
99	5335	93.25
100	10580	91.3465
101	30011	91.24600000000001
102	3636	90.84549999999999
103	10603	89.64500000000001
104	6300	89.4435
105	660	86.644
106	3690	85.543
107	4734	85.04249999999999
108	1852	84.786
109	3561	83.041
110	5159	81.742
111	5170	79.336
112	9322	79.134
113	5588	78.7365
114	150	77.0385
115	4916	76.9235
116	10451	76.8395
117	2549	75.738
118	5618	74.329
119	5058	72.7355
120	5788	71.235
121	5604	71.037
122	2624	70.74
123	50616	67.8335
124	11221	67.7775
125	4067	67.53299999999999
126	2263	66.5305
127	1432	65.981
128	50943	65.7375
129	5578	63.5345
130	8631	62.63250000000001
131	408	61.540499999999994
132	5595	61.144499999999994
133	5163	59.831999999999994
134	6416	58.9165
135	5241	58.6915
136	1969	58.3215
137	2046	57.5265
138	3568	57.0135
139	5602	55.61800000000001
140	3565	53.939
141	6777	52.431
142	5579	52.1315
143	9261	51.878
144	695	50.730000000000004
145	23624	50.617000000000004
146	2043	49.322
147	5468	49.195499999999996
148	3689	48.5295
149	6446	48.2155
150	1785	47.926
151	5336	47.722500000000004
152	8569	47.2275
153	7867	47.126999999999995
154	4904	47.028
155	9846	45.523
156	6772	44.241499999999995
157	1942	43.625
158	2042	43.0245
159	29760	42.821000000000005
160	64399	41.8255
161	2017	39.416
162	7852	39.2285
163	285	39.224000000000004
164	51429	36.5195
165	6885	35.614999999999995
166	63978	34.019999999999996
167	4293	32.7185
168	5879	32.512
169	9021	31.014
170	2623	30.3145
171	3588	27.310000000000002
172	3455	26.6115
173	50846	26.302999999999997
174	5600	25.713
175	3716	25.410500000000003
176	3586	24.511000000000003
177	3055	24.5085
178	2254	23.817500000000003
179	1387	23.2125
180	2625	19.709
181	5582	17.107499999999998
182	673	15.619
183	7066	15.5845
184	7534	14.720499999999998
185	6503	13.706
186	55816	10.4155
187	54206	9.502500000000001
188	7048	9.404
189	3091	9.3055
190	2932	9.105
191	558	8.0015
192	94	7.603999999999999
193	4792	7.1075
194	8651	7.0095
195	7043	7.0035
196	10971	5.804
197	64759	5.3015
198	9564	4.404
199	5527	3.607
200	3635	3.6019999999999994
201	5566	3.5045
202	1796	3.4004999999999996
203	2268	3.1005
204	6461	2.9095
205	3596	2.603
206	23607	2.1105
207	5610	1.705
208	10657	1.501
209	10499	1.1065
210	3556	1.0074999999999998
211	324	0.9030000000000001
212	8648	0.708
213	5584	0.40599999999999997
214	7157	0.10200000000000001
215	5580	0.101
216	2033	0.099
217	4306	0.007000000000000001
218	3984	0.0035000000000000005
219	613	0.003
220	4088	0.0025
221	7316	0.002
222	998	0.0015
223	9252	0.001
224	1859	0.001
225	1613	0.001
