rank	node	rank_score
1	1141	180.1
2	57537	178.8995
3	2	177.8985
4	808	175.3955
5	4157	174.999
6	3356	174.098
7	805	173.5925
8	801	170.8915
9	2596	169.99
10	5470	169.59099999999998
11	2915	169.092
12	11255	168.89749999999998
13	114	168.2905
14	5475	166.689
15	128153	165.2885
16	81792	165.286
17	3780	161.6855
18	4904	159.38
19	4760	156.9865
20	6236	156.9835
21	815	154.493
22	4846	153.3895
23	814	151.3845
24	10645	151.183
25	8536	148.88150000000002
26	2917	143.778
27	367	139.28400000000002
28	490	137.5875
29	5970	135.988
30	5179	135.59650000000002
31	5578	134.9785
32	5579	131.879
33	3643	131.0795
34	5566	130.7745
35	4638	129.5805
36	2849	128.597
37	2931	127.87550000000002
38	1386	127.18699999999998
39	1387	126.674
40	84223	124.189
41	1499	122.876
42	5116	122.3905
43	9252	118.77649999999998
44	595	118.18199999999999
45	10788	116.68499999999999
46	6262	116.6825
47	2890	107.97350000000002
48	25852	105.771
49	5581	104.869
50	5582	104.07000000000001
51	5899	102.99099999999999
52	150	102.8685
53	5295	102.8655
54	6446	99.966
55	1385	99.175
56	55156	98.8665
57	219681	96.862
58	1500	94.764
59	5321	94.477
60	2113	93.5575
61	1501	92.2565
62	3841	92.065
63	8502	91.8615
64	2932	90.7715
65	84254	89.48400000000001
66	150709	88.958
67	204851	88.88199999999999
68	9576	88.66749999999999
69	3706	86.2765
70	6199	85.6695
71	421	82.6515
72	5037	82.3595
73	4293	80.054
74	6261	79.5815
75	5318	77.95349999999999
76	208	76.85
77	3872	76.65450000000001
78	5170	75.804
79	11187	75.55
80	5910	75.5495
81	64399	75.349
82	2185	74.423
83	93436	73.56
84	4929	73.2485
85	23633	72.046
86	5909	71.9405
87	2033	71.2775
88	5594	70.56800000000001
89	8569	69.3635
90	4921	68.351
91	11122	67.947
92	3667	66.8465
93	22943	66.54249999999999
94	3836	65.748
95	50616	65.543
96	9322	64.0015
97	3269	63.394000000000005
98	10023	62.056
99	1950	61.645
100	58480	61.411500000000004
101	79637	59.144000000000005
102	2624	56.009
103	3455	55.842000000000006
104	3689	55.521
105	5600	55.263
106	9261	54.85699999999999
107	94274	54.575
108	2260	54.2645
109	94	53.934000000000005
110	160140	53.5865
111	7066	53.543499999999995
112	3588	53.440999999999995
113	50846	53.2365
114	1859	53.0515
115	4306	52.436
116	5604	51.7505
117	3586	51.241499999999995
118	207	50.760000000000005
119	3786	50.488
120	79971	50.394999999999996
121	5979	49.655
122	2886	49.187
123	6196	48.6635
124	6622	47.7765
125	5590	47.165
126	55816	47.1475
127	6300	46.810500000000005
128	6464	46.2605
129	3568	45.2395
130	3572	44.5585
131	5331	44.0745
132	2241	43.7825
133	818	43.38
134	2046	43.3055
135	3458	42.7705
136	3565	42.552499999999995
137	1956	42.3625
138	7867	39.5555
139	5058	39.549
140	7534	38.1715
141	5588	37.903499999999994
142	9201	37.3675
143	5587	36.669
144	2213	35.8315
145	23125	35.2885
146	7043	34.9335
147	1852	34.852
148	3756	34.488
149	27130	34.081
150	3549	33.614
151	91653	33.5145
152	5747	33.422000000000004
153	6416	32.739
154	4137	32.5695
155	7010	32.1375
156	6850	32.0245
157	22983	31.571000000000005
158	5294	31.3265
159	2562	31.2605
160	5781	30.832
161	238	30.545499999999997
162	2044	30.5385
163	4915	29.5445
164	7533	29.1595
165	3937	29.024
166	57118	28.975
167	6654	28.8325
168	867	28.4235
169	3925	28.273500000000002
170	4294	28.24
171	2057	28.2295
172	56164	27.459500000000002
173	3717	27.031
174	5595	26.153
175	5618	25.4285
176	5468	25.366999999999997
177	285	25.337
178	868	25.1215
179	673	25.037
180	2064	24.732999999999997
181	1020	23.863
182	2533	23.815
183	5777	23.7305
184	7409	23.726
185	10580	23.4095
186	7161	23.264
187	6197	23.261000000000003
188	2280	22.211000000000002
189	27289	21.413999999999998
190	1432	21.259
191	6001	20.724
192	3932	20.0225
193	1271	19.811
194	6469	19.5135
195	9046	19.438
196	6452	19.2255
197	1436	18.7085
198	5296	18.628
199	2321	18.618000000000002
200	6714	17.917
201	134359	17.4875
202	1995	16.8835
203	660	16.601
204	3352	16.496000000000002
205	7535	16.1205
206	1942	15.916
207	2885	15.819999999999999
208	2898	15.580000000000002
209	10461	15.523
210	816	15.4745
211	6774	15.394499999999999
212	817	15.374
213	5829	15.315999999999999
214	940	15.025
215	6009	14.794999999999998
216	5593	14.772
217	55351	14.6665
218	6929	14.565999999999999
219	8721	14.381
220	3781	14.378499999999999
221	182	14.323500000000001
222	10672	14.274000000000001
223	84433	14.1775
224	2688	14.0275
225	2764	13.956
226	1445	13.812999999999999
227	10011	13.781
228	23604	13.764500000000002
229	5241	13.761000000000001
230	9641	13.481
231	5567	13.254499999999998
232	10298	13.012
233	9863	12.919
234	2322	12.8195
235	8648	12.7345
236	27	12.7175
237	4916	12.635
238	3815	12.619
239	3164	12.372
240	10499	12.2355
241	2065	12.1155
242	2534	12.113499999999998
243	5583	12.067499999999999
244	3552	12.0185
245	2011	11.7655
246	55620	11.708
247	5602	11.2125
248	23683	11.168000000000001
249	4233	11.0145
250	8048	10.8605
251	6195	10.8585
252	1452	10.5705
253	3636	10.4075
254	3702	10.314
255	10603	10.206999999999999
256	3551	10.17
257	10000	10.061
258	2690	9.93
259	51561	9.744499999999999
260	1399	9.2185
261	1398	8.4165
262	3480	8.126999999999999
263	25	8.11
264	2891	7.4315
265	4690	7.3125
266	3556	7.212999999999999
267	10971	7.157500000000001
268	3624	7.13
269	308	5.319
270	5335	4.8065
271	5770	4.629
