rank	node	rank_score
1	150	179.4
2	5295	178.49949999999998
3	1387	178.497
4	367	176.299
5	3326	170.8985
6	2624	170.5955
7	6714	167.2945
8	1020	167.094
9	11183	166.1935
10	55351	165.584
11	2113	158.4925
12	11140	149.493
13	27	148.6855
14	340156	146.09099999999998
15	50943	144.7865
16	1499	143.3835
17	1500	143.28699999999998
18	5747	142.672
19	157285	141.68800000000002
20	25	138.8895
21	4233	134.161
22	5829	130.77249999999998
23	2534	130.37150000000003
24	867	130.1675
25	2185	128.774
26	6446	128.3845
27	10298	128.2745
28	5910	128.081
29	6654	127.953
30	2064	126.3585
31	1445	126.17849999999999
32	1501	125.8665
33	6464	125.47
34	5058	125.4325
35	219681	125.271
36	4690	123.5645
37	1956	123.54099999999998
38	150709	123.3765
39	940	123.277
40	2885	122.6555
41	3932	121.768
42	2268	121.39000000000001
43	7535	120.5755
44	8502	119.875
45	3937	119.5705
46	3717	119.4775
47	6850	118.9615
48	25852	118.167
49	4904	118.1265
50	3872	117.76599999999999
51	868	116.5655
52	5777	115.96300000000001
53	55156	115.15149999999998
54	2932	114.796
55	5781	114.7635
56	5062	113.8975
57	3841	113.26399999999998
58	9576	112.97350000000002
59	5296	112.95750000000001
60	6452	110.65799999999999
61	5979	110.45599999999999
62	3815	109.85650000000001
63	1326	107.09049999999999
64	2533	106.46900000000001
65	5566	106.3305
66	23633	106.173
67	79637	106.0595
68	1398	104.94749999999999
69	7409	104.455
70	5170	103.9795
71	421	102.96
72	5335	101.5355
73	9322	99.276
74	375449	99.185
75	3667	98.952
76	3836	98.3535
77	93436	97.451
78	11187	96.35900000000001
79	1399	96.25399999999999
80	2322	95.9605
81	83737	95.8625
82	4921	94.865
83	3702	94.8485
84	5588	94.56949999999999
85	2057	93.0545
86	2260	89.9395
87	5318	89.857
88	2321	88.8465
89	1436	88.76849999999999
90	58480	88.449
91	3643	88.444
92	2213	88.348
93	9046	85.85
94	56995	85.686
95	3480	85.543
96	5921	84.3245
97	2066	80.6415
98	208	80.289
99	2690	80.1505
100	10580	80.1445
101	8440	79.64200000000001
102	3572	79.4495
103	916	78.047
104	10451	77.921
105	919	77.362
106	2017	76.578
107	11122	75.739
108	4067	75.7195
109	5753	75.14349999999999
110	30011	74.4385
111	646643	74.38300000000001
112	4915	74.14
113	10461	72.7525
114	22858	72.19149999999999
115	56164	72.09349999999999
116	5163	71.579
117	5604	69.5085
118	1950	68.929
119	5594	68.728
120	10645	68.0815
121	660	67.936
122	55620	67.437
123	5336	65.7225
124	5294	65.1455
125	3791	65.1345
126	2241	64.692
127	5770	63.7405
128	6774	63.11900000000001
129	1785	62.538
130	1271	62.4365
131	1796	62.212
132	7010	61.626999999999995
133	238	58.415499999999994
134	207	56.883
135	2048	56.72950000000001
136	695	56.635000000000005
137	5795	56.33299999999999
138	202374	55.7885
139	64399	55.1255
140	3636	54.845000000000006
141	140469	54.394000000000005
142	6300	54.3335
143	10110	53.891999999999996
144	10000	53.58
145	341676	53.184000000000005
146	2099	52.507999999999996
147	10603	52.2375
148	4293	50.634
149	64759	49.471500000000006
150	4486	46.128499999999995
151	4734	46.001999999999995
152	2549	45.230000000000004
153	3718	42.332
154	4916	42.2125
155	63978	41.22
156	7066	40.2425
157	2043	39.0235
158	8569	38.582
159	50616	37.946000000000005
160	5578	37.013999999999996
161	7316	36.125
162	389840	36.0875
163	51429	36.0175
164	203447	35.1965
165	6196	35.186
166	7048	35.131
167	5581	34.4895
168	81788	34.187
169	126669	33.6805
170	2308	33.278
171	5579	33.221500000000006
172	3689	33.2115
173	2046	32.826
174	5788	31.714499999999997
175	3265	30.811
176	6776	30.602999999999998
177	3690	29.720499999999998
178	2044	29.627499999999998
179	3568	29.623
180	1969	28.226499999999998
181	4306	27.707
182	11221	24.018
183	26060	23.522
184	6885	23.4185
185	5801	22.5995
186	55816	21.7025
187	8631	21.6165
188	29760	21.125
189	5595	20.006
190	9943	19.597
191	5593	19.395
192	91607	19.298
193	5618	19.205000000000002
194	3551	18.9945
195	56924	18.186500000000002
196	54986	17.479
197	3320	17.2845
198	5582	16.813
199	283106	16.695
200	558	16.5845
201	8814	16.573
202	23012	16.3875
203	5590	15.981
204	1124	15.684999999999999
205	3091	15.5215
206	5607	15.381499999999999
207	4193	15.0825
208	6772	15.001499999999998
209	23604	14.6905
210	408	13.200999999999999
211	2042	12.918000000000001
212	6777	12.809999999999999
213	10971	12.7215
214	1942	12.717
215	23607	12.609
216	5159	12.406
217	3561	12.115
218	2263	11.7035
219	3588	10.9375
220	4792	10.111
221	2254	9.6095
222	3549	9.118
223	285	7.910499999999999
224	9021	7.209999999999999
225	6503	6.703
226	7161	6.614
227	3565	6.6065
228	1432	6.600499999999999
229	23624	6.5065
230	5037	6.505
231	5584	6.3045
232	8651	5.4159999999999995
233	2623	5.3025
234	4914	5.2795000000000005
235	3455	5.104
236	5610	5.103
237	10657	4.879
238	673	4.807
239	7043	4.6135
240	94	4.531499999999999
241	7852	4.428
242	5803	4.115
243	5879	4.0005
244	5599	3.4075
245	3716	2.8005000000000004
246	3984	2.5045
247	324	2.502
248	6416	2.424
249	3635	2.117
250	3556	1.7135000000000002
251	2625	1.7079999999999997
252	9846	1.609
253	4088	1.5115
254	7533	1.315
255	9261	1.201
256	6461	1.116
257	5241	0.5055
258	369	0.5025000000000001
259	1852	0.42000000000000004
260	10006	0.40549999999999997
261	65975	0.099
262	415116	0.0955
263	169436	0.095
264	57172	0.0945
265	4117	0.0945
266	7157	0.091
267	282974	0.09
268	390201	0.0895
269	9448	0.0875
270	22848	0.0865
271	646892	0.0865
272	91807	0.0865
273	57396	0.08499999999999999
274	5681	0.08449999999999999
275	5586	0.08399999999999999
276	128853	0.08349999999999999
277	5144	0.08349999999999999
278	140901	0.08249999999999999
279	11329	0.08199999999999999
280	80831	0.08149999999999999
281	339521	0.08149999999999999
282	284086	0.08
283	10044	0.08
284	5728	0.08
285	4068	0.0785
286	10273	0.077
287	29949	0.076
288	116449	0.076
289	6794	0.0755
290	5598	0.075
291	343477	0.074
292	5175	0.0645
293	7294	0.0375
294	2688	0.020999999999999998
295	2872	0.020999999999999998
296	9479	0.017
297	6622	0.0165
298	4056	0.012
299	23043	0.0115
300	7534	0.010499999999999999
301	2317	0.007000000000000001
302	4846	0.007000000000000001
303	7189	0.0055
304	7867	0.0045
305	6456	0.004
306	3596	0.0035000000000000005
307	7006	0.0015
308	6001	0.001
309	27289	0.0005
310	3554	0.0005
