#rank	DIAMOnD_node	p_hyper
1	55156	2.2675304176899113e-09
2	6009	4.4826737613562206e-08
3	1020	1.516412524221639e-07
4	1499	1.1902263018249918e-07
5	79637	7.381419247247213e-08
6	5578	1.403589082786309e-08
7	150709	2.727955522127259e-08
8	5781	2.6450445127855496e-09
9	3791	2.1833279463427396e-10
10	5777	2.4291435119865707e-10
11	9576	4.303421869417522e-11
12	3815	3.611663616617632e-12
13	6452	4.575734246701965e-13
14	867	7.465701209371153e-14
15	219681	4.258262943978711e-14
16	2322	9.490027357049408e-16
17	27	1.0998934935553931e-16
18	3932	3.362574197287537e-16
19	1501	6.250754487160478e-17
20	868	2.438810256287219e-18
21	6850	1.9727137655062746e-19
22	6464	4.73796551577875e-19
23	940	2.5717315114319806e-20
24	3872	2.9578316582166914e-21
25	2057	1.1448369849505946e-21
26	7409	6.442691932598156e-22
27	3937	3.2001021200337653e-23
28	3841	3.480904473311307e-24
29	7535	2.267610307550488e-25
30	1500	5.010767455295574e-25
31	2885	1.5865678163411668e-25
32	10298	6.367515829016503e-27
33	2534	2.4812059349415794e-27
34	2213	1.1892393370289837e-28
35	421	1.2748171568777977e-29
36	11187	2.3246430740887622e-29
37	25852	7.029557606645541e-30
38	2185	3.895031871456785e-31
39	8502	3.077746703368837e-31
40	5295	2.5823125754551466e-32
41	1399	1.0099501271306476e-33
42	5296	2.801927402715817e-35
43	5318	2.8482420346476532e-34
44	1436	1.1665530264974122e-35
45	6654	4.739494286823358e-37
46	5910	5.1098051399256074e-36
47	4233	3.2679767896562654e-37
48	5747	3.361047600377972e-38
49	2064	4.8197792684897144e-39
50	6714	3.979403531311231e-39
51	2065	1.8296099568771083e-40
52	23633	2.1407267061468596e-41
53	3702	1.9439564994643537e-41
54	93436	3.512426894020146e-42
55	3717	1.1459221576612212e-42
56	6300	8.954124095505376e-43
57	3836	6.811826912769316e-43
58	3572	2.447497237844917e-44
59	2321	1.55752034300964e-43
60	3667	2.098583246204804e-43
61	1956	1.7934652652606942e-43
62	1398	1.7348945877405957e-44
63	5979	1.573055057811395e-45
64	5829	5.836363412587302e-45
65	1445	7.763441520043054e-45
66	3480	8.442741434871455e-46
67	2690	5.88659138918627e-45
68	4690	1.3704799303146997e-44
69	2533	1.2970633764272032e-45
70	1271	2.0640421765376034e-44
71	25	3.216940230757352e-45
72	9046	1.2619641468717806e-45
73	2066	2.3759203774726233e-44
