#rank	DIAMOnD_node	p_hyper
1	11186	2.40427790471789e-09
2	7157	3.1841747934513456e-09
3	5606	5.234724185922404e-10
4	26524	3.3591084534505774e-11
5	2264	1.2065339004328686e-12
6	1030	2.5915211038131074e-14
7	11014	1.556856529607394e-15
8	1021	4.82206814719117e-17
9	894	3.064055755247542e-17
10	6794	8.611766256962812e-19
11	1969	2.2395684458826885e-20
12	5607	6.34311615354878e-22
13	4771	7.602364362461419e-24
14	5156	9.646500328729325e-25
15	2911	5.017055361522622e-27
16	1031	7.532847894119313e-28
17	1019	2.961979782931301e-28
18	960	2.3328612984141135e-29
19	405	1.572277529980745e-29
20	5894	8.722306042704569e-31
21	3082	9.205091216614676e-33
22	84662	2.6074991898461643e-33
23	8463	1.2382047692835617e-33
24	8678	7.715917273764659e-35
25	7015	6.462950298057756e-35
26	207	3.425748859564226e-32
27	51343	1.4724979539681775e-32
28	4609	1.6422831774826445e-28
29	898	2.0971512308058364e-30
30	369	2.7643760129435455e-29
31	23624	4.6780332012425995e-28
32	4194	1.4021057983391978e-27
33	3091	7.987508805429119e-25
34	5608	4.8527318815617764e-24
35	4217	7.50204874227915e-24
36	6790	1.964774806939616e-21
37	7248	2.191745656348338e-22
38	2648	4.405063923143845e-20
39	94015	1.7617316333888235e-19
40	340273	1.0942002133811966e-18
41	1432	2.9037342504029866e-18
42	1499	2.0586910976706403e-17
43	2113	4.9508279253493916e-17
44	5925	9.118853266814686e-17
45	6659	2.1213125747264812e-16
46	5970	7.743750439853009e-16
47	148979	2.1960508279435695e-17
48	4782	2.4243351568705788e-17
49	6658	3.4332290005704786e-18
50	54904	6.646244452855386e-16
51	421	5.582468997176609e-15
52	4193	9.248826259979497e-16
53	2624	7.447298843626617e-16
54	5599	7.377941533622118e-17
55	3265	7.836032821395858e-17
56	1500	7.684315129243889e-17
57	7867	3.977538589937534e-17
58	6714	7.659494613552332e-18
59	8502	1.1067760337923484e-18
60	25852	1.3029535034595786e-19
61	5604	4.7093388056404065e-21
62	5295	4.9168557946046576e-21
63	7534	6.832446009748995e-21
64	219681	7.458007450657741e-22
65	3480	8.224058460204612e-23
66	7532	2.34862791186553e-23
67	867	1.845522743782677e-24
68	1501	6.287389420976409e-25
69	5747	4.5708441867041473e-26
70	3841	1.7106178747708093e-25
71	6464	1.0615378719719423e-26
72	6654	3.0423892148679407e-28
73	5979	2.9083115331885196e-29
74	150709	8.638651610910614e-29
75	25	1.7777115003460245e-29
76	1956	6.4591720214351e-30
77	9576	4.740357709516495e-31
78	5781	4.146144751407062e-31
79	3667	1.854214623263049e-32
80	11187	2.6598770336133934e-33
81	1399	1.5748054359342694e-33
82	5296	1.0562182339868983e-34
83	5910	1.2225807233835918e-35
84	3872	5.948369006737352e-35
85	5829	5.900663017582414e-36
86	5594	6.018742156779032e-37
87	23633	3.565708201041107e-37
88	3717	4.259350448942763e-38
89	5058	5.622921406978848e-39
90	55156	2.2378725904110263e-39
91	2057	1.6129741606557988e-40
92	3836	2.5604834567228477e-40
93	4486	3.1617049705795806e-42
94	5318	2.18118724606274e-41
95	1436	2.7973025190950545e-42
96	55620	6.614619038586756e-42
97	79637	3.673486076988266e-43
98	10580	7.440030976870192e-44
99	3643	5.852326927891705e-44
100	3636	1.8846944066475686e-45
101	93436	6.834474030339943e-46
102	10603	4.2983012695443615e-46
103	9261	2.888125924562704e-44
104	4921	4.934431747448444e-44
105	7409	1.3648301893185078e-43
106	868	3.325962865435109e-45
107	1398	1.5716952849107627e-45
108	2533	7.813802261702694e-47
109	2885	5.623271843428437e-45
110	2065	2.561814452711238e-46
111	7535	2.4311421224924397e-47
112	5777	2.3385649907820114e-48
113	3937	6.483419765643974e-49
114	2185	5.916510169893638e-48
115	6850	1.0251544346284271e-48
116	2322	6.830642330786017e-49
117	6452	3.539858171920261e-49
118	3815	1.2222109322293632e-49
119	27	6.9025130397143e-50
120	10298	5.1153110935212446e-49
121	3932	2.8806589960002272e-49
122	940	1.7624803927677893e-50
123	1445	1.6919248786939893e-49
124	6300	2.778162289724175e-49
125	2534	4.719182951432359e-47
126	2213	1.2862143749930503e-48
127	2066	9.283526880933097e-48
128	11122	1.2882434157870317e-47
129	3702	3.736487608207551e-47
